
拡張データ用 画像識別子一覧

ここに載っていない識別子の付与については、
３文字を基本として他と被らないものにして下さい。


--識別子 アルファベット順-------------------------------------------
--------------------------------------------------------------------
3X3_       ３×３ＥＹＥＳ
3DAYS_	   3days-満ちてゆく刻の彼方で-
5TO_       ５霊闘士オーキ伝
8th_       ８ｔｈＡｎｇｅｌ～終末の天使～
8MAN_      ８マン
A120_      あすか１２０％
AAD_       エアーズアドベンチャー
ACC_       赤ずきんチャチャ
AHL_	   エンジェル・ハウリング
AITD_	   闇のイージス
AJIKKO_　　ミスター味っ子
AKIT_      アカイイト
AKR_       ＡＫＩＲＡ
AKUMA_　　 悪魔くん
AL_        星方天使エンジェルリンクス
ALC-1_     マリーのアトリエ
ALC-2_     エリーのアトリエ
ALC-3_     リリーのアトリエ
ALG_	   ガーディック外伝
ALNC_　　　アトラク＝ナクア
ALM_　　　 アリスモンスター
ALS_	   アルシャード
ALUND_     アランドラ
AMPAN_     それいけ！アンパンマン
AMZ3_      アクマイザー３
ANC_　　　 夜が来る！
AOF_       龍虎の拳
AQU_       アクエリアンエイジ
AQUJO_	   アクエリアンエイジオリオンの少年
ARC_       アークザラッド
ARC3_      アークザラッド３
ARETHASFC_ ARETHA the SFC
ARMS_      ＡＲＭＳ
ASELIA_    永遠のアセリア
ASELIASP_  スピたん
ATLADY_　　ＡＴＬａｄｙ！
ATRI_      阿弖流為II世
AVP_	   エイリアンVSプレデター(CAPCOM)
AYBT_	   あやかしびと
Azuma_　　 あずまんが大王
BABYLON_   東京BABYLON
BAT_　　　 闘神伝
BAOH_      バオー来訪者
BB_	   BulletButlers
BBG_       強殖装甲ガイバー
BCJ_	   ＢＬＡＣＫＣＡＴ
BCY_       企業戦士ＹＡＭＡＺＡＫＩ
BDN_       輝竜戦鬼ナーガス
BEAL_      ベアルファレス
BEBOP_     カウボーイビバップ
BERSERK_   ベルセルク
Betty_	   ベティ・ザ・キッド
BF_        重甲ビーファイター
BFM_       BraveFencer武蔵伝
BG_	   BOMBERGIRL
BGP_       ブギーポップは笑わない
BJ_        ブラック・ジャック
BKI_       幕末機関説いろはにほへと
BLOOD+_	   BLOOD+
BLA_       ブラックエンジェルズ
BLRO_	   ブラッディロア
BL2_       バビル二世
BH_　　　　BIO HAZARD
BH2_　　　 BIO HAZARD2
BH3_　　　 BIO HAZARD3
BHCV_　　　BIO HAZARD CODE:Veronica
BM_        ＢＬＡＣＫ／ＭＡＴＲＩＸ
BM1_	   超人バロム・１
BOF5_      ブレスオブファイアⅤドラゴンクォーター
BOKAN-8_　 タイムボカン2000　怪盗きらめきマン
BORG_      超音戦士ボーグマン
BRK_       ビーロボカブタック
BRONX_     ラストブロンクス
BS_        ブルースワット
BSRK_      武装錬金
BSSK_	   武装神姫
BSTD_      ＢＡＳＴＡＲＤ！！
BRS-A_     ブラック★ロックシューターANIMATION
BUSHIDO_   ブシドーブレード
BUTA_      紅の豚
BVAL3_	   戦場のヴァルキュリア３
BVALM_	   戦場のヴァルキュリア汎用
BYCL_      兄弟拳バイクロッサー
BZK_	   バジリスク ～甲賀忍法帖～
CS_        クレヨンしんちゃん
CERES_     妖しのセレス
CF_　　　　新世紀GPXサイバーフォーミュラ
CFSAGA_　　サイバーフォーミュラSAGA
C009_      サイボーグ００９
CANNON_    ＣＡＮＮＯＮＢＡＬＬ～ねこねこマシン猛レース
CBR_       コブラ
CCS_       カードキャプターさくら
CDLDL_     月光のカルネヴァーレ
CF_        サイバーフォーミュラ
CFSAGA_　　サイバーフォーミュラSAGA
CG_        超光戦士シャンゼリオン
CH_        ＣＩＴＹＨＵＮＴＥＲ
CHINMI_　　鉄拳チンミ
CKID_      キャプテンキッド
CMJ_       コミックマスターＪ
CMR_       カードマスター～リムサリアの封印～
COD_       カードオブデスティニー
COMMANDO_  コマンドー
