# エスタナトレーヒチーム #################################################################

ゼナ＝リオン
回避(パドック艦), 潮汐力ブースター全開！;姿勢制御ノズルでも爆発ペレットでもいいから、.使えるものはすべて吹かして！
ダメージ中, 被害状況は！？
ダメージ中, この状況には、艦が耐えられない……
ダメージ中(パドック艦), 非常隔壁を降ろして！
ダメージ中(パドック艦), 慣性相殺システム、全開！.全乗員、対衝撃体勢を継続！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！
発進, $(機体)！ 発進！！
発進(ＴＡ－２１), スーパーツイスターＴＡ－２１ゼナ＝リオン！ 発進！！


# ・NESSのプレイヤー #################################################################

メオ＝トロルのフーリガー
回避, メオ＝トロルのフーリガーをなめるな！
回避, ……そう、何度も同じ手が通用するものか！！
回避, お前に構っている暇はない！
回避, 当らんッ！！
回避, 遅い！！
回避, なめてもらっては困るな！！
回避(スティングレイ), スティングレイ、これほどのものとは……素晴らしい！！
回避(スキップジャック), スキップジャックに付いて来れるものかッ！！
回避(バラマンディ), バラマンディに付いて来れるものかッ！！
回避(バラマンディ(ＶＳ)), バラマンディに付いて来れるものかッ！！
ダメージ小, どうした、本気を出してみろ！！
ダメージ小, その程度か？ 無駄なあがきだ
ダメージ小, 相手が悪かったな！
ダメージ小(スキップジャック), その程度でこのスキップジャックを.足止めできるものか！！
ダメージ小(バラマンディ), その程度でこのバラマンディを足止めできるものか！！
ダメージ小(バラマンディ(ＶＳ)), その程度でこのバラマンディを足止めできるものか！！
ダメージ中, な、なんだこれはッ？
ダメージ中, やるな！！
ダメージ中, 筋はいいが、まだまだだな！
ダメージ中, く、それなりに腕は立つようだな！
ダメージ中, うおッ！？ 油断はできんな……
ダメージ中, やってくれるではないか！！
ダメージ大, い、いかん……！
ダメージ大, これほどの手傷を負わせられるとはッ！！
ダメージ大, 何！？ 油断したか！！
ダメージ大, 出力低下……しかし、まだ動ける！！
ダメージ大, まだまだ、戦闘能力を失ったわけではない！！
破壊, 油断したか……
破壊, メオ＝トロルのフーリガーとあろう者が……くそッ！！
脱出, く……転送回収、頼む
射程外, 小癪な真似を……
射程外, 射程外とはな
射程外, そのような戦い方、メオ＝トロルのフーリガーに.通用し続けるとは思わない事だ
射程外, そんな手を使えるのも今のうちだけだ！
攻撃無効化(ハードバリヤー), ハードバリヤー出力最大！！
攻撃無効化(ハードバリヤー), その程度では、ハードバリヤーは破れん！！
攻撃無効化(ヴェイパーシールド), ヴェイパーシールド出力最大！！
攻撃無効化(ヴェイパーシールド), ＴＥＲＲＡの技術、たいした物だな
阻止, そのような攻撃、通用せん！！
阻止, 迎撃しろ！！
攻撃, やるからには徹底する主義でな！
攻撃, 行くぞ！！
攻撃, 躱せるものなら躱してみろ！！
攻撃, これを最後にしたいものだな！
攻撃, 決着を付けてくれる！！
攻撃, 目標補足！
攻撃, ここが貴様の墓場だ！
攻撃, 仕留める！！
攻撃, 気迫の違い、見せてやる！！
攻撃, このメオ＝トロルのフーリガーが本当の戦い方と.いうものを教えてくれるわ！！
攻撃, 逃がさん！！
攻撃(スキップジャック), 行くぞ、スキップジャック！！
攻撃(バラマンディ), 行くぞ、バラマンディ！！
攻撃(バラマンディ(ＶＳ)), 行くぞ、バラマンディ！！
Ｒ４３００, Ｒ４３００、全砲発射！！
Ｒ４３００, 主砲Ｒ４３００、１号から４号……オールグリーン！;発射！！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！
発進, $(機体)！ いざ、出陣！！

メオ＝キャケルのバーニナー
回避, 来るな……！！
回避, 当たらない！！
回避, 伊達にフーリガー様の副官を務めている.わけではない！！
ダメージ小, このくらい！！
ダメージ小, 甘く見ると痛い目にあうぞ！
ダメージ小, 致命打には程遠い！
ダメージ中, い、いかん……！
ダメージ中, うわ！？ でも、まだ戦える！！
ダメージ中, 戦闘続行には影響無し！
ダメージ大, うわぁぁぁッ！？
ダメージ大, このままでは……もたない！？
ダメージ大, ここでやられては、フーリガー様に合わせる顔が無い……！
ダメージ大, 油断した！！
破壊, 申し訳ありません、フーリガー様！
破壊, これ以上の戦闘は無理か……
射程外, 残弾ゼロか！？
射程外, この距離から撃てるのか！
阻止, 迎撃システム作動！
攻撃, 沈んでもらうぞ！！
攻撃, 悪いがここは抜かせない！！
攻撃, すまん！！
攻撃, メオ氏族の面子にかけて！！
攻撃, メオ＝キャケルのバーニナー、行くぞ！！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

メオ＝ニスのルージュ
回避, そこね！
回避, おーっほっほ！ 何処見てるのかしら？
回避, ヘタクソねえ
ダメージ小, 大した事ないわ
ダメージ小, 艦内の修理機構を使って応急処置を！
ダメージ小, それで精一杯なのかしら？
ダメージ中, な、なんなの！？
ダメージ中, なかなかやってくれたわね！
ダメージ中, まだいけるわ！
ダメージ大, メオ＝ニスのルージュはこんな所では沈まないわ！！
ダメージ大, ああっ……フーリガー様！！
ダメージ大, フーリガー様、私に力を！！
破壊, そ、そんなっ！ レッドスナッパーズともあろうものが！
破壊, フーリガー様に合わせる顔がないわ……
脱出, 覚えてらっしゃい！ 次はなくてよ！！
射程外, 射程外とはあなたらしい卑怯極まりない戦法ね
射程外, 恐くて近寄ってこれないのかしら？
射程外, ちょっと弾切れなんてどういう事！？
射程外, 私としたことがエネルギー切れなんて……
ビーム無効化, 無駄よ！ 無駄なのよ！！
攻撃無効化, 無駄よ！ 無駄なのよ！！
阻止, 無駄よ！ 無駄なのよ！！
阻止, この私に触れるなど、許されない事よ！！
阻止, ちょこまかと邪魔なのよ！！
攻撃, 負けるのがいやなら、さっさと尻尾巻いて逃げる事ね！
攻撃, 沈んでもらうわ！！
攻撃, ほほほ、このメオ＝ニスのルージュの目の前を.素通りして怪我をしなかったものはいなくてよ！！
攻撃, 見ていてください、フーリガー様！！
攻撃, お黙りなさい！
攻撃, 今日という今日こそは完膚無きまでに.叩きのめしてあげるわ！
攻撃, オーッホッホッホッホッホ！！！
攻撃, じっくりいたぶってあげるわ
攻撃, レッドスナッパーズの力、思い知りなさい！！
攻撃, 観念なさい！！
アルティメットインパルス砲, 主砲アルティメットインパルスキャノン、発射！！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！
発進, $(機体)！ アタック！！

メオ＝ニスのロート
回避, きゃはは！ 回避成功！！
回避, ロートちゃんはここなのだあ～！
回避, わーいこっちだよーん！
ダメージ小, 何かロートちゃんのお船にあたったかなあ？
