ＨＵ
白兵用ブレード, ドス
ビームガン, ビームライフル イエロー
腕部小型ビーム, 小ビーム イエロー
ビームサーベル, ビームサーベル イエロー
白兵用特殊フレイル(準備), フレイル
白兵用特殊フレイル(攻撃), 白兵武器
白兵用特殊フレイル(命中), 打撃
頭部ミサイルポット, ミサイル 2
白兵用特殊ハンマー, ウォーハンマー
対機動レールガン(準備), -
対機動レールガン(攻撃), 3;Thunder.wav;ピストル -.bmp Cannon.wav
対機動レールガン(命中), 小爆発
白兵用サーベル, ドス 二刀流
レールガンポット(準備), バズーカ
レールガンポット(攻撃), Thunder.wav;対物ライフル Weapon\EFFECT_Bazooka01.bmp 32
レールガンポット(命中), 爆発
大型対艦ミサイル, スーパーミサイル
ビーム砲, ２連小ビーム イエロー
対艦ミサイルポット, 小型ミサイル 2
対機動ビーム砲, 小ビーム イエロー
長距離パルスビーム砲, ニードルレーザー連射 イエロー
４連装対艦長距離レールガン(準備), -
４連装対艦長距離レールガン(攻撃), 3;Thunder.wav;キャノン砲 4
４連装対艦長距離レールガン(命中), 連続爆発 4
長距離ミサイルポット, 小型ミサイル 4
長距離ミサイルランチャー, 小型ミサイル 5
長距離ビーム砲, 中ビーム イエロー
対機動ビーム砲, ２連小ビーム イエロー
対艦ビーム砲, ２連小ビーム イエロー

ＨＵ－ＮＮ７ティタン
対機動レールガン(準備), -
対機動レールガン(攻撃), 3;Thunder.wav;キャノン砲
対機動レールガン(命中), 爆発

戦艦
対機動パルスビーム砲, ニードルレーザー連射 イエロー
３連装対艦長距離ビーム砲, ２連中ビーム イエロー
対機動ミサイルポット, 小型ミサイル 4
４連装対艦長距離レールガン(準備), -
４連装対艦長距離レールガン(攻撃), 3;Thunder.wav;キャノン砲 4
４連装対艦長距離レールガン(命中), 連続爆発 4
対機動レールガン, 重機関砲
対艦ビーム砲, ２連中ビーム イエロー
大型対艦ミサイル, スーパーミサイル 3
中距離ミサイルポット, 小型ミサイル 4
対機動ビーム砲, ニードルレーザー連射 イエロー
対艦中距離ビーム砲, 中ビーム イエロー
対艦ミサイルポット, 小型ミサイル 4
対艦レールガン(準備), -
対艦レールガン(攻撃), 3;Thunder.wav;キャノン砲 4
対艦レールガン(命中), 連続爆発 4
白兵用有線クロー(準備), -
白兵用有線クロー(攻撃), 実弾発射 Weapon\EFFECT_IronClaw01.bmp 32 Whiz.wav 有線
白兵用有線クロー(命中), 爪撃;爪撃;爪撃
小型ミサイルポット, 小型ミサイル 4
対艦４連装レールガン(準備), -
対艦４連装レールガン(攻撃), 3;Thunder.wav;キャノン砲 4
対艦４連装レールガン(命中), 連続爆発 4
対機動８連装連射砲, 重機関砲
対機動８連装連射レールガン, 重機関砲
中距離対艦ミサイル, ミサイル 3
核爆弾(準備), -
核爆弾(攻撃), 実弾発射 Bullet\EFFECT_BazookaBullet01.bmp 64 遅;ＭＡＰ大爆発 Explode(Nuclear).wav
ビーム砲, 中ビーム イエロー
主砲, ＭＡＰビーム イエロー

ＤＯＣ－ＴＹ３ぺルガミノ
対機動レールガン, 重機関砲
対艦レールガン(準備), -
対艦レールガン(攻撃), 3;Thunder.wav;キャノン砲 4
対艦レールガン(命中), 連続爆発 4

ＣＴ－ＴＹ４アッザム
バッカニア砲, ＭＡＰビーム ブルー
