
ウルトラセブン
ウルトラ念力(攻撃), 魔法放射 黄 BeamShot.wav
ハンディ光線, 小ビーム 黄
ウルトラファイト(攻撃), 格闘
ウルトラファイト(命中), 煙 Bazooka.wav
ウルトラファイト(等身大), 格闘
エメリウム光線, ニードルレーザー 緑 EvilEye.wav
アイスラッガー逆手斬り(攻撃), 斬撃
アイスラッガー逆手斬り(命中), 斬撃
アイスラッガー(攻撃), シュートカッター Tone.wav
アイスラッガー(命中), 振り下ろし
アイスラッガー(とどめ), 縦分割
ワイドショット, 必殺光線 黄 LaserGun.wav
ウルトラノック戦法(準備), 振る武器 Bullet\EFFECT_ShootingCutter(White)01.bmp Tone.wav
ウルトラノック戦法(攻撃), 投擲武器 Bullet\EFFECT_ShootingCutter(White)01.bmp Bazooka.wav 速
ウルトラノック戦法(命中), 唐竹割り
阻止(ウルトラバリアー), バリア - ウルトラバリアー

怪獣
パンチ, 打突
レーザービーム, 破壊光線
熱線, 特殊光線 赤
爪, 爪撃
突進, タックル
棘(攻撃), 格闘
棘(命中), 刺突
破壊光線, 破壊光線
放電光線, 大電撃
尻尾(攻撃), なぎ払い
尻尾(命中), 強打
ハサミ(攻撃), 刺突
ハサミ(命中), 打撃 Slash.wav
重力光線, 必殺光線 黒
時間停止光線, 特殊光線 赤
ショック光(攻撃), 発光 白 BeamCoat.wav 対象ユニットＩＤ
ショック光(命中), 爆発
キック, キック
高熱火炎, 火炎放射
突き, 刺突
メトロン光線, ２連小ビーム 赤
アロー光線(攻撃), ニードル連射 LaserGun.wav
アロー光線(命中), 爆発
締め付け(攻撃), タックル
締め付け(命中), 立ち固め
格闘, 格闘
スペル光線, 怪光線
チョップ(攻撃), 斬撃
チョップ(命中), 打撃
破壊光弾, 光球
火炎, 火炎放射
怪音波, 音波
破壊光線銃, スーパーキャノン Weapon\EFFECT_BeamRifle01.bmp
宇宙メリケン, 打突
吹雪, 吹雪
マグマ光線(攻撃), 小ビーム 赤
マグマ光線(命中), 小ビーム 赤;炎
拘束鎖(攻撃), 実弾発射 Weapon\EFFECT_Chain02.bmp
拘束鎖(命中), 強打
高射砲, キャノン砲 10
魚雷, ミサイル 5
主砲, 大キャノン砲 3
自爆, ＭＡＰ大爆発
噛み付き, 噛み付き
冷凍光線(攻撃), 小ビーム 白
冷凍光線(命中), 小ビーム 白
リング光線(攻撃), 文字ビーム ○ 白
リング光線(命中), 爆発
放射能ガス, 煙噴射
ボーグレーザー, ニードルレーザー連射 白
レーザー光線, 小ビーム 緑
轢き潰し, 振る武器突撃 -.bmp
金縛り光線, 怪光線
プラスチック液, 放水銃 -.bmp -
ショック泡, 泡
体当たり, タックル
怪光線, 怪光線
溶解液, 放水銃 -.bmp -
触手, 多触手 黒
ジャイアントスイング, ジャイアントスイング
ウルトラファイト, 格闘
エメリウム光線, ニードルレーザー 緑 EvilEye.wav
アイスラッガー(攻撃), シュートカッター Tone.wav
アイスラッガー(命中), 振り下ろし
目潰し光(攻撃), 発光 白 BeamCoat.wav 対象ユニットＩＤ
目潰し光(命中), 爆発
くちばし(攻撃), 格闘
くちばし(命中), 打撃;打撃
義手パンチ, 打突
カギ爪, 爪撃
光線銃, スーパーガン
ペガッサガン, ビームライフル 黄
トゲ(攻撃), タックル
トゲ(命中), 刺突
生命カメラ(攻撃), 1;Reload(4).wav;4;White.bmp 480 480;1;Clear
生命カメラ(命中), -
マヒ光線, スーパーキャノン
ハンマー(準備), -
ハンマー(攻撃), 斬撃
ハンマー(命中), 強打
マグマガン, レーザーマシンガン 白
毒ガス, 煙噴射 赤
フォッグ光線, 怪光線
催眠音波, 音波
ゴース・バルーン, 泡球
分身(緊急分離回避), 画像指定分離回避 緊急分離回避 分離画像=Info(ユニットデータ,宇宙ロボットキングジョー(Ａパーツ),グラフィック)=Info(ユニットデータ,宇宙ロボットキングジョー(Ｂパーツ),グラフィック)=Info(ユニットデータ,宇宙ロボットキングジョー(Ｃパーツ),グラフィック)=Info(ユニットデータ,宇宙ロボットキングジョー(Ｄパーツ),グラフィック) Transform.wav
分身(分身の術), 分身 - 分身の術


防衛チーム
機銃, バルカン
レーザー砲, 小ビーム 緑
対空ミサイル, ミサイル
スマート爆弾, 投下爆弾
対地大型ミサイル, スーパーミサイル
多連装ロケット, 小型ミサイル 5
ロケット弾, キャノン砲
液体爆雷(攻撃), 放水銃 -.bmp
液体爆雷(命中), 爆発
ドリル, ドリル
対空レーザー, 小ビーム 緑
水中ミサイル, ミサイル
格闘, 格闘
ウルトラガン, スーパーガン
ヴァーチカルショットガン, ショットガン Weapon\EFFECT_SuperGun01.bmp
エレクトロ・Ｈ・ガン, 小型ミサイルランチャー
パラライザー, リボルバー Weapon\EFFECT_SuperGun01.bmp
ライトンＲ３０爆弾(準備), ビームライフル
ライトンＲ３０爆弾(攻撃), ライフル Weapon\EFFECT_BeamRifle01.bmp
ライトンＲ３０爆弾(命中), 大爆発
ウルトラアイ, 変形 UM7_UltrasevenU.bmp BeamCoat.wav

