
ウルトラマン
ガイアスラッシュ, Beam.wav
ガイアスラッシュ(命中), Explode(Small).wav
ウルトラファイト, BreakOff.wav
ウルトラファイト(命中), Shock(Low).wav
フォトンエッジ, 20;Charge.wav;10;LaserGun.wav
フォトンエッジ(命中), Explode.wav
クァンタムストリーム, 20;Charge(high).wav;10;LaserGun.wav
クァンタムストリーム(命中), Explode.wav
アグルブレード, 15;BeamSaber.wav;10;Slash.wav
アグルブレード(命中), Explode(Small).wav
リキデイター, Beam.wav
リキデイター(命中), Explode(Small).wav
スプリームキック, Whiz.wav
スプリームキック(命中), Crash.wav
シャイニングブレード, 20;Charge(high).wav;10;Bazooka.wav
シャイニングブレード(命中), Explode.wav
フォトンストリーム, 25;Charge(long).wav;10;LaserGun.wav
フォトンストリーム(命中), Explode.wav
バーストストリーム, 25;Charge(long).wav;10;LaserGun.wav
バーストストリーム(命中), Explode.wav
フォトンクラッシャー, 15;Charge(high).wav;10;LaserGun.wav
フォトンクラッシャー(命中), Explode.wav
アグルセイバー, 15;BeamSaber.wav;10;Slash.wav
アグルセイバー(命中), Explode(Small).wav
アグルキック, Whiz.wav
アグルキック(命中), Crash.wav
フォトンスクリュー, 25;Charge(long).wav;10;Bazooka.wav
フォトンスクリュー(命中), Explode.wav
アグルストリーム, 25;Charge(long).wav;10;LaserGun.wav
アグルストリーム(命中), Explode.wav
ヴァージョンアップ, 20;BeamCoat.wav

