
一文字號
合体(ゲッター號(前期型)), チェンジゲッタァァァァ・號ォォォッ！！！
合体(ゲッター號), チェンジゲッタァァァァ・號ォォォッ！！！
分離(ゲッター號), チェンジゲッタァァァァ・オォォォフ！！
分離(ゲッター號(前期型)), チェンジゲッタァァァァ・オォォォフ！！
回避, させるかぁ！
回避, このゲッターに追いつけるもんか！！
回避, このゲッターロボを舐めてもらっちゃ困るぜ！！
回避, へへーん、ちょろいちょろい！
回避, あたるもんかよ！
回避, あぶねえ、あぶねえ！
回避, あたるかよ！
ダメージ小, その程度か！
ダメージ小, やりやがったな！
ダメージ小, 畜生！！ 舐めやがってェ～！！
ダメージ小, なんの！ こんなかすり傷！！
ダメージ小, ゲッター！？
ダメージ小, 恐れるな！！
ダメージ中, ちくしょうっ！！ やりやがる！
ダメージ中, うっ！ うわぁぁぁっ！！！！
ダメージ中, ぐおあぁぁぁっ！！！？
ダメージ中, このお！ よくもやったな！！
ダメージ中(ゲッター號(前期型)), うっ！ なんの！ 俺達はまだこれからだっ！！
ダメージ中(ゲッター號), うっ！ なんの！ 俺達はまだこれからだっ！！
ダメージ中(スーパーゲッター號), うっ！ なんの！ 俺達はまだこれからだっ！！
ダメージ中(ゲッター號(前期型)), 俺達３人は……決して諦めない！！
ダメージ中(ゲッター號), 俺達３人は……決して諦めない！！
ダメージ中(スーパーゲッター號), 俺達３人は……決して諦めない！！
ダメージ中, うっ！ やるじゃねえか！
ダメージ中, うおっ！ くぅっ！ こいつぅ！！
ダメージ中, くっそォォォ！！！！
ダメージ大, ちっ！ ちょいとやばいぜ！
ダメージ大, ちきしょう！ このままやられてしまうのか？！
ダメージ大, うわぁぁぁぁぁぁぁっ！！！
ダメージ大(ゲッター號(前期型)), く、確かにこのままじゃやられる…….でもな！！ 仲間の為に、俺達は負けるわけにはいかないんだっ！！！
ダメージ大(ゲッター號), く、確かにこのままじゃやられる…….でもな！！ 仲間の為に、俺達は負けるわけにはいかないんだっ！！！
ダメージ大(スーパーゲッター號), く、確かにこのままじゃやられる…….でもな！！ 仲間の為に、俺達は負けるわけにはいかないんだっ！！！
ダメージ大(ゲッター號), ゲッター！ 力をくれ！！ お前が死ぬときは、俺達が死ぬときだ！！
ダメージ大(ゲッター號(前期型)), ゲッター！ 力をくれ！！ お前が死ぬときは、俺達が死ぬときだ！！
