ユニコーン機関
弾光幕(攻撃),                     光打ち上げ ホワイト Cannon.wav
弾光幕(命中),                     @戦闘アニメ_画像投下攻撃 Common\EFFECT_ParticleSwooth(White)02.bmp Fire.wav;@戦闘アニメ_画像投下攻撃 Common\EFFECT_ParticleSwooth(White)01.bmp Fire.wav 
スーパージェット線(攻撃),         実弾発射 -.bmp 有線
スーパージェット線(命中),         ショックビーム イエロー Thunder.wav;3;炎
火炎放射,                         火炎放射 Fire(2).wav
ＧＲアクション(攻撃),             格闘
ＧＲアクション(攻撃),             振り下ろし
ＧＲアクション(攻撃),             なぎ払い
ＧＲアクション(命中),             ダメージ
ＧＲアクション(空中)(攻撃),       瞬間変形 Unit\GRSFX_GiantRobo.bmp 対象ユニットＩＤ 反映;格闘
ＧＲアクション(空中)(命中),       投げ飛ばし
メガトンパンチ(準備),             フェイスアップ Pilot\GRSFX_GiantRoboP.bmp
メガトンパンチ(攻撃),             打突
メガトンパンチ(命中),             強打 Crash.wav
レーザー光線,                     ２連小ビーム ホワイト Hittyuu.wav;２連小ビーム ホワイト Hittyuu.wav;２連小ビーム ホワイト Hittyuu.wav
ロケット砲(攻撃),                 ニードルレーザー連射 ホワイト MachineGun.wav;ニードルレーザー連射 ホワイト MachineGun.wav
ロケット砲(命中),                 連続爆発;連続爆発
メガトンキック(攻撃),             瞬間変形 Unit\GRSFX_GiantRobo.bmp 対象ユニットＩＤ 反映;スーパーキック
メガトンキック(命中),             スーパーキック
大型ミサイル,                     スーパーミサイル長距離
捕縛チェーン(攻撃),               実弾発射 Bullet\EFFECT_Bullet(Black)01.bmp 16 有線
捕縛チェーン(命中),               ダメージ;ジャイアントスイング
バズーカ砲(準備),                 -
バズーカ砲(攻撃),                 ニードルレーザー連射 レッド MachineGun.wav
バズーカ砲(命中),                 連続爆発 3
時限ミサイル(攻撃),               文字投射 V レッド
時限ミサイル(命中),               @戦闘アニメ_文字投下攻撃 V レッド;大爆発
クロスファイヤー(攻撃),           文字投射 ＋ レッド Fire.wav;文字投射 ＋ レッド Fire.wav
クロスファイヤー(命中),           @戦闘アニメ_文字投下攻撃 ＋ レッド Fire.wav;@戦闘アニメ_文字投下攻撃 ＋ レッド Fire.wav;大爆発
ＧＲアクション(解説),             $(ユニット)は格闘戦をしかけた

ＢＦ団
格闘(攻撃),                  格闘
格闘(攻撃),                  振り下ろし
格闘(攻撃),                  なぎ払い
格闘(命中),                  ダメージ
#
地割れ(攻撃),                ＭＡＰ地震
地割れ(命中),                亀裂発生 遅
砂嵐,                        煙噴射 イエロー Interference.wav
#
メトロン光線,                ショックビーム ホワイト
ロケット弾(攻撃),            ニードルレーザー連射 ホワイト MachineGun.wav
ロケット弾(命中),            連続爆発
突進(攻撃),                  タックル
突進(命中),                  強打
#
触手,                        触手 グリーン
溶岩弾(攻撃),                光大噴出 レッド Cannon.wav
溶岩弾(命中),                @戦闘アニメ_画像投下攻撃 Fire\EFFECT_FlameThrowerHit(Red)07.bmp;大爆発
#
火炎放射,                    火炎放射 Fire(2).wav
鎖,                          分銅
ウルトラドリル,              ドリル
#
捕縛ロープ,                         
ミサイル砲(攻撃),            ニードルレーザー連射 レッド MachineGun.wav
ミサイル砲(命中),            連続爆発
背面ミサイル,                ミサイル 4
握り潰し(攻撃),              タックル
握り潰し(命中),              立ち固め Crash.wav
#
巨大化(攻撃),                浮上アップ GRSFX_Dorogon.bmp Charge(2).wav 残像 遅
巨大化(命中),                踏み潰し Shock(Low).wav
#
津波,                        津波
突風(攻撃),                  Swing.wav;3;Swing.wav;竜巻
突風(命中),                  竜巻
溶解液,                      水流 ホワイト
溶解液(クリティカル),        泡
#
火炎放射(D)(攻撃),           水流 ブラック
火炎放射(D)(命中),           水流 ブラック;@戦闘アニメ_火炎放射攻撃;火炎放射
#
閃光(攻撃),                  1;BeamCoat.wav;4;White.bmp 480 480;1;Clear;1;BeamCoat.wav;4;White.bmp 480 480;1;Clear;1;BeamCoat.wav;4;White.bmp 480 480;1;Clear;
閃光(命中),                  連続大爆発
放電,                        ショックビーム ライトブルー Thunder.wav
#
尻尾(攻撃),                  なぎ払い
尻尾(命中),                  強打
#
体当たり(攻撃),              タックル
体当たり(命中),              強打
眼光(攻撃),                  発光 イエロー 対象ユニットＩＤ;発光 イエロー 対象ユニットＩＤ;発光 イエロー 対象ユニットＩＤ
眼光(命中),                  発光 ブルー
#
