ＴＦ
変形(トランスフォーム), Transform.wav
アイブラスト, ２連小ビーム 緑
レーザーライフル, ビームライフル
高射ビーム砲, ２連小ビーム 赤
エナジーアックス, 光斧 オレンジ
ワイヤー(準備), -
ワイヤー(攻撃), 実弾発射 Weapon\EFFECT_IronClaw01.bmp 32 Whiz.wav 有線
ワイヤー(命中), 打撃 Reload.wav
ノイズアタック, ＭＡＰ音符
光子ライフル, ビームライフル 赤
Ｓオートマチックライフル, 対物ライフル
Ｓオートマチックライフル(命中), 泡
有線式焼夷ミサイル, ミサイル 2
チェーンアンカー, チェーン
瞬間冷凍液, 小ビーム 青
ガトリングキャノン, ガトリング
レーザーガン, レーザーガン 赤
レーザーソード, エナジーカッター 青
アームレーザー, 小ビーム
ジャイロ抑制弾, ミサイル 1
榴散弾ニードル, ニードル連射
磁気誘導弾, ミサイル 1
エレクトロンパルスガン,  レーザーガン(２) 赤
地対空ミサイル, ミサイル 1
照明弾ロケットランチャー(準備), -
照明弾ロケットランチャー(攻撃), ミサイル 1
照明弾ロケットランチャー(命中), 発光 白 Explode.wav
パイルドライバー(準備), -
パイルドライバー(攻撃), 格闘 Drill.wav
パイルドライバー(命中), 強打 Drill.wav
ＩＣＤライフル, ビームライフル 青
多弾頭砲弾, 小型ミサイル 4
幻影投射, 音波
ターレット・ガン, ビームライフル 赤
ハンティングライフル, 対物ライフル
ブラックビームガン, レーザーガン(２) 黒
熱追跡焼夷ミサイル, ミサイル 2
粒子ビームライフル, ビームライフル 赤
熱追跡ミサイル, ミサイル
溶接ライフル, ビームライフル 赤
ロケット弾, ミサイル
フック, フックロープ
煙幕, 煙噴射 黒
Ｅディスラプターライフル, ビームライフル 赤
ＥＣＭミサイル, ミサイル 2
液体窒素ライフル, ダブルビームライフル 青
ＴＥブラスター, ビームライフル 赤
レーザー砲, 小ビーム 赤
グラス・ガス, 小ビーム 白
阻止(マグネティック・フィールド), 光バリア BeamCoat.wav マグネティック・フィールド
マグネットビーム, 特殊光線 白
レーザーガン, レーザーガン(２) 赤
ドリルアタック, ドリル突撃
大砲, キャノン砲
ハンドビーム, 小ビーム 赤
レーザーカノン, 小ビーム 赤
対空レーザー砲, 小ビーム 青
振動爆弾, 小型ミサイル 1
サーマル・ビーム, 小ビーム 赤
高出力粒子ビーム, 小ビーム 赤
二連式ロケットランチャー, 小型ミサイル 2
エネルゴン・ソード, ビームソード 赤
レーザーファイアー, 持続ビーム 赤
テイルアタック, タックル
エレクトロンブラスター, ビームライフル 赤
レーザーライフル, ビームライフル 赤
アースクエイク, ＭＡＰ地震
サーマル・ソード, ライトセイバー 赤
ＬＲレーザーライフル, ビームランチャー(２) 赤
静電放射ライフル, 電撃ランチャー
ストレスフラクチャーガン, ビームライフル 赤
セパレートアタック, ２ＷＡＹ射出
セパレートアタック(命中), 連斬撃
静電砲, 球電
二連式迫撃砲, キャノン砲 2
中性子ライフル, ビームライフル 赤
ファイアーフォッグ, ミサイル 2
Ｐディスプレイサーガン, ビームライフル 赤
レーザー誘導式ミサイル, ミサイル 2
ネガ・ガン, ビームライフル 赤
トルクライフル, ビームライフル 赤
ファイアーボールカノン, キャノン砲 2
フォトンピストル, レーザーガン(２) 赤
ローターブレード, 斬撃
エアコンプレッサーカノン, キャノン砲 2
デクリスタライザーカノン, キャノン砲 2
ベイパレーター, 煙噴射 白
スマート・ロケット, ミサイル 2
粒子ビーム砲, ２連小ビーム 赤
熱源追尾式光子ミサイル, ミサイル 4
人型カセットボット, ２ＷＡＹ射出
獣型カセットボット, ２ＷＡＹ射出
獣型カセットボット(命中), 連打
Ｅスクランブラーガン, ビームライフル 赤
オーディオディスラプター, 音波
カセットボット一斉攻撃, ４ＷＡＹ射出
フラッシュ, 発光 白
粘着ライフル, ライフル
粘着ライフル(命中), 泡
オーバーロードガン, レーザーガン(２) 赤
ソーラーパワードガン, 機関砲
三連ミサイルポッド, 小型ミサイル 3
振動ライフル, ビームライフル 白
ライトカノン, 中ビーム 赤
レーザーカノン, 小ビーム 赤
プラズマブラスター, 中ビーム 赤
レーザーダガー, ビームナイフ 紫
ブラスター, レーザーガン 紫
融合カノン砲, 大ビーム 紫
エナジーメイス, 光鎚 紫
キャノン・アーム, 中ビーム 紫
ハンドミサイル, 小型ミサイル
ミサイルポッド, 小型ミサイル 2
ナルビーム, ２連小ビーム 紫
