
ＴＦ
変形(トランスフォーム), Transform.wav
ハイパーモード(アルマダコンボイ(S)), Transform.wav
ハイパーモード(究極総司令官マグナコンボイ), Transform.wav
格闘, 格闘
体当たり, タックル
サージ・ガンモード, レーザーガン 緑
スウィープ・ガンモード, レーザーガン 緑
Ｗカットアウト(準備), -
Ｗカットアウト(攻撃), 小ビーム 黄
Ｗカットアウト(命中), 爆発;爆発
オートウェポン, ２連小ビーム 赤
スパークアタック(準備), 瞬間変形 TFM_Prime(V)U.bmp
スパークアタック(攻撃), スーパータックル 黄
スパークアタック(命中), 超打
ＡＡＭクラスター, 重機関砲
ランドバルカン(準備), -
ランドバルカン(攻撃), バルカン
ランドバルカン(命中), バルカン
ベースマシンガン, 機関砲
コンボイガン, ビームランチャー 赤
ビッグパンチ, 球電
スモークディスチャージャー, 煙噴射
ダズリングヘッドライト, 発光 黄
アストロマイン, 小型ミサイル 6
マックスファイヤー(準備), 決め画像 Unit\TFM_Prime(V)U.bmp Sword.wav 前面
マックスファイヤー(攻撃), 大拡散ビーム 赤
マックスファイヤー(命中), 大拡散ビーム 赤
プラズマブラスター, ビームランチャー 赤
マグナス・ガンモード, ダブルビームライフル 緑
マトリクスキャノン, 超ビーム 赤
バレルマシンガン, サブマシンガン
ショルダーミサイル, 小型ミサイル 3
二連ミサイル, ミサイル 2
電磁ホーン(準備), -
電磁ホーン(攻撃), 連斬撃
電磁ホーン(命中), 雷斬撃
メガトロンランチャー, 大ビーム
フルバーストモード(準備), 決め画像 TFM_Barrel(V)U.bmp Sword.wav 前面;瞬間変形 Unit\TFM_Fullburstmode.bmp
フルバーストモード(攻撃), 超ビーム
フルバーストモード(命中), 超ビーム
フルバースト(準備), 決め画像 TFM_Barrel(V)U.bmp Sword.wav 前面
フルバースト(攻撃), 超ビーム
フルバースト(命中), 超ビーム
舷側ミサイル, ミサイル 2
バリア発動(光のバリア), エネルギーフィールド展開
パルスレーザー(準備), -
パルスレーザー(攻撃), ニードルレーザー連射
パルスレーザー(命中), 連続爆発 4
ミサイルランチャー, ミサイル 1
レーザーバルカン, ニードルレーザー連射 黄
主砲, 拡散ビーム 赤
ヒュドラキャノン, 巨大ビーム 白 電撃
スターセイバー, ハイパービームサーベル 白
シールド防御(コスモテクター), シールド防御 Shield\EFFECT_BeamShield(Yellow)01.bmp 32 Sword.wav 発光 コスモテクター
アストロブラスター(準備), ビームランチャー
アストロブラスター, 超ビーム 白
ダークセイバー, ハイパービームサーベル 黒
