
ＴＦ
変形(トランスフォーム), Transform.wav
トランスフォームアタック(攻撃), タックル
トランスフォームアタック(命中), 強打 Punch.wav
エグゾーストガン, ２連小ビーム 赤
ハンドソー(準備), -
ハンドソー(攻撃), 回転斬撃 Drill.wav
ハンドソー(命中), 回転斬撃 Drill.wav
フォトン・エリミネーター, ビームランチャー(２) 赤
フォトンレーザー, ダブルビームライフル 赤
モビルディフェンサー, ミサイル 2
アイブラスト, ２連小ビーム 緑
後部ミサイル, ミサイル 1
アセチレンブラスター, 火炎放射
マスケットレーザー, ショックビームガン
マスケットレーザー(命中), 泡
エレクトロレーザー, 小ビーム 赤
分身(残像移動), 分身 - 残像
タイヤスパイク, タックル
榴散弾ランチャー, ミサイル 1
ハンドレーザー, 小ビーム 赤
ローターサーベル, ライトセイバー 黒
レーザーガン, レーザーガン 赤
バイブロアックス, 片刃斧
プラズマパルスガン, レーザーガン 赤
煙幕, 煙噴射 黒
サンドブラスターガン, レーザーガン 白
パチンコ, パチンコ
三本刃ナイフ, 刺突
レーザーブラスター, レーザーガン 赤
ソーサーボム(攻撃), ソーサー Swing.wav
ソーサーボム(命中), 小爆発
モーターキャノン, キャノン砲
エグゾーストパイプ(準備), -
エグゾーストパイプ(攻撃), 格闘
エグゾーストパイプ(命中), 泡
磁力追尾手榴弾, 手榴弾
腐食剤, 泡
スペクトラムライト, 発光 白
胸部レーザーガン, 小ビーム 赤
ＡＴ酸性ペレットガン(準備), -
ＡＴ酸性ペレットガン(攻撃), 小型ミサイル 1
ＡＴ酸性ペレットガン(命中), 泡
セパレートアタック, ２ＷＡＹ射出
セパレートアタック(命中), 連斬撃
電子パルスキャノン, 電撃
炸裂弾砲, キャノン砲 1
熱線ライフル, ビームライフル 赤
ＡＴ光波ブラスター, ２連小ビーム 赤
ＳＡＴ音波ブラスター銃, レーザーガン 白
レーザー誘導式焼夷弾, ミサイル 2
速射プラズマパルス砲, ニードルレーザー 赤
Ｘ線レーザーピストル, レーザーガン 赤
ビディコンミサイル, ミサイル 2
デュラビリウムドリル, ドリル
ライトバーストガン, レーザーガン 赤
赤外線照準ミサイル, ミサイル 2
アーマー・アックス, トマホーク
減速レーザー, ダブルビームライフル 黄
ライフル, ビームライフル 紫
ＳＦガン, 交差ビーム 青 白
酸化レーザー, レーザーガン 紫
側面レーザー, ニードルレーザー 紫
リボルバーレーザー, 小ビーム 紫
ショルダーキャノン, キャノン砲
デストロンガン, 中ビーム 紫
バズーカストーム, 大ビーム 紫
高周波催眠光線, 音波
粒子ビーム砲, 中ビーム 紫
熱源追尾式プラズマ爆弾, ミサイル
回転式ブラスター, 大ビーム 紫
レーザー砲, ニードルレーザー連射 紫
破壊光線, 破壊光線
フォトンランチャー, 拡散ビーム 紫
ファング, 噛み付き
自由電子レーザー, ２連小ビーム
突進, タックル
モーション・ミサイル, ミサイル 2
チタニウムクロー, 爪撃
バイブロ・キャノン, ミサイル 2
背面プレート, タックル
二連迫撃弾ランチャー, 小型ミサイル 2
フォトンサーベル, エナジーブレード 紫
Ｘ線レーザー, 中ビーム 紫
爆発弾ランチャー, ミサイル
ソニックソード, ビームソード 紫
二連マシンガン, 重機関砲
高熱ソード, ライトセイバー 赤
光電ライフル, ショックビームガン
粒子ビームライフル, ビームライフル 紫
レーザー誘導ソード, ビームサーベル 紫
クロー, 爪撃
触媒カービン銃, 小型ミサイル 1
エレクトロソード, ライトセイバー 黄
ツインホーン, 電撃
プラズマ球発射機, 球電
ディフレクションソード, ライトセイバー 紫
音波スタンガン, 音波
ファイアブレス, 火炎放射
マグネタイザー, ショックビームガン 白
徹甲ロケット弾砲, 小型ミサイル 1
フレイムキャノン, キャノン砲
スライムガン(準備), -
スライムガン(攻撃), 小ビーム 白
スライムガン(命中), 泡

ウルトラマグナス
ミサイルランチャー, ミサイル長距離 2
スーパーブラスターガン, ビームライフル 赤
マギストレーザー, ビームライフル 赤
フォトンアームズ, 光斧 ブルー
Ｂ・ラスト, バスタービームライフル 赤
アイブラスト, ２連小ビーム 緑

メトロフレックス
マシンガン, マシンキャノン
ロケット推進追撃砲, キャノン砲
高出力メーザー砲, ２連中ビーム 赤
地対空誘導Ｍランチャー, ミサイル 2
崩壊光線砲, 特殊光線 赤
大口径ビーム砲, 大ビーム 赤
レーザーランス, エナジーブレード 赤 二刀流
反物質プロジェクター, 球電

テイルゲイト
レーザーガン, レーザーガン 赤
阻止(マグネティック・フィールド), 光バリア BeamCoat.wav マグネティック・フィールド

破壊大帝メガトロン
トランスフォームアタック(準備), 変形 Transform.wav TF2_Galvatron(G)U.bmp
トランスフォームアタック, 超ビーム 紫

スカージ
レーザーブラスター, レーザーガン 紫
崩壊光線, 破壊光線

ラナマック
トランスフォームアタック(準備), 変形 TF2_RunamuckU.bmp Transform.wav
フリクションライフル, ビームライフル 紫

ラナバウト
トランスフォームアタック(準備), 変形 TF2_RunaboutU.bmp Transform.wav
粒子ビームライフル, ビームライフル 紫

