
バーコードファイター
ビートルスラッシャー(命中), Saber.wav
スクリュースラッシャー(命中), Saber.wav
ビートルフォトプロトン, Beam.wav
ビートルフォトプロトン(命中), Explode.wav
マックスフォトプロトン, Beam.wav
マックスフォトプロトン(命中), Explode.wav
ダブルビートルスラッシャー(命中), 3;Saber.wav;Saber.wav
ダブルビートルスラッシャー(2)(命中), 3;Saber.wav;Saber.wav
バルカン砲, MachineGun.wav
バルカン砲(命中), Explode(small).wav
３倍剣, BeamSaber.wav
３倍剣(命中), Saber.wav
ビートルメスバウアー, Thunder.wav
ビートルメスバウアー(命中), Explode.wav
スターバースト, 8;Charge.wav;Beam.wav
スターバースト(命中), Explode.wav
アークガスト, Saber.wav
アークガスト(命中), Explode(Small).wav
フレイルショット, Cannon.wav
フレイルショット(命中), Punch.wav
キャタラクトスラッシャー(命中), 1;Saber.wav;1;Saber.wav;3;Saber.wav;Saber.wav
ボルテックスバースト, 8;Charge.wav;Saber.wav
ボルテックスバースト(命中), Explode(Far).wav
ボルテックスバースト(MAP), 8;Charge.wav;Saber.wav
ボルテックスバースト(MAP)(命中), Explode.wav
ソニックブーム, Saber.wav
ソニックブーム(命中), Saber.wav
ソード(命中), Saber.wav
ソニックスラッシャー(命中), Saber.wav
ボルテックスバーストターボ, 8;Charge.wav;Bazooka.wav
ボルテックスバーストターボ(命中), Explode.wav
メガバースト, 5;BeamSaber.wav;Beam.wav
メガバースト(命中), Explode.wav
フォルネーゼアポカリプス, 17;Charge(long).wav;Bazooka.wav
フォルネーゼアポカリプス(命中), Explode(Nuclear).wav
リボルバー, Gun.wav
リボルバー(命中), Explode(Small).wav
エンパイアステートクラッシュ, Swing.wav
エンパイアステートクラッシュ(命中), Crash.wav
ソルトレイクシーガル, LaserGun.wav
ソルトレイクシーガル(命中), Explode.wav
ラッシュモアプレジデンツ(命中), Bazooka.wav
トマホークペンタゴン(命中), Shock(Low).wav
エネルギー波, Beam.wav
エネルギー波(命中), Explode(Small).wav
ウインドボーンミサイル, Cannon.wav
ウインドボーンミサイル(命中), Explode(Small).wav
トルネードハンマー, Storm.wav
トルネードハンマー(命中), Shock(Low).wav
ファイヤーデストラクション, MicroMissile.wav
ファイヤーデストラクション(命中), Explode.wav
錫杖斬, Swing.wav
錫杖斬(命中), Sword.wav
十二神将, Mokugyo.wav
十二神将(命中), 2;Sword.wav;2;Sword.wav;3;Sword.wav;Sword.wav
薬師飛天光, Hittyuu.wav
薬師飛天光(命中), Inori.wav
マシンガン, MachineGun.wav
マシンガン(命中), Explode(Small).wav
カケスグラントファイアー, LaserGun.wav
カケスグラントファイアー(命中), Explode(Small).wav
Ｓカケスグラントファイアー, LaserGun.wav
Ｓカケスグラントファイアー(命中), Explode(Small).wav
石斧, Swing.wav
石斧(命中), Punch.wav
ムチ, Swing.wav
ムチ(命中), Whip.wav
プレッシャーキューブ, Fold.wav
プレッシャーキューブ(命中), Shock(Low).wav
ネメシス, 10;Hide.wav;Inori.wav
ネメシス(命中), Explode(Far).wav
ドロップキック(命中), Crash.wav
関節技(命中), Sword.wav
ジャーマンスープレックス(命中), Crash.wav
ノーザンライトボム(命中), Crash.wav
デスバレーボム(命中), Crash.wav
スラッシャー(命中), Saber.wav
ツインテックボルト, Beam.wav
ツインテックボルト(命中), Explode.wav
ライトニングテックバスター(命中), Shock(Low).wav
遮断機(命中), 2;Sword.wav;Sword.wav
胸部バルカン, MachineGun.wav
胸部バルカン(命中), Explode(small).wav
ＪＲパンチ(命中), Shock(Low).wav
突撃, Jet.wav
突撃(命中), Crash.wav
突撃(MAP), Jet.wav
突撃(MAP)(命中), Crash.wav
特攻, Jet.wav
特攻(命中), 7;Crash.wav;Explode(Far).wav
ミサイル, 6;Missile.wav;Missile.wav
しっぽ, Swing.wav
しっぽ(命中), Crash.wav
かみつき(命中), 1;Sword.wav;Sword.wav
ダイナエボリューション, Glass.wav
ダイナエボリューション(命中), Fold.wav
攻撃無効化(波のバリア), Splash.wav
対空ミサイル, MicroMissile.wav
対空ミサイル(命中), 1;Explode(Small).wav;1;Explode(Small).wav;Explode(Small).wav
対地ミサイル, MicroMissile.wav
対地ミサイル(命中), 1;Explode(Small).wav;1;Explode(Small).wav;Explode(Small).wav
超音速衝撃波, Jet.wav
超音速衝撃波(命中), Shock(Low).wav
格闘(命中), Sword.wav
ヴィゾフニール, 5;Beam.wav;5;Beam.wav;Beam.wav
ヴィゾフニール(命中), 1;Explode(Small).wav;1;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;Explode(Small).wav
フレースヴェルク, 17;Charge(long).wav;Inori.wav
フレースヴェルク(命中), Explode.wav
