#─────────────────────────────────────────────
# パイロット能力
#
# せっかくいろいろ設定もあるので、パイロットに特殊能力をつけましょう。

デュアルカインド
オーラLv1=デュアルカインド

# サブパイロットの能力も反映される……ということでオーラを採用。
# 二人分のデュアルインパルスが必要という点で、これが最も原作に近いのではないかと思います。

リミピッドチャンネル
超感覚Lv1=リミピッドチャンネル

# ・Lv成長なしで固定。
# ・ベターマン／ベストマン……Lv3  サクラ……Lv1  それ以外……Lv2

#─────────────────────────────────────────────
# ユニット能力
#─────────────────────────────────────────────
# ニューロノイド用

リンカージェル
ＣＴ率強化Lv0.4=浸 (デュアルカインドLv1)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv1.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv2)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv2.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv3)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv3.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv4)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv4.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv5.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv6)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv6.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv7)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv7.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv8)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv8.5)
ＣＴ率強化Lv0.2=浸 (デュアルカインドLv9)
リンカージェル=リンカージェル "パイロットのデュアルカインドLvに応じて浸属性攻撃のＣＴ率が増加する。_
(+$((Skill(Pilot(対象ユニットＩＤ,1),デュアルカインド) + Skill(Pilot(対象ユニットＩＤ,2),デュアルカインド) / 2) * 2)%)"

# デュアルカインドLvによってシナプス弾撃のＣＴ率が向上。
# 貫属性とあいまって、レベルが上がると高ダメージを出しやすくなっていきます。
#
# ニューロノイドは二人乗りユニットのため、デュアルカインドLvは最低でも1.5
# 最大はケータ(覚醒)の6+3 = 9

ローラーダッシュ
地形適応=ローラーダッシュ 街 ビル 基地 研究所 発電所 城塞 廃虚 遺跡 宇宙要塞 宇宙ドッグ
