ニューロノイド
シナプス弾撃(準備),         粒子集中 白
シナプス弾撃(攻撃),         スーパーパンチ 白
シナプス弾撃(命中),         打撃;光噴出 白
シナプス弾撃(射撃)(準備),   粒子集中 白
シナプス弾撃(射撃)(攻撃),   放水銃 -.bmp Splash.wav
シナプス弾撃(射撃)(命中),   放水銃 Splash.wav;光噴出 白
シナプス包膜(準備),         粒子集中 白
シナプス包膜(攻撃),         泡球
シナプス包膜(命中),         泡;光噴出 白
ツインシナプス弾撃(準備),   粒子集中 白
ツインシナプス弾撃(攻撃),   スーパーパンチ 白
ツインシナプス弾撃(命中),   打撃;光噴出 白
アナライズ(使用),           粒子集中 ピンク
アナライズ(ヒノキ)(使用),   粒子集中 ピンク
ニトロ(使用),               オーラ上昇 黄色
機関砲,                     機関砲
ガトリングガン,             内蔵ガトリング
ミサイルポッド,             小型ミサイル 6
無反動砲,                   キャノン砲
長距離キャノン砲,           大キャノン砲

グリアノイド
突撃,                       タックル

ベターマン
クラッシュウィッパー(準備),   -
クラッシュウィッパー(攻撃),   振り下ろし
クラッシュウィッパー(命中),   鞭
ソニックウェーブ,             音波
サイコヴォイス(準備),         @戦闘アニメ_振り下ろし攻撃;5;Whip.wav;10;Charge(Silent).wav
サイコヴォイス(攻撃),         音波 Flash.wav
サイコヴォイス(命中),         音波 Flash.wav
衝角(準備),                   -
衝角(攻撃),                   振り下ろし
衝角(攻撃),                   斬撃
衝角(命中),                   斬撃
サイコフルード(準備),         @戦闘アニメ_斬撃攻撃;5;Slash.wav;@戦闘アニメ_液体噴射命中
サイコフルード(攻撃),         ＭＡＰオーラ 青
サイコフルード(命中),         魔法集中 青 Splash.wav
スライディングサーベル(準備), -
スライディングサーベル(攻撃), 刺突
スライディングサーベル(命中), 大刺突 橙 Sword.wav
サイコグローリー(準備),       @SpecialPowerAnime 偵察 相手ユニットＩＤ;@SpecialPowerAnime 必中 対象ユニットＩＤ
サイコグローリー(攻撃),       刺突
サイコグローリー(命中),       超斬撃 橙 Sword.wav;地面衝撃;大放電
サイコグローリー(とどめ),     @戦闘アニメ_打突攻撃;@戦闘アニメ_強打命中 Crash.wav;@戦闘アニメ_連続爆発命中;@戦闘アニメ_連続爆発命中
ファイアリングサーベル(準備), -
ファイアリングサーベル(攻撃), 刺突
