精獣魔神
炎の矢(準備), 光噴出 赤 fire.wav
炎の矢(攻撃), 波動放射 赤 fire.wave
炎の矢(命中), 火炎放射
火炎放射(準備), 発光 赤
火炎放射(攻撃), 火炎放射
火炎放射(命中), 火炎放射
羽ばたき, 強風
碧の疾風(準備), 光噴出 緑 storm.wav
碧の疾風(攻撃), シュートカッター 緑;シュートカッター 緑
電撃(準備), 放電
電撃(攻撃), 電撃
電撃(命中), 電撃;放電
水の竜(準備), 光噴出 青 -.wav;龍召喚 青;splash.wav
水の竜(攻撃), 龍 青 発光 splash.wav
水の竜(命中), 放水銃;津波
ランティスの剣, 神剣
閃光の螺旋(準備), 突く武器 Weapon\EFFECT_Sword03.bmp;光噴出 白　
閃光の螺旋(攻撃), 交差ビーム 黄色 白
閃光の螺旋(命中), 交差ビーム 黄色 白
ネイルアタック(攻撃), 白兵連撃 slash.wav
ネイルアタック(命中), 爪撃
アストラ, 氷弾
アライル, 氷柱
シザース(攻撃), 振り下ろし
シザース(命中), 打突
バブルショット, 泡球;泡球
衝撃波(準備), beamsaber.wav
衝撃波(攻撃), 音波 beamsaber.wav
衝撃波(命中), 斬撃乱舞 beamsaber.wav
闇のいかづち(準備), 光噴出 黒;落雷
闇のいかづち(攻撃), 大電撃
闇のいかづち(命中), 大電撃;飛沫 黒

ランティス(ＯＶＡ)
精獣(準備), 狼
精獣(攻撃), 狼
精獣(命中), 噛み付き
クレスト(準備), 狼 発光;5;神剣
クレスト(攻撃), 小ビーム 青
クレスト(命中), 小ビーム 青

魔神ウィンダム
光線, 発光 緑

魔神セレス
光線, 発光 青

魔神レイアース
光線, 発光 白
