紅拳
発進(レッドバロン), うぉぉぉーーーっ！;レッドバロン！: ファイヤァー！！！
発進(レッドバロン(ＡＭ)), うぉぉぉーーーっ！;レッドバロン！: ファイヤァー！！！
発進(レッドバロン(サイコパワー)), うぉぉぉーーーっ！;レッドバロン！: ファイヤァー！！！
回避, 見えるぜ！
回避, させるかぁ！！
回避, よっしゃ～あ！
回避, ふん！ 甘めえよ！
回避, おっと、危ねぇ！！
回避, へっ、まかしとけ！
回避, ふぅ～、危ねぇ危ねぇ！
回避, へっへっへぇ～っ！！
回避, おっと、危ねえなぁ～
回避, そんな攻撃食らうかよ！
回避, へっ、ちょろいもんだぜ！
回避, へ、お前の動きは見切った！！
回避, どうした！オレはここだぜ！！
ダメージ小, ふん、その程度かよ！
ダメージ小, どぉ～て事ねぇな！！
ダメージ小, たく、うるせぇ奴だぜ！
ダメージ小, 甘めえ！ 効かねぇぜ！
ダメージ小, それでも攻撃のつもりか！
ダメージ小, へ、全然効いてねぇぜ！
ダメージ小, それで攻撃してるつもりかよ
ダメージ小, 効いてねぇぜ、出直してきな！
ダメージ小, へっ！ 全然平気平気だぜっ！！
ダメージ小, へへ、オレはピンピンしてるぜ！！
ダメージ小, そんな攻撃バロンには屁でもねぇぜ！
ダメージ小, へっ！ オレにはテメエじゃ役不足だぜ！
ダメージ小, その程度じゃ、オレとレッドバロンにかなわないぜ！
ダメージ小, へっ！ てめえなんかに負けるレッドバロンじゃねぇっ！
ダメージ中, い、痛ってぇ～！
ダメージ中, う～痛てぇ～！！
ダメージ中, くそぉぉ～何てこった！！
ダメージ中, や、やるじゃねぇか！！
ダメージ中, なろぉ～ なんてパワーだ！？
ダメージ中, このぉ～ バカにしやがって！
ダメージ中, 痛ってぇ～ こんにゃろめっ！
ダメージ中, うぉぉ～！ なんて力だっ！？
ダメージ中, ちっ！ 味な事しやがるぜ！！
ダメージ中, くそぉ～油断しちまったか！？
ダメージ中, へ、意外とやるじゃねぇか！！
ダメージ中, あたぁ～ やりやがったな！！
ダメージ中, このぉ～ 上等じゃねぇかっ！！
ダメージ中, うぉぉ～！！ まだまだぁぁっ！！
ダメージ中, うおっ！？ なかなかやるなぁ！！
ダメージ中, しまった！？ 油断しちまったぜ！
ダメージ中, やろぉ～ やりやがったなぁっ！！
ダメージ中, やるな！ 相手に取って不足はねぇっ！！
ダメージ中, おっと、やるなぁ！！ 負けねぇぜ！！
ダメージ中, し、しまった！？ 油断しちまったか！？
ダメージ中, き、効くぜ……頭がクラクラするぜ・・・
ダメージ大, どぁぁ～～っ！？
ダメージ大, な、なんだぁ！？
ダメージ大, ま、マジかよ……！？ 
ダメージ大, じょ、冗談じゃねぇぜ！？
ダメージ大, まだだ！ まだ行けるぜ！！
ダメージ大, こ、このままじゃもたねぇ！？
ダメージ大, くぅ・・・オレは逃げねぇっ！！
ダメージ大, オ、オレは誰にも負けねぇ……
ダメージ大, ちくしょう・・・ このままじゃ！！
ダメージ大, うぉぉぉー！？ 信じられねぇ……
ダメージ大, まだだ！ まだ負けちゃいねぇっ！！
ダメージ大, くそぉぉ！！ オレは負けねぇっ！！！
