

ニルヴァーシュ
ハイパーモード(セブンスウェル), @戦闘アニメ_光柱命中
ブーメラン型ナイフ, 振る武器突撃 -.bmp
ブーメラン型ナイフ(命中), 振る武器突撃 -.bmp 斬撃
ＣＢドロップターン, 急降下
セブンスウェル, ＭＡＰフラッシュ
セブンスウェル(命中), ダメージ
セブンスペクトラル(攻撃), 振る武器突撃 -.bmp;虹色必殺光線
セブンスペクトラル(命中), 虹色必殺光線
エンベロープスペクトラム, ＭＡＰフラッシュ
エンベロープスペクトラム(命中), @ＳＰアニメ_魅惑 相手ユニット 相手ユニット
スペクトラルクライシス, 小ビーム ピンク
スペクトラスコピーモード, ＭＡＰ持続ビーム ピンク
ＣＢドロップターン(解説), $(ユニット)はカットバックドロップターンで攻撃をかけた。



ＬＦＯ
ブーメラン型ナイフ, 振る武器突撃 -.bmp
ブーメラン型ナイフ(命中), 振る武器突撃 -.bmp 斬撃
ＣＢドロップターン, 急降下
ロングレンジレーザー砲, 中ビーム ピンク
ブレード, 斬撃
可動式ロングレーザー砲, ２連小ビーム ピンク
ライフル, Beam.wav
ライフル(命中), 銃弾
フリスビー, ソーサー
フリスビー型ナイフ, 振る武器突撃 -.bmp
フリスビー型ナイフ(命中), 振る武器突撃 -.bmp 斬撃
有線式クロー, 実弾発射 Weapon\EFFECT_IronClaw01.bmp Whiz.wav 有線
有線式クロー, 噛み付き
クロー, クロー突撃
ストックナイフ, 連斬撃
ホーミングレーザー, ホーミングレーザー レッド
バスクード・クライシス, 超ビーム レッド
可動式レーザー, 小ビーム
アームナイフ, 斬撃
スピアヘッド(攻撃), 格闘
スピアヘッド(命中), 刺突 Shock(Low).wav
ミサイルポッド, ホーミングミサイル
ＣＢドロップターン(解説), $(ユニット)はカットバックドロップターンで攻撃をかけた。

月光号
ミサイルランチャー, ミサイル 4
ホーミングレーザー, ホーミングレーザー ピンク
主砲, ２連中ビーム ブルー

銀河号
アドラス, ４ＷＡＹ射出
アドラス(命中), オールレンジ
ホーミングレーザー, ホーミングレーザー ピンク

イズモ艦
ミサイルランチャー, ミサイル 4
ホーミングレーザー, ホーミングレーザー ピンク

