天のゼオライマー
エネルギー波, 中ビーム 橙
格闘(攻撃), タックル Breath.wav
格闘(命中), 強打 Shock(Low).wav
次元連結砲(攻撃), 発光 橙 BeamSaber.wav 対象ユニットＩＤ
次元連結砲(命中), 連続爆発
メイオウ攻撃(準備), 決め文字 天 赤 Sword.wav
メイオウ攻撃(攻撃), 瞬間変形 MPZ_Zeorymer(Meiou).bmp;ＭＡＰフラッシュ 橙 Boot.wav;ＭＡＰオーラ 橙 Bazooka.wav
メイオウ攻撃(命中), オーラ 橙 Explode(Nuclear).wav
分身(空間跳躍), 防御テレポート１ 空間跳躍 64 128 黄 BeamShot.wav
テレポート, テレポート１ BeamShot.wav 黄

風のランスター
ボーンフーン, 旋風 白
ブレイウェイン, 地表衝撃波 白
デッド・ロンフーン(準備), 決め文字 風 赤 Sword.wav
デッド・ロンフーン(攻撃), 旋風 白
デッド・ロンフーン(命中), 竜巻 Saber.wav

火のブライスト
アームクロー, 格闘
フレアランチャー, 火炎放射 赤
マグラッシュ(準備), 決め文字 火 赤 Sword.wav
マグラッシュ(攻撃), 光球 赤 BeamGun.wav
マグラッシュ(命中), 大爆発
トゥインフレアー, ２連中ビーム 黄
トゥインロード(攻撃), 同時タックル;会話 シ＝タウ "ビームサーチャー！" 固定;実弾発射 Laser\EFFECT_NeedleLaserHitA(Red)05.bmp 48 LaserGun.wav 残像 Partner(1);会話 シ＝アエン "今だ！ マグラァアアシュ！" 固定;２連中ビーム 青 Partner(1);光球 赤 BeamGun.wav
トゥインロード(攻撃), 同時タックル;会話 シ＝タウ "ビームサーチャー！" 固定;実弾発射 Laser\EFFECT_NeedleLaserHitA(Red)05.bmp 48 LaserGun.wav 残像 Partner(1);会話 シ＝アエン "マグラァアアッシュ！" 固定;２連中ビーム 青 Partner(1);光球 赤 BeamGun.wav
トゥインロード(命中), 大爆発

水のガロウィン
ガロウィン・ブリザード(攻撃), 光球 青 Storm.wav
ガロウィン・ブリザード(命中), 発光 青 Glass.wav
メガサーチャービーム(準備), 決め文字 水 赤 Sword.wav
メガサーチャービーム, ２連中ビーム 青
トゥインフレアー, ２連中ビーム 黄
トゥインロード(攻撃), 同時タックル;会話 シ＝タウ "ビームサーチャー！" 固定;実弾発射 Laser\EFFECT_NeedleLaserHitA(Red)05.bmp 48 LaserGun.wav 残像;中ビーム 青;会話 シ＝アエン "今だ！ マグラァアアシュ！" 固定;２連中ビーム 青;光球 赤 BeamGun.wav Partner(1)
トゥインロード(攻撃), 同時タックル;会話 シ＝タウ "ビームサーチャー！" 固定;実弾発射 Laser\EFFECT_NeedleLaserHitA(Red)05.bmp 48 LaserGun.wav 残像;中ビーム 青;会話 シ＝アエン "マグラァアアッシュ！" 固定;２連中ビーム 青;光球 赤 BeamGun.wav Partner(1)
トゥインロード(命中), 超爆発

月のローズセラヴィー
指部ビーム, ニードルレーザー連射 赤
脚部ビーム, ２連小ビーム 赤
胸部ビーム, 中ビーム 赤
ルナ・フラッシュ, ビームソード 赤
Ｊカイザー(準備), 決め文字 月 赤 Sword.wav
Ｊカイザー(攻撃), 超ビーム 青
Ｊカイザー(命中), 超ビーム 青
Ｊカイザー<最大出力>(準備), 決め文字 月 赤 Sword.wav
