直立型特殊車両
ノーマルアーム, 打撃突撃
ロケットパンチ, ロケットパンチ
ネット砲(準備), Reload.wav
ネット砲(攻撃), 実弾発射 Anime\Weapon\EFFECT_Net01.bmp Bazooka.wav
ドリルアーム, ドリル
ダブルドリラー, ドリル;ドリル
ノットバスター(準備), Reload.wav
ノットバスター(攻撃), タックル
ノットバスター(命中), FightHit(3).wav;Bazooka.wav;発光
ノットバスター(とどめ), 貫通穴
マズルクロー(準備), Reload.wav
マズルクロー(攻撃), クロー
マズルクロー(命中), クロー
フライホイール(準備), Reload.wav
フライホイール(攻撃), 斬撃 Drill.wav
フライホイール(命中), 斬撃
ノットパニッシャー(準備), Reload.wav
ノットパニッシャー(攻撃), タックル
ノットパニッシャー(命中), FightHit(3).wav;Bazooka.wav;発光
ノットパニッシャー(とどめ), 貫通穴
グレートアーム, 打撃突撃
アサルトアーム, 打撃突撃
４連装ミサイルポッド, ミサイル 4
爆弾, 投下爆弾
頭部30mmガトリング砲, 内蔵ガトリング
腰部ガトリング砲, 内蔵ガトリング
ミサイルランチャー, ミサイル 2
連装ミサイル, ミサイル 5
バルカン砲, バルカン
ノットパニッシャー(ＫＦ)(準備), Reload.wav
ノットパニッシャー(ＫＦ)(攻撃), ミサイル
ノットパニッシャー(ＫＦ)(命中), FightHit(3).wav;Bazooka.wav;発光
ノットパニッシャー(ＫＦ)(とどめ), 貫通穴
大型ミサイルランチャー, スーパーミサイル

#酸放水, 津波
#自動車投げ, ロケットパンチ (ここに車の画像データを入力して使ってください)

ヘテロダイン
触手, 触手
熱線, 小ビーム レッド
突撃, タックル
超振動, 音波
増殖, 乱打
棘, ニードル連射
グアマンドアーム, 格闘
電気砲丸, 球電
放電攻撃, 電撃
電子レンジ攻撃, 必殺光線 レッド
回転体当たり, 打撃突撃
スパーク, 破壊光線
冷却(MAP), ＭＡＰ凍結
冷却, 凍結
粉塵爆発(MAP), ＭＡＰ大爆発
粉塵爆発(準備), -
粉塵爆発(攻撃), 粒子噴射 ホワイト
粉塵爆発(命中), 炎
ヘテロアーム, 格闘
スパイクアーム, 格闘
