ガイキング
アブショックライト,              Flair.wav;ＭＡＰフラッシュ
リングトラッパー(攻撃),          実弾発射 \Weapon\EFFECT_Chakram01.bmp - LaserGun.wav
リングトラッパー(命中),          ダメージ
ハンドミサイル,                  小型ミサイル 2
エレクトリックガン,              ２連小ビーム イエロー
カウンタークロス(準備),          手裏剣
カウンタークロス(攻撃),          手裏剣
カウンタークロス(命中),          刺突
デスアイ,                        ２連小ビーム イエロー
デスパーサイト(攻撃),            1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;２連小ビーム イエロー BeamShot.wav
デスパーサイト(命中),            ２連小ビーム イエロー
ガイキングミサイル(攻撃),        小型ミサイル 10 MachineGun.wav
ガイキングミサイル(命中),        小型ミサイル 10
キラーバイト,                    噛み付き
アイビーム,                      ２連小ビーム イエロー
バックシュエッダー(攻撃),        3;BeamShot.wav;格闘 Whiz.wav
バックシュエッダー(命中),        2;Drill.wav;2;Drill.wav;7;Drill.wav;ダメージ
パライザー(攻撃),                ヘッドバット
パライザー(命中),                打撃;放電
ザウルガイザー,                  交差ビーム レッド ブルー Charge.wav
ミラクルドリル(準備),            GunPod.wav;3;BreakOff.wav;10;AntiShipMissile.wav;3;BreakOff.wav
ミラクルドリル(攻撃),            ドリル
ミラクルドリル(命中),            ドリル
デスライト,                      特殊光線
デスファイヤー,                  火炎放射
ハイドロブレイザー(攻撃),        @戦闘アニメ_粒子集中準備 レッド;球電 Whiz.wav
ハイドロブレイザー(命中),        大爆発
魔球ハイドロブレイザー(準備),    フェイスアップ ツワブキ＝サンシロー(攻撃)
魔球ハイドロブレイザー(攻撃),    @戦闘アニメ_粒子集中準備 レッド;球電 Whiz.wav
魔球ハイドロブレイザー(命中),    超爆発


大空魔竜
シーアイス,                      ミサイル 1
冷凍光線(攻撃),                  ２連小ビーム ブルー
冷凍光線(命中),                  ２連小ビーム ブルー;凍結 Glass.wav
ノックアタッカー(攻撃),          実弾発射 Weapon\EFFECT_Hundou01.bmp Whiz.wav
クローカッター(命中),            爪撃
ブーム魚雷,                      ミサイル 1
レーザー砲,                      ２連小ビーム イエロー
キラーバイト,                    噛み付き
ミドルレーザー,                  中ビーム イエロー
カイザープロテクトアタック(命中),小ビーム
サンダーアイ(攻撃),              1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;２連小ビーム イエロー BeamShot.wav
サンダーアイ(命中),              ２連小ビーム イエロー
パライザー(攻撃),                ヘッドバット
パライザー(命中),                打撃;放電
ザウルガイザー,                  交差ビーム レッド ブルー Charge.wav
ドラゴンカッター(攻撃),          ２ＷＡＹ射出 Swing.wav
ドラゴンカッター(命中),          連斬撃
火車カッター(攻撃),              ＭＡＰ移動タックル 赤 Drill.wav
ハイドロブレイザー(攻撃),        @戦闘アニメ_粒子集中準備 レッド;球電 Whiz.wav
ハイドロブレイザー(命中),        大爆発
ミラクルドリル(準備),            -
ミラクルドリル(攻撃),            10;GunPod.wav;3;BreakOff.wav;3;BreakOff.wav;ドリルミサイル AntiShipMissile.wav
ミラクルドリル(命中),            ドリル
ビッグホーン(攻撃),              Reload.wav;タックル
ジャイアントカッター(攻撃),      Sword.wav;タックル
ジャイアントカッター(命中),      刺突
ジャイアントカッター(とどめ),    横分割
ジャイアントカッター(とどめ),    縦分割
大型ミサイル砲(攻撃),            10;Warship.wav;スーパーミサイル Storm.wav
大型ミサイル砲(命中),            大爆発 Explode(Far).wav



#大空魔竜メカ

翼竜スカイラー
機銃,                            バルカン

魚竜ネッサー
ネッサーファイヤー,              火炎放射
自動追跡魚雷,                    ミサイル 1


剣竜バゾラー
バゾラー光線砲,                  小ビーム
バゾラーホーン,                  タックル
バゾラービーム,                  怪光線
バゾラー砲,                      ミサイル 1

