デューク＝フリード(宇)
変形(ガッタイガー), スペイザー・ゴー！;ギャザー！ ガッタイガー！！
変形(ロボイザー), ブレイク・アップ！ ロボイザーッ！！
回避, おっと！ 当たるものか！！ 
回避, こんなものっ！ 
回避, おっと！ 甘いぜ！ 
回避, こんなものっ！！ 
回避, あぶないっ！ 
回避, 何をしている！！ 
回避, 甘いぜ！ 
回避, ふぅ… あぶなかった！ 
回避, なんの！ 
回避, そんなもの！ 
回避, そんなものが通用するかっ！
回避(ロボイザー), そんなものでこのロボイザーに通用するか！
ダメージ小, ふん、まだまだ！！ 
ダメージ小, どうした！ そんなものか！？ 
ダメージ小, やるな！ だがこの$(機体)を舐めるなよ！！ 
ダメージ小, まだだ！ 
ダメージ小, この程度のダメージ！ 
ダメージ小, なんの！！ 
ダメージ小, まだまだ！！ 勝負はこれからだ！！ 
ダメージ小, く… やるな！ 
ダメージ小, $(機体)がこの程度で！ 
ダメージ小, この程度なら！ 
ダメージ小, まだまだ！ 
ダメージ小, よし、たいしたことはないな
ダメージ小, そんな攻撃は通用しない
ダメージ中, うわぁっ！！ 
ダメージ中, うわぁぁぁっ！！ 
ダメージ中, し、しまったっ！！ 
ダメージ中, くっ！ なんのこれしき！！ 
ダメージ中, やるな！ だがまだ！！ 
ダメージ中, なんと！ だがこんなもので$(機体)は落ちないぞ！！ 
ダメージ中, くっ！ ま、まだいける！ 
ダメージ中, やるな！ しかし！！ 
ダメージ中, なにっ！ こ、こいつ！ 
ダメージ中, ぬうっ！！ だが、$(機体)はこんなものでは！！ 
ダメージ中, くうっ！ この程度で落ちるものかっ！！ 
ダメージ中, くっ！ だがこの程度ならまだいける！ 
ダメージ中, やるな！ しかし！ 
ダメージ中, なかなかやるな！ 
ダメージ大, うわぁぁぁぁ！！！ 
ダメージ大, ぐわっ！！ まずい！ このままでは$(機体)が！！ 
ダメージ大, ぐっ！ ダメージを受けすぎたか！？ 
ダメージ大, ぐっ…まずい…
ダメージ大, うわぁぁぁっ！！ 
ダメージ大, なにっ！ このままでは！ 
ダメージ大, うわっ！ …やるっ！！ 
ダメージ大, だめだ！ このままじゃもたない！ 
ダメージ大, くっ… も、もつのか…？ 
ダメージ大, くそっ！ まだだ！ まだ落ちるな！ 
ダメージ大, くそっ… なんてパワーだ！ 
ダメージ大, くっ… いかん、なんとかしなくては…
ダメージ大, $(機体)… まだもってくれ！ 
破壊, しまった！？ この$(機体)が！？ 
破壊, くっ！ しまったっ！！ 
破壊, し、しまったっ！！ 
破壊, 手も足も出ないのか…？ 
破壊, くそっ！ だめか…
ビーム無効化, ビームなど！ 
ビーム無効化, ムダだっ！！ 
ビーム無効化, 無駄な事を！ 
射程外, くそっ、この距離では！！ 
射程外, くそっ、だめか！？ 
射程外, 駄目だ、手が出せないっ！！ 
射程外, くそ、遠すぎるか
射程外, 駄目だ、この距離では反撃できない！ 
射程外, 反撃できない！ 
射程外, 駄目だ！ 届かない！ 
射程外, 駄目だ！ 遠すぎる！ 
攻撃, くらえ！ 
攻撃, いくぞ！！ 
攻撃, これならどうだ！！ 
攻撃, これでどうだ！！ 
攻撃, よし、いくぞ！ 
攻撃, よし！ とどめだ！！ 
攻撃, 勝負だ！ 
攻撃, いくぞ！ $(機体)！
攻撃(反撃), 今度はこちらから行くぞ！！ 
攻撃(反撃), 今度はこっちの番だ！！ 
攻撃(反撃), お返しだ！ 
かけ声, くらえ！ 
かけ声, いくぞ！！ 
かけ声, これならどうだ！！ 
かけ声, これでどうだ！！ 
かけ声, よし、いくぞ！ 
かけ声, よし！ とどめだ！！ 
かけ声, 勝負だ！ 
かけ声, いくぞ！ $(機体)！
かけ声(反撃), こいつはお返しだ！！ 
かけ声(反撃), 今度はこちらから行くぞ！！ 
かけ声(反撃), 今度はこっちの番だ！！ 
かけ声(反撃), お返しだ！ 
スペースサンダー, スペースサンダー！！ 
ニードルシャワー, ニードルシャワーッ！
スパイカースピン, スパイカースピンッ！
サンダーフォーカス, サンダァーフォーカス！！
発進(グレンダイザー), グレンダイザー、ゴー！！！ 
発進(グレンダイザー), ダイザー・ゴー！！ 
発進(スペイザー), グレンダイザー、ゴー！！！ 
発進(スペイザー), スペイザー・ゴー！！ 

