空雷王
リベットガン,                    内蔵ガトリング
クウライカッター(攻撃),          シュートカッター
クウライカッター(命中),          シュートカッター
クウライショット,                パチンコ
クウライ弓(準備),                弓
クウライ弓(攻撃),                弓矢 Beam.wav
クウライ弓(命中),                小ビーム イエロー
クウライ剣,                      剣
クウライショック,                特殊光線


海鳴王
カイメイネット(攻撃),            ネット
カイメイネット(命中),            BeamSaber.wav;ダメージ
ウォーターガン,                  放水銃 Weapon\EFFECT_BeamRifle01.bmp
ダブルチェーン(準備),            ヌンチャク
ダブルチェーン(攻撃),            ヌンチャク
ダブルチェーン(命中),            ダメージ
アイスブリザード(攻撃),          吹雪
アイスブリザード(命中),          吹雪;凍結 Glass.wav


陸震王
アタックドリル(準備),            ビームライフル
アタックドリル(攻撃),            ドリルミサイル
アタックドリル(命中),            ドリル
レッドビーム,                    特殊光線 レッド


ゴッドシグマ
フィンガーニードル(攻撃),        ニードル連射 MachineGun.wav
フィンガーニードル(命中),        ニードル連射
スピンソーサー(準備),            ソーサー 二刀流
スピンソーサー(攻撃),            ソーサー;ソーサー
スピンソーサー(命中),            ダメージ;ダメージ
シグマミサイル,                  ミサイル 2
ゴッドトマホーク(準備),          片刃斧
ゴッドトマホーク(攻撃),          片刃斧投擲
ゴッドトマホーク(命中),          斬撃
シグマショック,                  特殊光線
トマホーク二段十字打ち(準備),    片刃斧 二刀流
トマホーク二段十字打ち(攻撃),    片刃斧投擲;片刃斧投擲
トマホーク二段十字打ち(命中),    連斬撃
ゴッドストリングス(準備),        鞭 BeamSaber.wav
ゴッドストリングス(攻撃),        斬撃
ゴッドストリングス(命中),        ダメージ Whip.wav
無双剣,                          剣
無双剣唐竹割り(準備),            剣;フェイスアップ 壇闘志也
無双剣唐竹割り(攻撃),            斬撃
無双剣唐竹割り(命中),            唐竹割り
無双剣唐竹割り(とどめ),          縦分割
シグマブレスト唐竹割り(準備),    剣;フェイスアップ 壇闘志也
シグマブレスト唐竹割り(攻撃),    必殺光線 赤;5;BeamCoat.wav;斬撃
シグマブレスト唐竹割り(命中),    超斬撃
シグマブレスト唐竹割り(とどめ),  縦分割
ビッグウィング(準備),            -
ビッグウィング(攻撃),            タックル Jet.wav
ビッグウィング(命中),            超打 Crash.wav

