一文字タクマ 
変形(ダンガードＡ), オープンサテライザァァァッ！！;チェンジダンガァァァド！ セットオンッ！！
変形(サテライザー), オープンダンガァァァドッ！！;チェンジサテライザァァァッ！ セットオンッ！！ 
回避, 当たってたまるか！
回避, おっと！ そうはいくもんか！
回避, ちくしょう、肝を冷やさせやがらあ…
ダメージ小, この程度！！
ダメージ小, くっ！！
ダメージ小, ダンガードＡにそんなものが通用するか！
ダメージ小, なあにこれくらい！
ダメージ小, なんのこれしき！
ダメージ中, おうわあああっ！！
ダメージ中, うおおおっ！！
ダメージ中, くっ！ ちくしょう！！
ダメージ中, やってくれたな！！
ダメージ中, くそお… しつこい奴だぜ！
ダメージ大, うおおおおおっ！！
ダメージ大, うおぉわああああっ！！
ダメージ大, こっ、こいつっ！！
ダメージ大, 負けるもんかぁっ！！
ダメージ大, どうわあああっ！！
ビーム無効化, こんなビーム！！
ビーム無効化, 効くもんかっ！！
破壊, やられたっ！？ 父さーんっ！！
破壊, こんな所でやられるわけにはいかないんだ！！
射程外, くそっ、届かない！
射程外, そんな距離から！？
攻撃, よおし！ 見てろ！！
攻撃, いくぜーっ！！
攻撃, くらえーっ！！
攻撃, そうれ！ どんどんいくぜ！
かけ声, これでもくらえ！
かけ声, とどめだっ！
かけ声, 受けてみろ！
バルカン砲, バルカン砲ーっ！！
ミサイル, ミサイル！ 発射ぁ！！
ミサイル, ミサイル発射ぁっ！！
テレポーションミサイル, テレポーションミサイル！！
テレポーションミサイル, テレポーション！ ミサイルッ！！
アイブレスターライフル, アイブレスタァァァッ！ ライホゥッ！！ 
コズモアロー, コズモアロォォォッ！！
コズモアロー, コズモアロー！！
ダブルシャフト, ダブル！ シャァァフトッ！！
テレポーションパンチ, テレポーション！ パァンチッ！！
パルサーカノン, パルサァァァッ！ カノンッ！！ 

キャプテン・ダン
ダメージ中, このままではラチがあかん！
発進, いくぞ、発進！
発進, フライト、ＧＯ！
発進, $(機体)発進！
攻撃, それでは腕を見せてもらおうかな
攻撃, ワンチャンスだ！
攻撃, もう勝手な真似はさせんぞ！
ミサイル, ミサイル発射！
