ＭＳ(ＧＷ)
ＰＸシステム, @SpecialPowerAnime ひらめき;オーラ上昇
ＰＸシステムオーバードライブ, @SpecialPowerAnime ひらめき;オーラ上昇;光噴出
プラズマビームソード, ビームサーベル
アクセラレートライフル, ビームライフル
Ａ・サブマシンガン, レーザーマシンガン Weapon\EFFECT_SubMachineGun01.bmp 
スラストビームキャノン, ２連中ビーム
スラストビームキャノン<M>, ＭＡＰ持続ビーム
ラピッドショット, ニードルレーザー連射
パイソンクロー(準備), -
パイソンクロー(攻撃), 白兵連撃
パイソンクロー(命中), 連打
ドラグーンハング(準備), -
ドラグーンハング(攻撃), 白兵連撃
ドラグーンハング(命中), 爪撃
バスターメガ粒子砲(MA), 大ビーム 青
ダブルビームキャノン, ２連小ビーム
ショルダークロー(準備), クロー 二刀流
ショルダークロー(攻撃), ２ＷＡＹ射出
ショルダークロー(命中), 強打
有線クロービームカノン(攻撃), ２ＷＡＹ射出
有線クロービームカノン(命中), 小ビーム 緑 ランダム方向;小ビーム 緑 ランダム方向
バスターカノン, ビームライフル
ハイパーランチャー, ビームランチャー Weapon\EFFECT_AntiMaterialRifle01.bmp
ダブルメガビームキャノン, ビームランチャー;ビームランチャー
大型ビームサーベル, ハイパービームサーベル
ディフェンサーネット(攻撃), ８ＷＡＹ射出;ＭＡＰ放電
ディフェンサーネット(命中), 放電
ダブルメガビームキャノン(MAP), バスタービームライフル Weapon\EFFECT_Bazooka01.bmp

グリープシリーズ
バスターメガ粒子砲(準備), 変形 GWGU_GundamGriepe(A).bmp
バスターメガ粒子砲(攻撃), 大ビーム 青
バスターメガ粒子砲(命中), 大ビーム 青
プラズマビームランサー(準備), 両刃鎌
プラズマビームランサー(攻撃), なぎ払い
プラズマビームランサー(命中), ビームサーベル 緑
バスターメガランチャー, バスタービームライフル
ビーム無効化(リフレクトシールド), コウモリの翼 - - リフレクトシールド


バーンレプオス
ビームサイズ(準備), 鎌
ビームサイズ(攻撃), なぎ払い
ビームサイズ(命中), ビームサーベル

戦艦
グランノヴァ砲, ＭＡＰビーム
