モビルファイター
シャイニングＦソード(解説), $(ユニット)はシャイニングフィンガーソードで攻撃をかけた。
シャイニングＦソード(Ａ)(解説), $(ユニット)はシャイニングフィンガーソードで攻撃をかけた。
シュトゥルムウントドランク(解説), $(ユニット)はシュトゥルム・ウント・ドランクで攻撃をかけた。
阻止(ゴッドシャドー)(解説), $(ユニット)は分身して$(相手武器)を受け止めた。
阻止(ゴッドスラッシュタイフーン)(解説), $(ユニット)は大回転して$(相手武器)を弾き飛ばした。
ウォルターテンタクル(命中), Punch.wav
ウォルターファング(命中), Punch.wav
ノーベルストライク(命中), Punch.wav
クレッセントフープショット, Saber.wav
ビームリボン, Sharara.wav
クレッセントフープ(命中), Saber.wav
突進(命中), Punch.wav
ランバーストライク(命中), Punch.wav
ランバーアックス(命中), Sword.wav
ランバースープレックス(命中), Shock(Low).wav
ウォルターテンタクル(命中), Punch.wav
ウォルターファング(命中), Punch.wav
ヘブンズダート, MachineCannon.wav
ウォルターテンタクル(命中), Punch.wav
拡散粒子弾, Beam.wav
マザーテンタクル(命中), Punch.wav
デビルファング(命中), Punch.wav
曼陀羅円陣(とどめ), Explode(Far).wav
錫杖(命中), Sword.wav
煉獄熱波, Fire.wav
スペードナイフ(命中), Sword.wav
体当たり(命中), Punch.wav
竜牙炎舞拳(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;Punch.wav
ジョンブルストライク(命中), Punch.wav
ダイヤフレイム(MAP), Fire.wav
ダイヤフレイム, Fire.wav
ファラオストライク(命中), Punch(2).wav
テキーラストライク(命中), Punch(2).wav
サイクロンパンチ, Storm.wav
マックスターストライク(命中), Punch.wav
マックスターストライク(命中), Punch(2).wav
マックスターストライク(命中), Punch(3).wav
バーニングパンチ(命中), Crash.wav
豪熱マシンガンパンチ, MachineCannon.wav
豪熱マシンガンパンチ(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
コブラストライク(命中), Punch.wav
火炎放射, Fire.wav
ダークネス・フィンガー, Saber.wav
石破天驚拳, Shock(Low).wav
ユニコーンホーン(命中), Punch.wav
馬蹴り(命中), Punch.wav
超級覇王電影弾, Jet.wav
超級覇王電影弾(とどめ), Explode(Far).wav
デッドリーウェイブ(とどめ), Explode(Far).wav
シャイニングフィンガーソード(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
ネーデルストライク(命中), Punch.wav
マーメイドトライデント(命中), Sword.wav
ドラゴンストライク(命中), Punch.wav
ドラゴンクロー(命中), Sword.wav
ドラゴンファイヤー, Fire.wav
真・流星胡蝶剣(命中), Shock(Low).wav
ローリングアタック, Shock(Low).wav
アラクノストライク(命中), Punch.wav
トマホーク(命中), Sword.wav
タランチュラクロー(命中), Sword.wav
ゼウスカリバー(命中), Sword.wav
裁きのイカヅチ, Thunder.wav
ヘブンズダート, MachineCannon.wav
銀色の脚, Saber.wav
虹色の脚, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
ハイパー銀色の脚スペシャル(命中), Sword.wav
ウィンドファイヤー, Fire.wav
拡散粒子弾, Beam.wav
マザーテンタクル(命中), Punch.wav
デビルファング(命中), Punch.wav
メッサーグランツ, MachineCannon.wav
シュピーゲルブレード(命中), 3;Sword.wav;Sword.wav
シュトゥルム・ウント・ドランク, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
シャイニングフィンガー, Saber.wav
ゴッドスラッシュタイフーン(とどめ), Explode(Far).wav
爆熱ゴッドフィンガー(とどめ), Explode(Far).wav
シャイニングショット, Beam.wav
シャイニングストライク(命中), Punch(4).wav
シャイニングフィンガーソード(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
ゴッドスラッシュタイフーン, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
爆熱ゴッドスラッシュ(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
ライジングストライク(命中), Punch.wav
ライジングアロー, Beam.wav

デスアーミー
魚雷, Missile.wav
クロー(命中), Sword.wav
トライデント(命中), Sword.wav

モビルホース
ユニコーンホーン(命中), Punch.wav
馬蹴り(命中), Punch.wav

