
キャバリアー０
キャバリアー排除(攻撃), 瞬間変形 DRG_D-1.bmp;実弾発射 DRG_Cabarier0.bmp
キャバリアー排除(命中), 爆発

Ｄ－１
レーザーソード, ライトセイバー グリーン
ツインソード, 回転ライトセイバー グリーン 二刀流
光子バズーカ, ビームランチャー レッド
ツインレーザーソード(準備), ライトセイバー グリーン;ライトセイバー ピンク Partner(1)
ツインレーザーソード(攻撃), 同時斬撃
ツインレーザーソード(命中), ライトセイバー グリーン;ライトセイバー ピンク Partner(1);ライトセイバー突撃 グリーン;ライトセイバー突撃 ピンク Partner(1)
光子バズーカ一斉発射(準備), 同時射撃武器 Weapon\EFFECT_Bazooka01.bmp
光子バズーカ一斉発射(攻撃), ビームランチャー レッド ;ビームランチャー ブルー Partner(1);ビームランチャー イエロー Partner(2)
光子バズーカ一斉発射(命中), 大ビーム ホワイト

Ｄ－２
光子バズーカ, ビームランチャー ブルー
光子バズーカ一斉発射(準備), 同時射撃武器 Weapon\EFFECT_Bazooka01.bmp
光子バズーカ一斉発射(攻撃), ビームランチャー ブルー ;ビームランチャー レッド Partner(1);ビームランチャー イエロー Partner(2)
光子バズーカ一斉発射(命中), 大ビーム ホワイト

Ｄ－３
３連装ランチャー(準備), バズーカ
３連装ランチャー(攻撃), キャノン砲 3
光子バズーカ, ビームランチャー イエロー
光子バズーカ一斉発射(準備), 同時射撃武器 Weapon\EFFECT_Bazooka01.bmp
光子バズーカ一斉発射(攻撃), ビームランチャー イエロー ;ビームランチャー レッド Partner(1);ビームランチャー ブルー Partner(2)
光子バズーカ一斉発射(命中), 大ビーム ホワイト

ファルゲン
ツインレーザーソード(準備), ライトセイバー グリーン;ライトセイバー ピンク Partner(1)
ツインレーザーソード(攻撃), 同時斬撃
ツインレーザーソード(命中), ライトセイバー グリーン;ライトセイバー ピンク Partner(1);ライトセイバー突撃 グリーン;ライトセイバー突撃 ピンク Partner(1)

ゲバイ
105mmハンドレールキャノン(準備), 対物ライフル
105mmハンドレールキャノン(攻撃), キャノン砲 4

メタルアーマー
２連25mm機関砲, バルカン
アザルトナイフ, ナイフ突撃
マルチディスチャージャー, 小型ミサイル 2
75mmハンドレールガン, マシンガン
対ＭＡ用手榴弾, 焼夷手榴弾
対ＭＡ用手榴弾(命中), 大爆発
スローインボム, ソーサー
スローインボム(命中), 大爆発
220mmレールキャノン, キャノン砲 2
５連デュアルミサイルポッド, 小型ミサイル 10
55.6mmハンドレールガン, マシンガン
６連デュアルミサイルポッド, 小型ミサイル 12
75mm２連装自動砲, 機関砲
