ダンメカニック
ダンガイカッター, スーパーブーメラン 黒
ダンガイサーベル, 連斬撃
ブーストナックル, ロケットパンチ EFFECT_DGO_BoostKnuckle.bmp
ダンガイソード, フランベルジュ
ダンガイビーム, 持続ビーム 赤
サイキックウェーブ(準備), ロケットパンチ Hand\EFFECT_Punch(Black)16.bmp Charge(long).wav
サイキックウェーブ(攻撃), 魔法陣 黄色 Charge(long).wav
サイキックウェーブ(命中), 乱打
スパイラルナックル(準備), 射撃武器 EFFECT_DGO_SpiralKnuckle.bmp Reload.wav
スパイラルナックル(攻撃), 旋風 Charge(high).wav
スパイラルナックル(命中), 旋風 Charge(high).wav;超打 Punch(Metal).wav
スパイラルナックル(とどめ), 貫通穴
サイキック斬(準備), ロケットパンチ Hand\EFFECT_Punch(Black)16.bmp Charge(long).wav
サイキック斬(攻撃), 魔法陣 黄色 Charge(long).wav
サイキック斬(命中), @戦闘アニメ_フランベルジュ準備;@戦闘アニメ_急降下準備;@戦闘アニメ_急降下攻撃;@戦闘アニメ_急降下命中;フランベルジュ突撃
プラズマビーム, 小ビーム 青
パイ・カッター, 斬撃突撃
サイキックアタック, スーパータックル 白

ダルダル
プラズマキャノン, 大ビーム

バンカーメカ
プラズマ砲, 中ビーム
ハイパーナパーム, 投下爆弾
ブラッドソード, 斬撃突撃
爆雷, ベアリング
アイアンクラッシャー(攻撃), 打突
アイアンクラッシャー(命中), 刺突
プラズマタイフーン, 旋風 白 発光
プラズマビーム, 小ビーム 赤
モノレッグクロー(攻撃),   タックル
モノレッグクロー(命中),   タックル;爪撃
ショックレーザー, ショックビーム
メガプラズマキャノン, 巨大ビーム
ガトリングキャノン, 重機関砲
ミサイルランチャー, 小型ミサイル 6

ブラッディⅠ
ミサイル, 小型ミサイル 4
突進, タックル
プラズマキャノン, 超ビーム

