獣戦機
攻撃無効化(Ｇフィールド), ビームコート Beamcoat.wav Ｇフィールド
パルスカノン, ニードルレーザー連射
アームカノン, ２連小ビーム
９連ミサイル, 小型ミサイル 9
ビームバズーカ, レーザーマシンガン
イーグルカッター, 斬撃武器 ("Unit\" & Info("ユニットデータ",イーグルファイター(Ｖ),"グラフィック"))
一斉射撃(準備), レーザーマシンガン
一斉射撃(攻撃), ニードルレーザー連射;レーザーマシンガン;ガトリング;小型ミサイル 9
一斉射撃(命中), 大爆発
断空拳(攻撃), 打突
断空拳(命中), 強風
断空砲, 中ビーム
機神咆吼(準備), 変形 ("Unit\" & Info("ユニットデータ",ダンクーガＢＵＲＮ(ＦＯ),"グラフィック")) Sword.wav
機神咆吼(攻撃), 大ビーム
機神咆吼(命中), 大ビーム
断空神剣(攻撃), 浮上アップ DS_DaiswordIntegralS.bmp 残像
断空神剣(ＦＯ)(攻撃), 浮上アップ DS_DaiswordIntegralS.bmp 残像
再合体爆発, ＭＡＰ爆発
重力子場放射, 泡球
爪, 爪撃
翼部レーザーカッター, 斬撃突撃
格闘, 格闘
マシンカノン, 機関砲
噛み付き, 噛み付き
アームクロウ, 爪撃
120mmマルチランチャー, ガトリング
スナイパーショット, ライフル Weapon\EFFECT_Gatling01.bmp
シャドウショット(準備), 透明化
シャドウショット(攻撃), ライフル Weapon\EFFECT_Gatling01.bmp
サプライズアタック, 噛み付き
大口径ビームランチャー, レーザーマシンガン
200mm長距離砲, 対物ライフル
鼻(攻撃),                        白兵武器
鼻(命中),                        打撃 Whip.wav
牙(攻撃),                        タックル
牙(命中),                        大刺突
ガンドールビーム砲, ２連小ビーム

ダンクーガＢＵＲＮ(ＦＯ)
機神咆吼(準備), -

ダンクーガＢＵＲＮ(改修型)
一斉射撃(攻撃), レーザーマシンガン 桃;ガトリング

ダンクーガＢＵＲＮ(改修型ＦＯ)
機神咆吼(準備), -
一斉射撃(攻撃), レーザーマシンガン 桃;ガトリング

水中重力子場放射
重力子場放射, 泡球;津波

フォア
４連マシンガン, 内蔵ガトリング
マシンガン, バルカン
２連キャノン, 機関砲
ハンドクロー, 打突
小型魚雷, 小型ミサイル 2
体当たり, 格闘
ミサイル, ミサイル 2
触手, 触手 黒
巨大ハサミ, 甲殻鋏 黒
組み付き, 投げ飛ばし
ビームキャノン, ２連小ビーム
クロー, 爪撃
噛み付き, 噛み付き
ニードル弾, 大拡散ビーム
クローアーム, 斬撃
小型ミサイル, 小型ミサイル 20
ビーム砲, ２連小ビーム
メガロプレッシャー, ドリル急降下
メガロプレッシャー(命中), 横大斬撃 Drill.wav
ブレード, 斬撃突撃
攻撃無効化(サイコバリア), バリア Beamsaber.wav サイコバリア
サイコウェーブ(攻撃), 光噴出
サイコウェーブ(命中), 強打
サイコウェーブ(命中), 超アッパー
サイコプレス(攻撃), 打突
サイコプレス(命中), 超打
サイコプレス(命中), 地面衝撃
神の軍団, 全拡散ビーム
ビーム砲, ニードルレーザー連射
超破壊光線, メガショックビーム
