#ボルテスⅤとの合体技アニメは専用の武器アイコン「Effect_VTSV_tenkukenn.bmp」と
#「Effect_VTSV_tyoudenjikoma.bmp」を使用することを前提に作成されています。
#これらのアイコンがない場合は「Effect_VTSV_tenkukenn.bmp」を
#「EFFECT_GreatSword01.bmp」、「Effect_VTSV_tyoudenjikoma.bmp」を
#「EFFECT_Koma01.bmp」に置換してご利用下さい。
#なおこの二つのアイコンは、GSC丸投げ画像パックで入手できる…はずです

バトルマシン
バトルリターン(攻撃), １ＷＡＹ射出 Whiz.wav;１ＷＡＹ射出 Whiz.wav
バトルリターン(命中), ダメージ Sword.wav;3;ダメージ Sword.wav
ロックファイター(攻撃), 小型ミサイル 8
ロックファイター(命中), 連続爆発 4
スプリングクラッシャー(攻撃), ドリルミサイル Whiz.wav
スプリングクラッシャー(命中), 強打
超電磁クレーン(攻撃), 振り上げ Whiz.wav
超電磁クレーン(命中), 投げ飛ばし
アトミックバーナー(攻撃), 火炎放射 Antishipmissile.wav
アトミックバーナー(命中), 火炎放射
パルスショック,      放電
超電磁ヨーヨー, ヨーヨー 二刀流
グランダッシャー(準備), @戦闘アニメ_必殺光線攻撃 Charge.wav;
グランダッシャー(攻撃), スーパータックル 黄
グランダッシャー(命中), 超打 Crash.wav
超電磁スマッシュ, 同時投擲武器 画像ファイル="Weapon\EFFECT_Saucer01.bmp"="Effect_VTSV_tyoudenjikoma.bmp"
ツインランサー,   斬撃武器 Weapon\EFFECT_Lance01.bmp 二刀流
ビッグブラスト,   スーパーミサイル
ビッグブラスト・ディバイダー(準備), -
ビッグブラスト・ディバイダー(攻撃), スーパーミサイル;小型ミサイル 5
ビッグブラスト・ディバイダー(命中), 連続爆発
超電磁スパーク,  怪光線
バトルガレッガー, 分銅
バトルチェーンソー(準備), -
バトルチェーンソー(攻撃), ２ＷＡＹ射出 Whiz.wav
バトルチェーンソー(命中), チェーンソー
Ｖレーザー, 文字ビーム Ｖ ピンク  
グランダッシャー,    
超電磁スピン(攻撃), 旋風 桃 Storm.wav 発光
超電磁スピン(命中), 放電;@戦闘アニメ_スピンジャンプアタック攻撃 桃 Jet.wav;5;スピンジャンプアタック 桃 Drill.wav;超打 Crash.wav
超電磁スピン(とどめ), 貫通穴 -.wav
超電磁スピン(攻撃), 旋風 桃 Storm.wav 発光
超電磁スピン(命中), スピンアタック 桃
超電磁スピン(とどめ), 貫通穴
超電磁スピンⅤの字斬り(準備), 振る武器 "Effect_VTSV_tenkukenn.bmp" Sword.wav 発光 Partner(1);落雷 Partner(1)
超電磁スピンⅤの字斬り(攻撃), 旋風 桃 Stormb.wav 発光
超電磁スピンⅤの字斬り(命中),@戦闘アニメ_振る武器突撃攻撃 "Effect_VTSV_tenkukenn.bmp" Partner(1);_
振り下ろし;5;振り上げ;放電;@戦闘アニメ_スピンジャンプアタック攻撃 緑 Jet.wav 
超電磁スピンⅤの字斬り(とどめ), 決め文字 Ⅴ 白;20;貫通穴
スカイリッパー,  ニードル連射
30mmマシンガン, バルカン
マグネレーザー, ニードルレーザー連射 緑
ドスブレッシャー(準備), 突く武器 Weapon\EFFECT_Shuriken01.bmp 48 二刀流
ドスブレッシャー(攻撃), 突く武器突撃 Weapon\EFFECT_Shuriken01.bmp 56 Jet.wav 二刀流
ドスブレッシャー(命中), 回転斬撃
エレクトロダート(攻撃), 矢連射
エレクトロダート(命中), 連突;放電
マグネクロー, ロケットパンチ
グランブリット, ミサイル 2
アンカーナックル(準備), -
アンカーナックル(攻撃), 実弾発射 Weapon\EFFECT_Kunai01.bmp Cannon.wav 有線
アンカーナックル(命中), ダメージ
爆雷(攻撃), 実弾投下 \Bullet\EFFECT_Grenade04.bmp
爆雷(命中), 連続爆発 3
超電磁スピン投げ, ジャイアントスイング



ビッグガルーダ
ビッグボウ,  弓矢

どれい獣
ローリングアタック, スピンアタック
振動砲, 音波
連携格闘, 同時乱打
高熱放射, 同時必殺光線 レッド
ソードブーメラン, スーパーブーメラン
ハンドブレード(準備), エナジーブレード ホワイト Reload.wav 二刀流
ハンドブレード(攻撃), ダブル斬撃
ハンドブレード(準備), エナジーブレード ホワイト Slash.wav 二刀流
ヘッドスピア, 実弾投下 Weapon\EFFECT_Trident01.bmp
コンクリート砲, 煙噴射 白
レーザーサーベル, サーベル 二刀流
レーザークロス, 電撃
アイビーム, ２連小ビーム
毒蛾の繭糸, 煙
クモの糸, 煙
ロックファイター,  小型ミサイル
ワイドアイレーザー, 怪光線
ブレストレーザー, 怪光線
獣面花, 触手
爆裂球, 火炎弾
ドリル触手(準備), ドリル
ドリル触手(攻撃), 触手
ドリルブレット, ドリルミサイル
ドリルブレスト, ニードル連射
