アサルトスーツ
80mmバルカンガンポッド, マシンガン
ハンディＴＯＷランチャー(準備), 小型ミサイルランチャー
ハンディＴＯＷランチャー(攻撃), 手持ち発射 Weapon\EFFECT_MissileLauncher01.bmp 32 - Bullet\EFFECT_Missile01.bmp
ハンディＴＯＷランチャー(命中), 小爆発
炸薬式ハードナックル, スーパーパンチ イエロー
レーザーキャノンポッド, ビームランチャー Weapon\EFFECT_BeamRifle01.bmp イエロー
30mmバルカンガン, 機関砲
高出力レーザーキャノン, 中ビーム ホワイト
ライトレーザーキャノン, ニードルレーザー イエロー
60mm炸薬弾, マシンガン
リニアホームミサイル, ミサイル 1
フュープ式リニアレーザー, レーザーマシンガン Weapon\EFFECT_BeamRifle01.bmp イエロー
ショルダーアタック, タックル
60mmバルザーガンポッド, ヘビーマシンガン
ホーミングミサイル, 小型ミサイル 5
アンファン浮遊小型砲, ２ＷＡＹ射出
岩塊(準備), 岩
岩塊(攻撃), 実弾発射 Weapon\EFFECT_Rock01.bmp Missile.wav
阻止(岩塊), シールド防御 Weapon\EFFECT_Rock01.bmp 32 - - 岩塊
ソリッドアーム, ロケットパンチ
対装甲榴弾, グレネード
拡散型リニアスパーク, ＭＡＰ球電
ＲＧ－３リニアキャノン, 中ビーム ブルー
ガトリングアーム, 内蔵ガトリング
頭部素粒子レーザー, 中ビーム
胴下部ファイアマウント, キャノン砲 4
巨大アーム, 打突

戦艦
リニアレールガン(準備), -
リニアレールガン(攻撃), 3;Thunder.wav;キャノン砲

汎用
ナパームポッド(準備), バズーカ
ナパームポッド(攻撃), 手持ち発射 Weapon\EFFECT_Bazooka01.bmp 32 - Fire\EFFECT_FlameThrowerHit(Red)07.bmp 32 Fire.wav
ナパームポッド(命中), 爆発
セルゲイＣＡＭ－７Ｂ, ミサイル 1
Ｌｂ－３２型爆弾, 投下爆弾
リニアキャノン, 小ビーム グリーン
素粒子反応砲, ＭＡＰビーム グリーン

ＳＲ－Ｒ１６Ｋシュネーブルッヒ
体当たり, スーパータックル ブルー
