ダイモス
スネークロック,              Drill.wav
スネークロック(命中),        1;Swing.wav;1;Swing.wav;1;Swing.wav
ダイモガン,                  MachineCannon.wav
バトルブレイク(命中),        Punch(2).wav
ファイブシューター,          2;Swing.wav;2;Swing.wav;2;Swing.wav
ファイブシューター(命中),    2;Slash.wav;2;Slash.wav;2;Slash.wav
フットカッター,              Swing.wav
三竜棍,                      3;Swing.wav;2;Swing.wav;1;Swing.wav
三竜棍(命中),                Punch(3).wav
必殺烈風正拳突き(命中),      4;Crash.wav;4;Crash.wav;12;Crash.wav
必殺烈風正拳突き・改(命中),  4;Crash.wav;4;Crash.wav;12;Crash.wav
