
魔動王
##### グランゾート #####
当て身技(魔動力ロックセイバー)(解説), $(ユニット)はロックセイバーで攻撃を防いだ。
ディザルブスパイア(解説), $(ユニット)はディザルブスパイアで攻撃をかけた。
ロックセイバー(解説), $(ユニット)はロックセイバーで攻撃をかけた。
エネルギーボルト(解説), $(ユニット)はエネルギーボルトで攻撃をかけた。
ハイパーエネルギーボルト(解説), $(ユニット)はハイパーエネルギーボルトで攻撃をかけた。
ファイヤークローラー(解説), $(ユニット)はファイヤークローラーで攻撃をかけた。
フレイムボマー(解説), $(ユニット)はフレイムボマーで攻撃をかけた。
ハイパーフレイムボマー(解説), $(ユニット)はハイパーフレイムボマーで攻撃をかけた。
サラマンダー(解説), $(ユニット)はサラマンダーを召喚した。
一刀両断エルディカイザー(解説), $(ユニット)はエルディカイザーを振り下ろした。
一刀両断エルディカイザー(Ｓ)(解説), $(ユニット)はスーパーエルディカイザーを振り下ろした。
一刀両断エルディカイザー(Ｈ)(解説), $(ユニット)はハイパーエルディカイザーを振り下ろした。
ガイアドラゴン(解説), $(ユニット)はガイアドラゴンを召喚し、攻撃をかけた。
##### ウィンザート #####
ウィンザートスロー(解説), $(ユニット)は$(相手ユニット)を投げ飛ばした。
ハリケーンスプランチャー(解説), $(ユニット)はハリケーンスプランチャーで攻撃をかけた。
サンダーエクスプローラー(解説), $(ユニット)はサンダーエクスプローラーで攻撃をかけた。
ブラストガン(解説), $(ユニット)はブラストガンで攻撃をかけた。
ハイパーブラストガン(解説), $(ユニット)はハイパーブラストガンで攻撃をかけた。
クリップルリング(解説), $(ユニット)はクリップルリングで攻撃をかけた。
ハイパークリップルリング(解説), $(ユニット)はハイパークリップルリングで攻撃をかけた。
ビートウェイブ(解説), $(ユニット)はビートウェイブで攻撃をかけた。
イレーザー・ガスト(解説), $(ユニット)はイレーザー・ガストで攻撃をかけた。
一発必中シュトルムカイザー(解説), $(ユニット)はシュトルムカイザーで矢を放った。
一発必中シュトルムカイザー(Ｓ)(解説), $(ユニット)はスーパーシュトルムカイザーで矢を放った。
##### アクアビート #####
ウェーブカイザー投擲(解説), $(ユニット)はウェーブカイザーを投擲した。
チェーンブレイカー(解説), $(ユニット)はチェーンブレイカーで攻撃をかけた。
ハイパーチェーンブレイカー(解説), $(ユニット)はハイパーチェーンブレイカーで攻撃をかけた。
サーペントクラスプ(解説), $(ユニット)はサーペントクラスプで攻撃をかけた。
ブリーズクラッシュ(解説), $(ユニット)はブリーズクラッシュで攻撃をかけた。
一閃炸裂ウェーブカイザー(解説), $(ユニット)はウェーブカイザーを一閃させた。
一閃炸裂ウェーブカイザー(Ｓ)(解説), $(ユニット)はスーパーウェーブカイザーを一閃させた。
##### 太陽王 #####
ゾーラブレード一刀両断(解説), $(ユニット)はゾーラブレードを振り下ろした。


邪動メカ
##### ワイバースト #####
クローザー・キューブ(解説), $(ユニット)はクローザー・キューブで攻撃をかけた。
ファイヤーハザード(解説), $(ユニット)はファイヤーハザードで攻撃をかけた。
トランスリンガー(解説), $(ユニット)はトランスリンガーで攻撃をかけた。
##### ハービザン #####
オーロラバンテージ(解説), $(ユニット)はオーロラバンテージで攻撃をかけた。
ストリームブレイカー(解説), $(ユニット)はストリームブレイカーで攻撃をかけた。
ライトニングバスター(解説), $(ユニット)はライトニングバスターで攻撃をかけた。
クレストウェッジ(解説), $(ユニット)はクレストウェッジで攻撃をかけた。
ブラックホラー(解説), $(ユニット)はブラックホラーで攻撃をかけた。
##### ヒドラム #####
ダークフィールド(解説), $(ユニット)はダークフィールドで攻撃をかけた。
スラッシャードリフト(解説), $(ユニット)はスラッシャードリフトで攻撃をかけた。
##### 闇の九邪動神 #####
サンダーディストーリ(解説), $(ユニット)はサンダーディストーリで攻撃をかけた。
捕縛邪動力(解説), $(ユニット)は捕縛邪動力で攻撃をかけた。
ファイヤーシャーク(解説), $(ユニット)はファイヤーシャークで攻撃をかけた。
リバースモーターグローブ(解説), $(ユニット)はリバースモーターグローブで攻撃をかけた。
スピンアタック(解説), $(ユニット)はスピンアタックで攻撃をかけた。
ブリザーシュート(解説), $(ユニット)はブリザーシュートで攻撃をかけた。
氷の矢(解説), $(ユニット)は氷の矢で攻撃をかけた。
ブリザード(解説), $(ユニット)はブリザードで攻撃をかけた。
ギガボルト・ボンバー(解説), $(ユニット)はギガボルト・ボンバーで攻撃をかけた。
マグマ放射(解説), $(ユニット)はマグマ放射で攻撃をかけた。
締め付け(解説), $(ユニット)はアイアンバーを邪動力で操り、$(相手ユニット)を締め付けた。
カニ走り(解説), $(ユニット)はカニ走りで分身し、ビームを放った。
スリーフェイスモード(解説), $(ユニット)はスリーフェイスモードにチェンジし、邪動力を放った。
全方位ビーム(解説), $(ユニット)は全方向に暗黒魔動光線を発射した。

