風系魔装機神
カロリックミサイル, 1;Missile.wav;Missile.wav
サイフラッシュ, Jet.wav
バニティリッパー(命中), 1;Saber.wav;Sword.wav
アカシックバスター, 6;AntiAirMissile.wav;AntiShipMissile.wav
コスモノヴァ, 17;Charge(long).wav;3;Cannon.wav;3;Cannon.wav;3;Cannon.wav;Cannon.wav
コスモノヴァ(命中), 3;Cannon.wav;3;Cannon.wav;3;Cannon.wav;7;Cannon.wav;7;FlyBy.wav
乱舞の太刀(命中), 7;Saber.wav;5;Saber.wav;4;Saber.wav;3;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
乱舞の太刀(とどめ), 1;Saber.wav;Inori.wav

水系魔装機神
ケルヴィンブリザード, Storm.wav
ファミリア(命中), 3;Beam.wav;8;Beam.wav;6;LaserGun.wav
ハイファミリア(命中), 3;Beam.wav;8;Beam.wav;6;LaserGun.wav
ハイドロプレッシャー, 5;Charge.wav;Explode(Far).wav
ヨツンヘイム, 15;Charge(long).wav;Explode(Far).wav
フェンリルクラッシュ, 3;Beam.wav;Beam.wav
フェンリルクラッシュ(命中), 8;Beam.wav;6;Slash.wav;2;Explode(Small).wav;4Explode.wav

大地系魔装機神
レゾナンスクエイク, 4;GunPod.wav;4;GunPod.wav;GunPod.wav
ファミリア, 3;Beam.wav;7;Beam.wav;Beam.wav
ファミリア(命中), 3;Saber.wav;7;Saber.wav;Saber.wav
ハイファミリア, 3;Beam.wav;7;Beam.wav;Beam.wav
ハイファミリア(命中), 3;Saber.wav;7;Saber.wav;Saber.wav
ブーストナックル(命中), Crash.wav
カッシーニの間隙, 15;Charge(long).wav;Missile.wav
カッシーニの間隙(命中), 3;GunPod.wav;6;GunPod.wav;Explode.wav
