ＰＴ
パワーアームシステム, Reload.wav
パワーアームシステム(命中), BreakOff.wav
グレネード高射速機関砲, MachineGun.wav
荷電ビーム砲, 5;Charge.wav;LaserGun.wav
電磁砲, Beam.wav


魔装機神
縛めの旋風, Storm.wav
縛めの旋風(命中), Storm.wav
風の弾丸乱れ撃ち, 15;Storm.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav
風の弾丸, 15;Storm.wav;2;Beam.wav;Beam.wav
疾風の鎌, 3;Whiz.wav;Flair.wav
疾風の鎌(命中), 6;Hittyuu.wav;Sword.wav
サイフラッシュ, 11;Charge(Long).wav;AntiShipMissile.wav
サイフラッシュ(合体), 3;Charge.wav;3;Charge.wav;3;Charge.wav;5;Charge.wav;AntiShipMissile.wav
炎の砲弾, 2;Cannon.wav;2;Cannon.wav;Cannon.wav
火炎放射(命中), Fire.wav
灼熱の魔法円, 6;Hittyuu.wav;Whiz.wav
灼熱の魔法円(命中), Fire.wav
水流(命中), Splash.wav
怒濤の噴水, Inori.wav
青き大渦, Storm.wav
青き大渦(命中), 3;Inori.wav;3;Inori.wav;Splash.wav
大地の激動, GunPod.wav

