魔術ロボ
マジックトマホークブーメラン(準備), 片刃斧
マジックトマホークブーメラン(攻撃), 片刃斧投擲
マジックトマホークブーメラン(命中), 斬撃
マジックトマホーク, 片刃斧
ベノンビーム(準備), 魔法陣;粒子集中
ベノンビーム(攻撃), 大ビーム パープル
ベノンビーム(命中), 大ビーム パープル
エグ・ゾーダス(準備), 魔法陣;粒子集中 レッド;炎の壁
エグ・ゾーダス(攻撃), スーパータックル レッド
エグ・ゾーダス(命中), スーパータックル レッド;炎の壁
祈りと怒り込めた剣(準備), 妖精;光球集中;多重方陣;光巨大剣
祈りと怒り込めた剣(攻撃), 光巨大剣突撃
祈りと怒り込めた剣(命中), 光巨大剣突撃
祈りと怒り込めた剣(とどめ), 縦分割
ドリルブリザード(攻撃), 旋風
ドリルブリザード(命中), 旋風;吹雪
ドリルブリザード(クリティカル), 大氷柱
マジックチェーン(準備), -
マジックチェーン(攻撃), 実弾発射 Weapon\EFFECT_Hundou01.bmp Whiz.wav
アイスドリル(攻撃), ドリル
アイスドリル(命中), ドリル
アイスドリル(クリティカル), 大氷柱
スパイダーネット, ネット
ムラサメ, 妖刀
魔神剣(準備), 妖刀
魔神剣(攻撃), 振り下ろし;地表衝撃波
魔神剣(命中), ビームサーベル ブルー
真・魔神剣(準備), 妖刀
真・魔神剣(攻撃), 妖刀突撃
真・魔神剣(命中), 妖刀突撃;超斬撃
慶雲鬼忍剣(準備), 妖刀;巻物
慶雲鬼忍剣(攻撃), 妖刀突撃
慶雲鬼忍剣(命中), 妖刀突撃;光大噴出
機関砲, 機関砲
ハーロ・イーン光線, 小ビーム イエロー
グレートアックス, 鉄の斧
火炎放射, 火炎放射
ズオサイダル・テンデン・ジア(準備), 逆五芒星
ズオサイダル・テンデン・ジア(攻撃), 煙
スキッド＝ロア(準備), 逆五芒星
スキッド＝ロア(攻撃), 拡散ビーム イエロー
スキッド＝ロア(命中), 拡散ビーム イエロー
ガンズン・ロウ(準備), 五芒星
ガンズン・ロウ(攻撃), 炎の壁
ガンズン・ロウ(命中), 炎の壁
ヘリオン,  ＭＡＰ炎の壁
ヘレテイカ(準備), 逆五芒星
ヘレテイカ(攻撃), 多触手
ヘレテイカ(命中), 多触手
テスラ(準備), 逆五芒星 イエロー
テスラ(攻撃), 大電撃
テスラ(命中), 大電撃
メカ魔法獣一斉攻撃(攻撃), ８ＷＡＹ射出
メカ魔法獣一斉攻撃(命中), 爆発;連続爆発;爆雷;爆撃
触手(攻撃), 触手乱舞
触手(命中), 触手乱舞
アンスラ光線, 中ビーム ブラック
超気象兵器, ＭＡＰ落雷
アンスラバスター, 虹色巨大ビーム
地獄の鎮魂歌, ＭＡＰ音符








