キャノンボール
ショット, Engine.wav
ショット(命中), Crash.wav
ジャンプショット, Jet.wav
ジャンプショット(命中), Crash.wav
バンクショット, Chaff.wav
バンクショット(命中), Crash.wav
アクセルショット, Bazooka.wav
アクセルショット(命中), Crash.wav
ハードショット, Engine.wav
ハードショット(命中), Crash.wav
キャノンショット, Engine.wav
キャノンショット(命中), Crash.wav
リミテッドショット, Charge(2).wav
リミテッドショット(命中), Explode(Nuclear).wav
体当たり, Shock(Low).wav
スプートニク・フォーク, Saber.wav
流星殺法, Explode(Small).wav
流星殺法(命中), FastGun.wav
秘密兵器NO.182ナビスレイヤー, BeamCoat.wav
秘密兵器No.171ごっつんこ, GunPod.wav
秘密兵器No.110クラッシュコーン, Bomb.wav
秘密兵器No.110クラッシュコーン(命中), Explode(Far).wav
秘密兵器No.150鼻くそボンバー, Snap.wav
秘密兵器No.150鼻くそボンバー(命中), Explode(Far).wav
秘密兵器No.166ズンバラリン, Drill.wav
秘密兵器No.125ちゅーどっかん, Missile.wav
秘密兵器全弾発射, 5;Bomb.wav;5;Missile.wav;5;Snap.wav;5;Drill.wav;5;GunPod.wav;5;Beam.wav
秘密兵器全弾発射(命中), Explode(Long).wav
45口径リボルバーキャノン, Gun.wav
万能アーム, Walk(Robot).wav
ツィオルコフスキー・ロジック, Computer.wav
テイザー, Slash(4).wav
高出力ビーム, Beam.wav
即興演奏会, Sharara.wav
高出力ヘッドライト, Beam.wav
暴走, PiyoPiyo.wav
錨, Swing(2).wav
誉れの槍, Slash(3).wav
チャージ, GunPod.wav
かみつき, Fold.wav
Ｓフィールド－ＭＡＸ, Charge(long).wav
対の蛇, Fold.wav
玉虫色のカドミア, Slash(3).wav
白のアルケー, Beam.wav
赤のサルファ, BeamShot.wav
青のサール, Sword.wav
バラ色のアクア・アルデンス, Sharara.wav
琥珀色のエリクシル, Inori.wav
フォークレッグ, Stab.wav
オーブンレーザー, Breath.wav
黒の鉤爪, Warship.wav
黒の咆哮, Warship.wav
零距離射撃, Warship.wav
零距離射撃(命中), MachineGun.wav
怪光線, BeamShot.wav
単分子ワイヤートラップ, Swing(2).wav
エクスキューショナー, Saber.wav
格闘(命中), Combo.wav
キャノンナックル(命中), FightHit(3).wav
ハッキングオプション, Computer.wav
アームオプション, Walk(Robot).wav
大剣, Swing.wav
空間斬り, Saber.wav
凝固魔法, Chaff.wav
融解魔法, Bubble.wav
不可視の力, EvilEye.wav
ウロボロス, GunPod.wav
