
ＧＥＡＲ
ノーマルプログラム(攻撃), 9;Drill.wav;格闘;格闘
ノーマルプログラム(命中), 連打
スペシャルプログラム(攻撃), -
旋風回転拳(攻撃), 9;Drill.wav;打突
旋風回転拳(命中), 打撃
旋風回転脚(攻撃), 9;Drill.wav;キック
旋風回転脚(命中), 打撃
疾風三連撃(攻撃), 9;Drill.wav;キック
旋風三連撃(命中), キック;@戦闘アニメ_アッパー攻撃;アッパー;@戦闘アニメ_スーパーキック攻撃;スーパーキック
旋風三連撃(とどめ), 決め文字 旋風三連撃 白
爆砕重落下(攻撃), 9;Drill.wav;スーパーキック 白
爆砕重落下(命中), スーパーキック 白
爆砕重落下(とどめ), 決め文字 爆砕重落下 白
剛腕粉砕撃(攻撃), 9;Drill.wav;アッパー
剛腕粉砕撃(命中), アッパー;@戦闘アニメ_急降下攻撃;急降下
剛腕粉砕撃(とどめ), 決め文字 剛腕粉砕撃 白
旋風烈脚刃(攻撃), 9;Drill.wav;スピンアタック
旋風烈脚刃(命中), スピンアタック
旋風烈脚刃(とどめ), 決め文字 旋風烈脚刃 白
飛翔烈風波(攻撃), 9;Drill.wav;旋風
飛翔烈風波(命中), 旋風
飛翔烈風波(とどめ), 決め文字 飛翔烈風波 白
波動龍神撃(攻撃), 9;Drill.wav;旋風 青
波動龍神撃(命中), 旋風 青
波動龍神撃(とどめ), 決め文字 波動龍神撃 白
閃光雷刃撃(攻撃), 9;Drill.wav;大電撃
閃光雷刃撃(命中), 放電
閃光雷刃撃(とどめ), 決め文字 閃光雷刃撃 白
ドリルホーン(準備), -
ドリルホーン(攻撃), ドリル
ドリルホーン(命中), ドリル
サークルカッター(攻撃), キック Drill.wav
サークルカッター(命中), 斬撃 Drill.wav
クラッシュレイ, 小ビーム 黄色
バーニングフレア(攻撃), 火炎弾
バーニングフレア(命中), 炎
クロックマネージャー, 光球 緑
ガトリングランチャー, 内蔵ガトリング
ライトニングウィップ(準備), -
ライトニングウィップ(攻撃), 白兵武器 Swing.wav
ライトニングウィップ(命中), 打撃
