

## 各Ｑ－ＴＲＯＮ登場時のバトルポットの性能変更制御用、及び
## サポートレベルの上昇による戦闘アニメの変更用エリアス

バトルポット
戦闘アニメ=ＢＡＴＬＥＰＯＴ普 (サポートLv3 !サポートLv5)
戦闘アニメ=ＢＡＴＬＥＰＯＴ好 (サポートLv5)
ＨＰ強化Lv3=非表示 (ＶｉＶｉ)
ＥＮ強化Lv5=非表示 (ＶｉＶｉ)
装甲強化Lv2=非表示 (ＶｉＶｉ)
運動性強化Lv5=非表示 (ＶｉＶｉ)
移動力強化Lv1=非表示 (ＶｉＶｉ)
ユニット画像=LD_V-Shilhouette.bmp (ＶｉＶｉ)
愛称変更=Ｖ-ＳＩＬＨＯＵＥＴＴＥ (ＶｉＶｉ)
ＨＰ強化Lv6=非表示 (ＬｕＬｕ)
ＥＮ強化Lv5=非表示 (ＬｕＬｕ)
装甲強化Lv6=非表示 (ＬｕＬｕ)
運動性強化Lv-2=非表示 (ＬｕＬｕ)
移動力強化Lv-1=非表示 (ＬｕＬｕ)
ホバー移動 (ＬｕＬｕ)
ユニット画像=LD_L-Shilhouette.bmp  (ＬｕＬｕ)
愛称変更=Ｌ-ＳＩＬＨＯＵＥＴＴＥ (ＬｕＬｕ)
ＨＰ強化Lv1=非表示 (ＫｉＫｉ)
ＥＮ強化Lv5=非表示 (ＫｉＫｉ)
装甲強化Lv1=非表示 (ＫｉＫｉ)
運動性強化Lv3=非表示 (ＫｉＫｉ)
空中移動 (ＫｉＫｉ)
ユニット画像=LD_K-Shilhouette.bmp (ＫｉＫｉ)
愛称変更=Ｋ-ＳＩＬＨＯＵＥＴＴＥ (ＫｉＫｉ)



## Ｑ－ＴＲＯＮとの感情値が上昇する（＝仲良くなる）と武器の性能が上昇するシステムの再現用

Ｓ．Ｅ．Ｅ．Ｄ．システム
武器強化Lv1=全 (サポートLv2)
武器強化Lv1=全 (サポートLv4)
武器強化Lv1=全 (サポートLv6)
武器強化Lv1=全 (サポートLv8)
Ｓ．Ｅ．Ｅ．Ｄ．システム=Ｓ．Ｅ．Ｅ．Ｄ．システム Ｑ－ＴＲＯＮのＳ．Ｅ．Ｅ．Ｄ．レベルが2上昇するごとに、攻撃力が100上昇する




## エリアス化するほどもないかもしれませんが、ジャムの能力の仕様変更などが楽なので一応エリアス化

ジャム
弱点=光
レジストLv3=ジャム !光魔精
変換Lv1=非表示 !光魔精
ジャム=解説 "「光魔精」属性以外の攻撃に対するダメージを30%だけ減少させ、さらに受けたダメージの0.01倍だけＥＮが回復する。"
