
アサルト・ドラグーン
ヒートブレード(準備), ドス BeamSaber.wav
ビットガン(準備), 対物ライフル 32
ビットガン(攻撃), ビームランチャー 青 Weapon\EFFECT_AntiMaterialRifle01.bmp 32
ビットガン(命中), ビームランチャー 青
オービタルミサイル, 小型ミサイル 4
ハイビームソード, ビームサーベル 緑
ラピッドビームガン, ビームライフル 黄
スプラッシュブレイカー(攻撃), ２ＷＡＹ射出
スプラッシュブレイカー(命中), 小ビーム 青 ランダム方向;小ビーム 青 ランダム方向
スプラッシュブレイカー<M>, ＭＡＰビーム 青

ヴァルキュリアシリーズ
グレネードランチャー(準備), バズーカ
グレネードランチャー(攻撃), グレネードランチャー Weapon\EFFECT_Bazooka01.bmp
グレネードランチャー(命中), グレネードランチャー
120mm無反動砲, ビームランチャー 青
対艦ミサイル, スーパーミサイル
集束荷電粒子砲, ＭＡＰビーム 黄
ヘビィリニアライフル(準備), ライフル
ヘビィリニアライフル(攻撃), ビームランチャー 青 Weapon\EFFECT_Rifle01.bmp
ヘビィリニアライフル(命中), ビームランチャー 青
リニアカノン, ２連中ビーム 赤

武機覇拳流ロボット
餓狼爪撃(攻撃), 打突
餓狼爪撃(命中), 刺突
虎閃掌, 小ビーム 青
狼牙(攻撃), 中ビーム 青
狼牙(命中), 強打
竜王双撃(攻撃), スーパータックル 青
竜王双撃(命中), 超斬撃
獅子吼烈覇(攻撃), 大ビーム 青
獅子吼烈覇(命中), 飛沫 青 Bazooka.wav
天馬翔覇(準備), オーラ上昇 黄
天馬翔覇(攻撃), スーパーキック 黄
天馬翔覇(命中), スーパーキック 黄;@戦闘アニメ_背景文字攻撃 - "天　馬" "翔　覇" - 青 相手ユニットＩＤ;大爆発
羅刹刃(攻撃), 連突
羅刹刃(命中), 連打
魔槍連脚, 小ビーム 黄
閃剣斬(攻撃), スーパーキック
閃剣斬(命中), 大斬撃
爆斧無双断(準備), -
爆斧無双断(攻撃), 振る武器突撃 -.bmp
爆斧無双断(命中), 振る武器突撃 -.bmp
神槍裂脚(準備), -
神槍裂脚(攻撃), 白兵乱撃
神槍裂脚(命中), 斬撃乱舞
天王捷破斬(準備), オーラ上昇 黄
天王捷破斬(攻撃), スーパーキック 黄
天王捷破斬(命中), スーパーキック 黄;@戦闘アニメ_背景文字攻撃 - "天　王" "捷破斬" - 青 相手ユニットＩＤ;大爆発
鳳凰光覇(準備), オーラ上昇 黄
鳳凰光覇(攻撃), スーパーキック 黄
鳳凰光覇(命中), スーパーキック 黄;@戦闘アニメ_背景文字攻撃 - "鳳　凰" "光　覇" - 青 相手ユニットＩＤ;大爆発
招雷・天竜魔滅陣(準備), オーラ上昇 黄;オーラ上昇 黄 Partner(1)
招雷・天竜魔滅陣(攻撃), 同時スーパーキック 黄
招雷・天竜魔滅陣(命中), 同時スーパーキック 黄;@戦闘アニメ_背景文字攻撃 - "天　竜" "魔滅陣" - 青 相手ユニットＩＤ;大爆発

スイームルグ
Ｄブーメラン(解説), $(ユニット)はデストラクションブーメランで攻撃をかけた。
ライトニングソード(準備), 剣
ライトニングソード(命中), 斬撃;落雷
アッシャークルー(攻撃), 音波
アルティメットビーム, 拡散ビーム 白
Ｄブーメラン, スーパーブーメラン 黄
スパイラルソード(準備), 剣 二刀流
スパイラルソード(攻撃), 回転斬撃
スパイラルソード(命中), 斬撃
ダブルライトニングソード(準備), 剣 二刀流
ダブルライトニングソード(攻撃), ダブル斬撃
ダブルライトニングソード(命中), 連斬撃;落雷
ブラッディハウリング(攻撃), 光球 赤
ブラッディハウリング(命中), 発光 赤 Jet.wav
ビームキャノン, ２連中ビーム 青
ノーブルフェニックス, スーパータックル 赤

スイームルグＳ
Ｄブーメラン(攻撃), スーパーブーメラン 黄;スーパーブーメラン 黄

アル＝イー＝クイス
ファイアーカノン, 大キャノン砲
スラッシュネイル(命中), 爪撃
オメガクラッシュ(命中), 強打
ギガフレア(攻撃), ８ＷＡＹ射出
ギガフレア(命中), 粒子集中 赤 Fire.wav
カオスイリュージョン, 分身斬撃
フォースカノン,中ビーム 白
プラズマファング(命中), 噛み付き
デスクラッシュ(命中), 強打
グラビティーショット, 重力弾
メテオストライク(攻撃), ８ＷＡＹ射出
メテオストライク(命中), 粒子集中 橙 FastGun.wav
フリーズカノン(攻撃), 中ビーム 青
フリーズカノン(命中), 中ビーム 青;凍結 Glass.wav
デュアルフィスト(命中), 連打
スピリッツクラッシュ(命中), 強打
アイスストーム, 吹雪
ソウルブレイカー(攻撃), 光投射 青
ソウルブレイカー(命中), 飛沫 青
