
エクサランス
Ｇクラッシャーアーム(解説), $(ユニット)はギガントクラッシャーアームで攻撃をかけた。
Ｌレンジプラズマカノン(解説), $(ユニット)はロングレンジプラズマカノンで攻撃をかけた。
Ｄスラッシャー(解説), $(ユニット)はディメンジョンスラッシャーで攻撃をかけた。
Ｓディメンジョン(解説), $(ユニット)はスラッシュディメンジョンで攻撃をかけた。
Ｆグランドクロス(解説), $(ユニット)はファイナルグランドクロスで攻撃をかけた。
プラズマビーム, 小ビーム 青
スマッシングキック, キック
チェストスマッシャー, 中ビーム 青
クラッシャーアーム(攻撃), スーパーパンチ 赤
クラッシャーアーム(命中), 強打
Ｇクラッシャーアーム(攻撃), スーパーパンチ 赤
Ｇクラッシャーアーム(命中), 立ち固め;強打
ヒートナイフ(準備), ナイフ BeamSaber.wav
ガイダンスマイン(攻撃), ２ＷＡＹ射出
ガイダンスマイン(命中), アッパー;連続爆発 4
三連ミサイルランチャー, 小型ミサイル 3
六連ビームガトリングガン, レーザーマシンガン 緑
Ｌレンジプラズマカノン, ２連中ビーム 青
マシンキャノン, バルカン
デストラクションライフル, ビームライフル 青
プラズマソード, エナジーブレード 青 二刀流
ＤライフルＭＡＸモード, バスタービームライフル 青 Weapon\EFFECT_BeamRifle01.bmp 32
ファントムトーピードー, ミサイル 2
アクアハープン, スーパーパンチ 緑
スワールファントム, 旋風 青;シュートカッター 緑
ハイコートマグナム, ピストル;ピストル
高周波ソード, エナジーカッター 青
フェアリー(攻撃), ６ＷＡＹ射出
フェアリー(命中), オールレンジ
ブラックサン, 中ビーム 黒
クラッシャースパイク(攻撃), 粒子集中 緑 対象ユニットＩＤ;光球 緑
クラッシャースパイク(命中), 飛沫 緑 Whiz.wav;粒子集中 緑 Explode.wav
Ｄスラッシャー, 剣突撃
リアクタースマッシャー(攻撃), 粒子集中 緑 対象ユニットＩＤ;光球 緑
リアクタースマッシャー(命中), 大爆発
リアクタークラッシュ(攻撃), 粒子集中 緑 対象ユニットＩＤ;スーパータックル 緑
リアクタークラッシュ(命中), スーパータックル 緑;斬撃乱舞;超斬撃
テンプテイションアイ, ２連小ビーム 黄
コズミックストライク(攻撃), 粒子集中 緑 対象ユニットＩＤ;光球 緑
コズミックストライク(命中), 飛沫 緑 Whiz.wav;粒子集中 緑 Explode.wav
Ｓディメンジョン, スーパーパンチ 緑
リアクターフラッシュ(攻撃), 粒子集中 緑 対象ユニットＩＤ;光球 緑
リアクターフラッシュ(命中), 大爆発
Ｆグランドクロス(攻撃), 粒子集中 白 相手ユニットＩＤ;文字ビーム ＋ 白
Ｆグランドクロス(命中), 大爆発
ソリッドバルカン, バルカン
グレネイドアタッカー, グレネード 2
ビームショット, 小ビーム 黄
ソリッドビーム, ２連小ビーム 黄

デュミナス
アポストレー, 投げ槍
ディダスカリアー, 剣突撃
パラデイソス(攻撃), 振る武器突撃 -.bmp
パラデイソス(命中), 斬り上げ;@戦闘アニメ_分身斬撃攻撃;分身斬撃
ポロスボレー(攻撃), 実弾発射 SRWR_Tyugatel.bmp
ポロスボレー(命中), 強打
シュネルギア, ２連小ビーム 黄
コーリスモス, スーパータックル 橙
ストルゲー, 交差ビーム 赤 青
クライエイン, 中心回転武器 Weapon\EFFECT_Mace01.bmp
トリアス(攻撃), 波動放射 赤;実弾発射 Common\EFFECT_SonicBoom(Blue)01.bmp Whiz.wav;実弾発射 Common\EFFECT_SonicBoom(Yellow)01.bmp Whiz.wav
ディオラシアス, ２連小ビーム 黄
ゲロイア(攻撃), 気斬 緑
ゲロイア(命中), 爆発
ディカイオーシス(攻撃), 変形 Common\EFFECT_GravityBall01.bmp Whiz.wav;Swing.wav;Swing.wav
ディカイオーシス(命中), 打突;打突
クリシス(攻撃), 連突 Whiz.wav
クリシス(命中), クリティカル斬撃;急降下
メタノイア(命中), 透明化;瞬間変形 Common\EFFECT_Shine(Green)04.bmp Charge.wav 相手ユニットＩＤ;乱打;透明化 解除


