3days
################### 主人公 #######################
光の刃, ライトセイバー レッド
火炎術, 火炎弾
火炎術, 火炎放射
破敵剣, 小ビーム イエロー
破敵剣(命中), 小ビーム イエロー stab.wav
厭魅の呪詞, @戦闘アニメ_分身発動 - 厭魅の呪詞
ハイパーモード(百式解放), 五芒星 青 Charge.wav
鬼角, スーパータックル レッド
超回避(カイロスの時計の力), 回避
################### 美柚 #######################
水精霊(命中), 津波 Splash.wav
風精霊(攻撃), デフォルト Whiz.wav
################### ヴァルター #######################
聖釘の弾丸, ピストル
暗黒魔術(命中), 旋風 黒 MicroMissile.wav
暗黒魔術(命中), 粒子集中 黒 Inori.wav
暗黒魔術(命中), 粒子噴射 黒 Bearing.wav
暗黒魔術(命中), 発光 黒
暗黒魔術(命中), 炎 黒
暗黒魔術(命中), 重力圧縮
暗黒魔術(命中), 煙 黒 Bearing.wav
冥王の鍵(命中), 旋風 黒 MicroMissile.wav
冥王の鍵(命中), 粒子集中 黒 Inori.wav
冥王の鍵(命中), 粒子噴射 黒 Bearing.wav
冥王の鍵(命中), 発光 黒
冥王の鍵(命中), 炎 黒
冥王の鍵(命中), 重力圧縮
冥王の鍵(命中), 煙 黒 Bearing.wav
冥王の鍵(命中), 重力圧縮 Slash.wav
冥王の鍵(命中), 火炎放射 黒
メス, 投げナイフ
解体(準備), ナイフ
解体(攻撃), 連斬撃
解体(命中), 連斬撃 Stab.wav
解体(とどめ), Stab.wav
