
アレサＳＦＣ
#------攻撃魔法------
ファイアバーン(準備), ユニット変色 黄 BeamCoat.wav
ファイアバーン, 炎投射
ファイアグレート(準備), ユニット変色 黄 BeamCoat.wav
ファイアグレート, 超火炎放射
アクアマッド(準備), ユニット変色 黄 BeamCoat.wav
アクアマッド, 津波
アクアマキシマム(準備), ユニット変色 黄 BeamCoat.wav
アクアマキシマム, 大水流
サンダーギル(準備), ユニット変色 黄 BeamCoat.wav
サンダーギル, 落雷
シュペルグローム(準備), ユニット変色 黄 BeamCoat.wav
シュペルグローム, 大電撃
エアポーズ(準備), ユニット変色 黄 BeamCoat.wav
エアポーズ, 竜巻
エアトラックス(準備), ユニット変色 黄 BeamCoat.wav
エアトラックス(命中), 連続描画 Wind\EFFECT_CU_Tornado(White)[01-04].bmp 80 1 3 下辺 storm.wav 相手ユニットＩＤ
ブライトムーン(準備), ユニット変色 黄 BeamCoat.wav
ブライトムーン, 光柱
ノーヴァ(準備), ユニット変色 黄 BeamCoat.wav
ノーヴァ, 隕石
スターダスト(準備), ユニット変色 黄 BeamCoat.wav
スターダスト(攻撃), ＭＡＰフラッシュ Sharara.wav;ＭＡＰ発光 白 -.wav
スターダスト(命中), 発光 白 Glass(3).wav
ＭＰジェーマ(準備), ユニット変色 黄 BeamCoat.wav
ＭＰジェーマ, 吸収 赤
ＨＰジェーマ(準備), ユニット変色 黄 BeamCoat.wav
ＨＰジェーマ, 吸収 青
エメイン(準備), ユニット変色 黄 BeamCoat.wav
エメイン, 泡 紫
ヴァン・エメイン(準備), ユニット変色 黄 BeamCoat.wav
ヴァン・エメイン, 泡 緑
ディノス・ケーラ(準備), ユニット変色 黄 BeamCoat.wav
ディノス・ケーラ, ＭＡＰフラッシュ 青
クリエィン(準備), ユニット変色 黄 BeamCoat.wav
クリエィン, 髑髏弾
リトス(準備), ユニット変色 黄 BeamCoat.wav
リトス(攻撃), 煙
リトス(命中), ユニット変色 白 Freeze.wav
パラム・エポド(準備), ユニット変色 黄 BeamCoat.wav
パラム・エポド(攻撃), ユニット変色 赤 相手ユニットＩＤ
パラム・エポド(命中), 飛沫 赤
パラム・ギリサ(準備), ユニット変色 黄 BeamCoat.wav
パラム・ギリサ(攻撃), ユニット変色 青 相手ユニットＩＤ
パラム・ギリサ(命中), 飛沫 青
パラム・テクス(準備), ユニット変色 黄 BeamCoat.wav
パラム・テクス(攻撃), ユニット変色 緑 相手ユニットＩＤ
パラム・テクス(命中), 飛沫 緑
#------補助魔法------
ファム(準備), ユニット変色 黄 BeamCoat.wav
ファム(発動), 回復魔法
レィ・ファム(準備), ユニット変色 黄 BeamCoat.wav
レィ・ファム(発動), 回復魔法
ヴァン・ファム(準備), ユニット変色 黄 BeamCoat.wav
ヴァン・ファム(発動), 回復魔法
ディノス・ファム(準備), ユニット変色 黄 BeamCoat.wav
ディノス・ファム(発動), 回復魔法
ヒール(準備), ユニット変色 黄 BeamCoat.wav
ヒール(発動), 回復魔法
レ・ヒール(準備), ユニット変色 黄 BeamCoat.wav
レ・ヒール(発動), 回復魔法
ヴァン・ヒール(準備), ユニット変色 黄 BeamCoat.wav
ヴァン・ヒール(発動), 回復魔法
ディ・ヒール(準備), ユニット変色 黄 BeamCoat.wav
ディ・ヒール(発動), 回復魔法
エポド(準備), ユニット変色 黄 BeamCoat.wav
エポド(発動), ユニット変色 赤
ギリサ(準備), ユニット変色 黄 BeamCoat.wav
ギリサ(発動), ユニット変色 青
テクス(準備), ユニット変色 黄 BeamCoat.wav
テクス(発動), ユニット変色 緑
#------ドール専用魔法------
ロック(準備), ユニット変色 黄 BeamCoat.wav
ロック(攻撃), 煙 黒
ロック(命中), ユニット変色 白 Freeze.wav
コンフュージョン(準備), ユニット変色 黄 BeamCoat.wav
コンフュージョン, 光投射 紫
ディスペル(準備), ユニット変色 黄 BeamCoat.wav
ディスペル, 妖精
ファイアボール(準備), ユニット変色 黄 BeamCoat.wav
ファイアボール, 火炎弾
フォース(準備), ユニット変色 黄 BeamCoat.wav
フォース(命中), 連続大爆発 白;連続爆発 白
ヒーリング(準備), ユニット変色 黄 BeamCoat.wav
ヒーリング(発動), 回復魔法
リムーブ(準備), ユニット変色 黄 BeamCoat.wav
リムーブ(発動), 回復魔法泡
#------メインキャラクター------
キャットネイル, 爪撃
ドラゴンネイル, 爪撃
ファイアブレス(攻撃), 火炎放射 Breath.wav
ファイアブレス(命中), 火炎放射
クロスボウ, クロスボウ
ブロードソード, ソード
サイドバスター, 横大斬撃
リップシュート, 急降下
ソニックダンス, 連続なぎ払い
マハルソード, 剣
バトルアックス, 両刃斧
テアード(攻撃), 回転投擲武器 Weapon\EFFECT_DoubleAx01.bmp 32 遅
テアード(命中), 超斬撃
ザヴェーナック, Slash.wav;1;ユニット変色 赤 Charge(long).wav
#------サブキャラクター------
ナイフ, ナイフ
レイピア, レイピア
アイアンスタッフ, 鉄パイプ
モーニングスター, モーニングスター
ピロム, スピア
ゾッピーソード, 金剣
ハルバード, ハルバード
ダブルクロスボウ, クロスボウ
スリング, スリング
トライデント, トライデント
サイザウト, 大刺突武器 Weapon\EFFECT_Trident01.bmp 40
ブランディッシュ, 回転斬撃
シャディーズ, ＭＡＰ気斬 黄
ラミッシャード, 連突
ブライトソード, 神剣
ラーヴァノート, 振る武器突撃 Weapon\EFFECT_Sword03.bmp 刺突
ブリンズ, Slash.wav;1;ユニット変色 黄 Charge(long).wav
火炎ブレス(攻撃), 火炎放射 Breath.wav
火炎ブレス(命中), 火炎放射
#------敵使用魔法------
ファイアボルト(準備), ユニット変色 黄 BeamCoat.wav
ファイアボルト, 炎
ファイアフォース(準備), ユニット変色 黄 BeamCoat.wav
ファイアフォース, 火柱
アクアボルト(準備), ユニット変色 黄 BeamCoat.wav
アクアボルト, 水流
アクアフォース(準備), ユニット変色 黄 BeamCoat.wav
アクアフォース, ２連水流
サンダーボルト(準備), ユニット変色 黄 BeamCoat.wav
サンダーボルト, 球電
サンダーフォース(準備), ユニット変色 黄 BeamCoat.wav
サンダーフォース, 電撃
エアボルト(準備), ユニット変色 黄 BeamCoat.wav
エアボルト, 強風
エアフォース(準備), ユニット変色 黄 BeamCoat.wav
エアフォース, 波動放射
ブライトボルト(準備), ユニット変色 黄 BeamCoat.wav
ブライトボルト, 拡散ビーム 白
ヒュプノス(準備), ユニット変色 黄 BeamCoat.wav
ヒュプノス, バラ吹雪 黄
