
ＢＦＭ
二天一流斬, Swing.wav
二天一流斬(命中), Glass.wav
レイガンド回転斬り, Swing.wav
薪割りダイナマイト, 3;Swing.wav;Swing.wav
薪割りダイナマイト(命中), 3;Slash.wav;3;Slash.wav;2;Swing.wav;3;Slash.wav;Slash.wav
タンシオーネ・Ｘアタック, Whiz.wav
タンシオーネ・Ｘアタック(命中), 3;Slash.wav;Slash.wav
デスペラードアタック, 3;Swing.wav;Swing.wav
デスペラードアタック(命中), 3;Slash.wav;3;Slash.wav;6;Whiz.wav;2;Saber.wav;Saber.wav
五輪の書・地の巻, GunPod.wav
五輪の書・火の巻, Breath.wav
五輪の書・火の巻(命中), Fire.wav
阻止(五輪の書・風の巻), Storm.wav
グランドウェーブ, 2;Swing.wav;3;Whiz.wav
グランドウェーブ(命中), Explode(Small).wav
ホーミングスワロー, Whiz.wav
ホーミングスワロー(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
ファイアバード, Whiz.wav
ファイアバード(命中), Explode.wav
ツバメ返し, Swing.wav
ツバメ返し(命中), 3;Slash.wav;2;Swing.wav;3;Slash.wav
火炎玉,	Swing.wav
火炎玉(命中), Explode.wav
酸の弾(命中), Inori.wav
誘導弾, Whiz.wav
誘導弾(命中), Explode(Small).wav
回る炎,	10;AntiShipMissile.wav
地を這う炎, Breath.wav
地を這う炎(命中), Explode.wav
炎の剣, 8;Fire.wav;Swing.wav
炎の剣(命中), Explode.wav
氷塊, Whiz.wav
氷塊(命中), Stab.wav
毒霧, Breath.wav
幼虫飛びつき, 10;Fold.wav;3;Bow.wav;3;Bow.wav;Bow.wav
幼虫飛びつき(命中), 4;Stab.wav;4;Stab.wav;4;Stab.wav;7;Inori.wav
酸の雨,	Whiz.wav
酸の雨(命中), Inori.wav
パネル出し回転, MultipleRocketLauncher.wav
電撃回転(準備), Beamsaber.wav
電撃回転, MultipleRocketLauncher.wav
ショックウェーブ, 3;Whiz.wav;3;Whiz.wav;Whiz.wav
ショックウェーブ(命中), Explode.wav
ビンチョロンソード(準備), Beamsaber.wav
インフェルノスプラッシュ, 3;Splash.wav;3;Splash.wav;Splash.wav
メテオストーム(命中), Explode(Long).wav
サイコイリュージョン, 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;Whiz.wav
サイコイリュージョン(命中), 3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;Saber.wav
デモンシード(準備), Beamsaber.wav
デモンシード, Swing.wav
デモンシード(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;Slash.wav
