汎用
ジャギッドロック, Punch(3).wav
クラッグケイジ, Inori.wav
グラインドアップ, AntiShipMissile.wav
メテオフォール, 8;Bomb.wav;Explode(Far).wav
パルヴァライザー, Storm.wav
エアリッパー, Storm.wav
ティアビーイング, Storm.wav;
フェイタルグロウ, 8;Storm.wav;Glass.wav
ソリュート, Shower.wav
リキッドラップ, Splash.wav
フルーイドシェル, 3;Bubble.wav;Bubbe.wav
サッパブレット, Splash.wav
グリムエイク, Thunder.wav
サーヴィアペイン, Hide.wav
ディスメンバー, Search.wav
フロートピース, BeamShot.wav
ブレンドサワー, 2;BeamShot.wav;2;BeamShot.wav;BeamShot.wav
シーススプリット, 2;BeamShot.wav;2;BeamShot.wav;2;BeamShot.wav;BeamShot.wav
アイスバーグ, MultipleRocketLauncher(Light).wav
ファントムシージ, BeamSaber.wav
デーブマーキー, BeamSaber.wav
ゴアスラッシュ, 2;Explode(Small).wav;Explode.wav
ブリーディング, 2;Explode(Small).wav;2;Explode(Small).wav;Explode.wav
ブラッドシーズ, Cannon.wav
ティックブラスト, 2;Explode(Small).wav;2;Explode(Small).wav;Explode.wav
ロアストーム, Inori.wav
ハービサイド, AntiShipMissile.wav
ニュークロス, Search.wav
バブルライズ, 3;Bubble.wav;Bubbe.wav
アヴァランチ, Storm.wav
カタラクト, 2;Whiz.wav;2;Whiz.wav;2;Whiz.wav;Whiz.wav
カタレプシー, Stub.wav
スクロラウシス, 2;Stub.wav;2;Stub.wav;Stub.wav
イラプション, 2;Explode.wav;2;Explode.wav;2;Explode.wav
インフェルノ, Explode(Far).wav
パーガトリ, 2;Explode(Small).wav;2;Explode(Small).wav;Explode(Far).wav
アウトダフェ, 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav

デバイスレイン
イルラックエッジ, Whiz.wav
インフォーチュン, Whiz.wav
エクリプス, Whiz.wav
スティルバース, Whiz.wav
アトラビリオス, Whiz.wav
イルラックエッジ(命中), Slash.wav
インフォーチュン(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
エクリプス(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;Slash.wav
スティルバース(命中), 5;Slash.wav;2;Explode(Small).wav;2;Explode(Small).wav;Explode.wav
アトラビリオス(命中), 5;Swing.wav;Explode.wav
チリーストローク, Beam.wav
