
DUELSAVIOR
#当真未亜#
来ないでぇ！, 殴打武器 Weapon\EFFECT_Bow00.bmp
来ないでぇ！(解説), $(ユニット)はジャスティで直接$(相手ユニット)を殴った。
ジャスティ, 弓矢
エアレイドアロー(準備), 弓
エアレイドアロー(攻撃), 突く武器急降下 Weapon\EFFECT_Bow01.bmp;矢連射
エアレイドアロー(命中), 矢
ストレートアロー(準備), 弓
ストレートアロー(攻撃), ビームライフル 白 Weapon\EFFECT_Bow01.bmp
ストレートアロー(命中), 小ビーム 白 Stab.wav
ドロップアロー, 弓矢
ライトニングアロー(準備), 弓
ライトニングアロー(攻撃), 突く武器急降下 Weapon\EFFECT_Bow01.bmp
ライトニングアロー(命中), @戦闘アニメ_実弾投下攻撃 Bullet\EFFECT_Arrow01.bmp - Bow.wav - 対象ユニットＩＤ;落雷
ファイナル,メテオ(準備), 弓
ファイナルメテオ(攻撃), 突く武器急降下 Weapon\EFFECT_Bow01.bmp;矢連射;矢連射;矢連射
ファイナルメテオ(命中), 矢連射改 5;矢連射改 5
招雷弓(準備), 弓
招雷弓(攻撃), 突く武器急降下 Weapon\EFFECT_Bow01.bmp
招雷弓(命中), @戦闘アニメ_実弾投下攻撃 Bullet\EFFECT_Arrow01.bmp - Bow.wav - 対象ユニットＩＤ;大落雷
#リリィ・シアフィールド#
攻撃無効化(魔術障壁), バリア 魔術障壁
放電(攻撃), 放電 Thunderbolt.wav
放電(命中), 放電
アークディル, 凍結
アークディル(命中), 凍結 Transform.wav
ヴォルテクス, 電撃
ブレイズノン(攻撃), 火炎弾 赤 Missile.wav
ブレイズノン(命中), 火炎弾
パルス, 光球
パルス(命中), 大爆発
アーク・ディ・アクル, 吹雪
アーク・ディ・アクル(命中), 吹雪;凍結 Transform.wav
ヴォルテカノン, 大電撃
ファルブレイズン(攻撃), 火炎弾 赤 Missile.wav
ファルブレイズン(命中), 連続大爆発 Explode(1).wav;連続大爆発 Explode(1).wav
パルス・ロア, 光球
パルス・ロア(命中), 超爆発;光柱 Breath.wav
#ベリオ・トロープ#
攻撃無効化(ホーリーシールド), バリア ホーリーシールド
ユーフォニア, 殴打武器 Weapon\EFFECT_DUELS_Ufonia.bmp 44
ホーリーフィールド, 光球 青
シルフィス, シュートカッター 白
レイライン, 中ビーム 緑
スプラッシュ, 光投射 黄
スプラッシュ(命中), 大爆発
ホーリーノヴァ(攻撃), @戦闘アニメ_大放電命中 青 Hide.wav
ホーリーノヴァ(命中), 光球 青
