
デビルメイクライ３
#
## ダンテ #############################################################
#
リベリオン,  鋼剣
スティンガー(準備), 鋼剣
スティンガー(攻撃), タックル;刺突
スティンガー(命中), 刺突 Crash.wav
ドライブ(準備), 鋼剣;粒子集中 赤
ドライブ(攻撃), 白兵武器;地表衝撃波 白
ドライブ(命中), 地表衝撃波 白
ヘルムブレイカー(準備), 鋼剣
ヘルムブレイカー(攻撃), 急降下
ヘルムブレイカー(命中), 急降下 -.wav;唐竹割り Crash.wav
ミリオンスタッブ(準備), 鋼剣
ミリオンスタッブ(攻撃), 連突
ミリオンスタッブ(命中), 連突;刺突 Crash.wav
ソードピアス(準備), 鋼剣
ソードピアス(攻撃), 投剣
ソードピアス(命中), 投剣
プロップシュレッダー(準備), 鋼剣
プロップシュレッダー(攻撃), 中心回転武器 Weapon\EFFECT_SteelSword01.bmp
プロップシュレッダー(命中), 回転斬撃
ダンスマカブル(準備), 鋼剣
ダンスマカブル(攻撃), 連斬撃;振り上げ;振り下ろし;連続なぎ払い;鋼剣突撃
ダンスマカブル(命中), 連斬撃;振り上げ;振り下ろし;連続なぎ払い;鋼剣突撃
ケルベロス(準備), 三節棍
ケルベロス(攻撃), 白兵乱舞
ケルベロス(命中), 乱打;凍結
ウィンドミル(準備), 三節棍
ウィンドミル(攻撃), 中心回転武器 Weapon\EFFECT_Sansetsukon01.bmp
ウィンドミル(命中), 乱打;凍結
リボルバー(準備), 三節棍
リボルバー(攻撃), 三節棍
リボルバー(命中), 三節棍;凍結
サテライト(準備), 三節棍
サテライト(攻撃), 強風
サテライト(命中), 強風;凍結
アイスエイジ(攻撃), オーラ 白
アイスエイジ(命中), ダメージ
フリッカー(準備), -
フリッカー(攻撃), なぎ払い
フリッカー(命中), ダメージ
クリスタル, 氷柱
ミリオンカラット, 大氷柱
アグニ＆ルドラ(準備), 大鉈 二刀流
アグニ＆ルドラ(攻撃), 大鉈 二刀流
アグニ＆ルドラ(命中), 炎斬撃;凍斬撃 Storm.wav
ジェットストリーム(準備), 大鉈 二刀流
ジェットストリーム(攻撃), 大鉈突撃 二刀流
ジェットストリーム(命中), 炎斬撃;凍斬撃 Storm.wav
ミリオンスラッシュ(準備), 大鉈 二刀流
ミリオンスラッシュ(攻撃), 連続なぎ払い;連続なぎ払い;連続なぎ払い
ミリオンスラッシュ(命中), 炎斬撃;凍斬撃 Storm.wav;炎斬撃;凍斬撃 Storm.wav;炎斬撃;凍斬撃 Storm.wav
ワールウィンド(準備), 大鉈 二刀流
ワールウィンド(攻撃), 振り上げ
ワールウィンド(命中), 振り上げ;火柱
クロウラー(準備), 大鉈 二刀流
クロウラー(攻撃), 振り下ろし;地表衝撃波 赤 Fire(2).wav
クロウラー(命中), 地表衝撃波 赤 Fire(2).wav
クロスソード(準備), 大鉈 二刀流
クロスソード(攻撃), 大鉈 二刀流
クロスソード(命中), 超打
ツイスター(準備), 大鉈 二刀流
ツイスター(攻撃), 回転斬撃;強風 対象ユニットＩＤ
ツイスター(命中), 竜巻;火柱
テムペスト(準備), 大鉈 二刀流;粒子集中 赤;粒子集中 青
テムペスト(攻撃), 回転斬撃;ＭＡＰ強風;ＭＡＰ炎
テムペスト(命中), 強風;火柱
コウモリ(準備), エレキギター 紫
コウモリ(攻撃), 光子魚雷 紫 Guitar.wav;光子魚雷 紫 -.wav
コウモリ(命中), 放電 Guitar.wav;放電 -.wav
リバーブショック(準備), エレキギター　
リバーブショック(攻撃), スーパータックル 紫 Guitar.wav
リバーブショック(命中), スーパータックル 紫 Guitar.wav;放電 Guitar.wav
ジャムセッション(準備), エレキギター 
ジャムセッション(攻撃), ＭＡＰ竜巻 Guitar.wav 紫
ジャムセッション(命中), 竜巻 Guitar.wav 紫;放電 -.wav
バットリフト(準備), エレキギター
バットリフト(攻撃), 振り上げ Guitar.wav;光子魚雷 -.wav
バットリフト(命中), 超アッパー Guitar.wav;光子魚雷 -.wav
スラッシュ(準備), エレキギター;巨大鎌
スラッシュ(攻撃), 巨大鎌
スラッシュ(命中), 巨大鎌
フィードバック(準備), エレキギター
フィードバック(攻撃), 強風 Guitar.wav 対象ユニットＩＤ
フィードバック(命中), 回転斬撃;小爆発 Guitar.wav 紫
ディストーション(準備), エレキギター;粒子集中 紫
ディストーション(攻撃), 中ビーム 紫 Guitar.wav
ディストーション(命中), 中ビーム 紫 Guitar.wav
クレイジーロール(準備), エレキギター
クレイジーロール(攻撃), 強風 対象ユニットＩＤ;タックル
クレイジーロール(命中), 強風;斬撃;落雷 紫 Guitar.wav
サンダーボルト, 電撃
ヴォルテックス, スーパータックル 紫
ベオウルフ, 打突
ビーストアッパー, アッパー
ライジングドラゴン, 超アッパー
ディバインドラゴン(準備), 粒子集中 白
ディバインドラゴン(攻撃), 超アッパー;強風 対象ユニットＩＤ
ディバインドラゴン(命中), 超アッパー;強風
キラービー(準備), -
キラービー(攻撃), 急降下
キラービー(命中), 急降下 -.wav;ダメージ
ストレイト(準備), -
ストレイト(攻撃), タックル;打突
ストレイト(命中), 超打
ハイパーフィスト(準備), -
ハイパーフィスト(攻撃), 乱打;乱打;打突
ハイパーフィスト(命中), 乱打;乱打;超打
ゾディアック(攻撃), -
ゾディアック(攻撃), 光弾 白 whiz.wav
ゾディアック(命中), ダメージ 白 Explode.wav
ヴォルケイノ(準備), -
ヴォルケイノ(攻撃), 振り下ろし;フラッシュ Explode.wav
ヴォルケイノ(命中), フラッシュ Explode.wav
リアルインパクト(準備), -
リアルインパクト(攻撃), 打突
リアルインパクト(命中), 点打 Explode.wav;超アッパー
エボニー＆アイボリー(準備), 左右別武器 EFFECT_DMC_Ebony01.bmp - - EFFECT_DMC_Ivory01.bmp - - Reload.wav
エボニー＆アイボリー(攻撃), 内蔵チェーンガン 赤
エボニー＆アイボリー(命中), 内蔵チェーンガン 赤
トゥーサムタイム(準備), 左右別武器 EFFECT_DMC_Ebony01.bmp - - EFFECT_DMC_Ivory01.bmp - - Reload.wav
トゥーサムタイム(攻撃), 全拡散ビーム 赤 MachineGun.wav
トゥーサムタイム(攻撃), 内蔵チェーンガン 赤
レインストーム(準備), -
レインストーム(攻撃), 急降下;透明化;MachineGun.wav
レインストーム(命中), 透明化;MachineGun.wav;連続爆発
ショットガン, ショットガン
ファイアワークス(準備), -
ファイアワークス(攻撃), 中心回転武器 Weapon\EFFECT_ShotGun01.bmp;ショットガン;中心回転武器 Weapon\EFFECT_ShotGun01.bmp;ショットガン
ファイアワークス(命中), ショットガン
ガンスティンガー(準備), ショットガン
ガンスティンガー(攻撃), タックル;ショットガン
ガンスティンガー(命中), 超打;ショットガン
チャージショット(準備), ショットガン;粒子集中 赤
チャージショット(攻撃), ショットガン
チャージショット(命中), ショットガン
ポイントブランク(準備), ショットガン
ポイントブランク(攻撃), ショットガン;粒子集中 赤;ショットガン
ポイントブランク(命中), ショットガン;ショットガン
アルテミス, 光弾 紫
マルチロック, 光弾 紫
アシッドレイン(準備), -
アシッドレイン(攻撃), 光球 紫;光弾 紫
アシッドレイン(命中), 拡散ビーム 紫
スフィア(準備), -
スフィア(攻撃), 光球 紫
スフィア(命中), 光球 紫
スパイラル, 対物ライフル
トリックショット(準備), 対物ライフル
トリックショット(攻撃), 対物ライフル
トリックショット(命中), オールレンジ MachineGun.wav
リフレクター(準備), 対物ライフル
リフレクター(攻撃), 対物ライフル;粒子集中 白
リフレクター(命中), オールレンジ MachineGun.wav
カリーナ＝アン, バズーカ
ヒステリック(準備), バズーカ
ヒステリック(攻撃), 小型ミサイル 8
ヒステリック(命中), 小型ミサイル 8
グラップル(準備), バズーカ;小柄
グラップル(攻撃), 小柄
グラップル(命中), 小柄
シールド防御(ブロック), ビームコート BeamCoat.wav ブロック
攻撃無効化(ブロック＋), バリア BeamCoat.wav ブロック＋
攻撃無効化(ジャストブロック), バリア BeamCoat.wav ジャストブロック
リリース, タックル
ジャストリリース, スーパータックル 黄
ロイヤルリリース(準備), 粒子集中 黄色
ロイヤルリリース(攻撃), スーパータックル 黄
ロイヤルリリース(命中), スーパータックル 黄
アフターイメージ, 魔法放射
クイックシルバー(Ｒ)(準備), ソード
クイックシルバー(Ｒ)(攻撃), フラッシュ 黒;斬撃乱舞
クイックシルバー(Ｒ)(命中), 斬撃乱舞
クイックシルバー(Ｋ)(準備), 三節棍
クイックシルバー(Ｋ)(攻撃), フラッシュ 黒;三節棍
クイックシルバー(Ｋ)(命中), 三節棍
クイックシルバー(Ａ＆Ｒ)(準備), ククリ 二刀流
クイックシルバー(Ａ＆Ｒ)(攻撃), フラッシュ 黒;ククリ 二刀流
クイックシルバー(Ａ＆Ｒ)(命中), 炎斬撃;凍斬撃 Storm.wav
クイックシルバー(Ｎ)(準備), エレキギター 紫
クイックシルバー(Ｎ)(攻撃), フラッシュ 黒;ＭＡＰ竜巻 Guitar.wav 紫
クイックシルバー(Ｎ)(命中), 強風 Guitar.wav;光子魚雷 -.wav;光子魚雷 -.wav
クイックシルバー(Ｂ)(準備), -
クイックシルバー(Ｂ)(攻撃), フラッシュ 黒;連打
クイックシルバー(Ｂ)(命中), 連打
超回避(タイムラグ), 回避 Glass.wav
ハイパーモード(悪魔狩人ダンテ・リベリオン=>魔人ダンテ・リベリオン), 魔法放射
ノーマルモード(魔人ダンテ・リベリオン=>悪魔狩人ダンテ・リベリオン), 魔法集中
ハイパーモード(悪魔狩人ダンテ・ケルベロス=>魔人ダンテ・ケルベロス), 魔法放射 白
ノーマルモード(魔人ダンテ・ケルベロス=>悪魔狩人ダンテ・ケルベロス), 魔法集中 白
ハイパーモード(悪魔狩人ダンテ・アグニ＆ルドラ=>魔人ダンテ・アグニ＆ルドラ), 魔法放射 橙
ノーマルモード(魔人ダンテ・アグニ＆ルドラ=>悪魔狩人ダンテ・アグニ＆ルドラ), 魔法集中 橙
ハイパーモード(悪魔狩人ダンテ・ネヴァン=>魔人ダンテ・ネヴァン), 魔法放射 紫
ノーマルモード(魔人ダンテ・ネヴァン=>悪魔狩人ダンテ・ネヴァン), 魔法集中 紫
ハイパーモード(悪魔狩人ダンテ・ベオウルフ=>魔人ダンテ・ベオウルフ), 魔法放射 白
ノーマルモード(魔人ダンテ・ベオウルフ=>悪魔狩人ダンテ・ベオウルフ), 魔法集中 白
バイチャク(準備), -
バイチャク(攻撃), 回転斬撃
バイチャク(命中), 乱打
#
## バージル ###########################################################
#
閻魔刀, 日本刀
抜刀上下二連斬(準備), 日本刀
抜刀上下二連斬(攻撃), 振り上げ;振り下ろし
抜刀上下二連斬(命中), 振り上げ;振り下ろし
次元斬(準備), 日本刀
次元斬(攻撃), 連続なぎ払い
次元斬(命中), 重力圧縮 Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav;1
疾走居合(準備), 日本刀
疾走居合(攻撃), 日本刀突撃
疾走居合(命中), 日本刀突撃
日輪脚(攻撃), サマーソルト
日輪脚(命中), ダメージ
流星脚(準備), -
流星脚, 急降下
月輪脚(準備), -
月輪脚(攻撃), スピンキック
月輪脚(命中), 超打
フォースエッジ, 銀剣
二刀流(準備), 銀剣;日本刀
二刀流(攻撃), 振り下ろし;なぎ払い
二刀流(命中), 振り下ろし;なぎ払い
スティンガー(Ｂ)(準備), 銀剣
スティンガー(Ｂ)(攻撃), タックル;刺突
スティンガー(Ｂ)(命中), 刺突 Crash.wav
ヘルムブレイカー(Ｂ)(準備), 銀剣
ヘルムブレイカー(Ｂ)(攻撃), 急降下
ヘルムブレイカー(Ｂ)(命中), 急降下 -.wav;唐竹割り Crash.wav
幻影剣(準備), エナジーカッター 青
幻影剣(攻撃), ニードルレーザー 青
幻影剣(命中), ニードルレーザー 青
円陣幻影剣配置, 強風
烈風幻影剣(準備), 強風 対象ユニットＩＤ
烈風幻影剣(攻撃), ニードルレーザー連射 青
烈風幻影剣(命中), ニードルレーザー連射 青
急襲幻影剣(準備), 強風 対象ユニットＩＤ
急襲幻影剣(攻撃), 強風
急襲幻影剣(命中), オールレンジ Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav;1
ハイパーモード(魔剣士バージル・閻魔刀=>魔人バージル・閻魔刀), 魔法放射 青
ハイパーモード(魔剣士バージル・ベオウルフ=>魔人バージル・ベオウルフ), 魔法放射 青
ハイパーモード(魔剣士バージル・フォースエッジ=>魔人バージル・フォースエッジ), 魔法放射 青
ノーマルモード(魔人バージル・閻魔刀=>悪魔狩人バージル・閻魔刀), 魔法集中 青
ノーマルモード(魔人バージル・ベオウルフ=>悪魔狩人バージル・ベオウルフ), 魔法集中 青
ノーマルモード(魔人バージル・フォースエッジ=>悪魔狩人バージル・フォースエッジ), 魔法集中 青
#
## バージル・敵 #######################################################
#
居合斬り(準備), -
居合斬り(攻撃), なぎ払い
居合斬り(命中), 超斬撃
飛翔脚(準備), -
飛翔脚(攻撃), 急降下
飛翔脚(命中), 急降下
旋風脚(攻撃), サマーソルト
旋風脚(命中), ダメージ
ラウンドトリップ(準備), -
ラウンドトリップ(攻撃), -
ラウンドトリップ(命中), 回転斬撃
エアトリック兜割り(準備), 銀剣
エアトリック兜割り(攻撃), 急降下
エアトリック兜割り(命中), 急降下 -.wav;唐竹割り Crash.wav
十字斬(準備), 銀剣;日本刀
十字斬(攻撃), 振り下ろし;なぎ払い
十字斬(命中), 振り下ろし;なぎ払い
空間斬り(準備), 日本刀
空間斬り(攻撃), なぎ払い
空間斬り(命中), 重力圧縮 Swing(2).wav;1;Swing(2).wav;1
空間斬り三連(準備), 日本刀
空間斬り三連(攻撃), 連続なぎ払い
空間斬り三連(命中), 重力圧縮 Swing(2).wav;1;Swing(2).wav;1
絶刀(準備), 日本刀
絶刀(攻撃), 連続なぎ払い;なぎ払い
絶刀(命中), 重力圧縮 Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav;1
#
## レディ #############################################################
#
銃剣(準備), サブマシンガン;忍者刀
銃剣(攻撃), 白兵武器
銃剣(命中), 斬撃
ハンドガン, ピストル
ボウガン, クロスボウ
サブマシンガン, サブマシンガン
手榴弾(準備), 手榴弾
手榴弾(攻撃), 手榴弾;手榴弾
手榴弾(命中), 手榴弾
フックショット手榴弾(準備), バズーカ
フックショット手榴弾(攻撃), 急降下;透明化;手榴弾
フックショット手榴弾(命中), 手榴弾
デビルハンター(準備), ピストル;サブマシンガン
デビルハンター(攻撃), ピストル;サブマシンガン;ピストル;ピストル;サブマシンガン
デビルハンター(命中), ピストル;サブマシンガン;ピストル;ピストル;サブマシンガン
プラズマミサイル(準備), バズーカ
プラズマミサイル(攻撃), 粒子集中 黄;超ビーム 黄 Bazooka.wav
プラズマミサイル(攻撃), 超ビーム 黄 Bazooka.wav;超爆発
#
## ボス ###############################################################
#
氷霧, 吹雪
爪, 爪撃
落氷(攻撃), Beast.wav
落氷(命中), つらら
噛み付き, 噛み付き
突進(攻撃), スーパータックル 青
突進(命中), スーパータックル 青 Crash.wav
氷塊, 氷弾
放電(攻撃), 大放電 対象ユニットＩＤ
放電(命中), 大放電
電撃球, 球電
電撃糸, ＭＡＰ持続ビーム 黄
地走り稲妻, 大電撃
巨大雷球, 光球 黄 Thunder(2).wav
切り下ろし, ククリ
クロウラー(Ａ)(準備), ククリ
クロウラー(Ａ)(攻撃), 振り下ろし;地表衝撃波 赤 Fire(2).wav
クロウラー(Ａ)(命中), 地表衝撃波 赤 Fire(2).wav
回転ジャンプ攻撃(準備), ククリ
回転ジャンプ攻撃(攻撃), 飛びかかり
回転ジャンプ攻撃(命中), 凍斬撃 Storm.wav
ジェットストリーム(Ａ)(準備), ククリ
ジェットストリーム(Ａ)(攻撃), ククリ突撃
ジェットストリーム(Ａ)(命中), 炎斬撃
ジェットストリーム(Ｒ)(準備), ククリ
ジェットストリーム(Ｒ)(攻撃), ククリ突撃
ジェットストリーム(Ｒ)(命中), 凍斬撃 Storm.wav
切り下ろし(ＡＲ)(準備), ククリ 二刀流
切り下ろし(ＡＲ)(攻撃), ククリ 二刀流
切り下ろし(ＡＲ)(命中), 炎斬撃;凍斬撃 Storm.wav
回転ジャンプ攻撃(ＡＲ)(準備), ククリ 二刀流
回転ジャンプ攻撃(ＡＲ)(攻撃), 飛びかかり
回転ジャンプ攻撃(ＡＲ)(命中), 炎斬撃;凍斬撃 Storm.wav
赤の開放, 中ビーム 赤
白の開放, ＭＡＰ泡
吸収(オーブ)(準備), -
吸収(オーブ)(攻撃), -
吸収(オーブ)(命中), 吸収 赤
吸収(ＤＴ)(準備), -
吸収(ＤＴ)(攻撃), -
吸収(ＤＴ)(命中), 吸収 白
死の抱擁(攻撃), タックル
死の抱擁(命中), 重力圧縮
コウモリ・単体(攻撃), 光子魚雷 紫
コウモリ・単体(命中), 放電
影刃, 黒斬撃
電撃カーテン, ＭＡＰ持続ビーム 紫
影珠, フラッシュ 黒
コウモリ・群体(攻撃), 中ビーム 紫
コウモリ・群体(命中), 中ビーム 紫;放電
広域雷(準備), -
広域雷(攻撃), 落雷 紫 対象ユニットＩＤ;ＭＡＰフラッシュ
広域雷(命中), 大電撃 紫
落雷, 大落雷
阻止(コウモリの盾), 暗黒バリア
目の光攻撃(攻撃), ２連光弾 白
目の光攻撃(命中), ダメージ 白 Explode.wav
コンボ, 打突;打突;打突
ダッシュ体当たり, 飛びかかり
羽攻撃, 拡散ビーム 白
モードチェンジ, ＭＡＰフラッシュ Explode.wav
時間球(攻撃), 光球 紫
時間球(命中), 光球 紫 -.wav;フラッシュ 黒
槍, 投げ槍
爆矢(攻撃), 光矢連射 青
爆矢(命中), 光矢連射 青;連続爆発
踏みつけ炎(攻撃), 振り下ろし;ＭＡＰ炎 青
踏みつけ炎(命中), 炎 青
旋回(攻撃), スピンキック
旋回(命中), 超打
アッパー, アッパー
袈裟斬り, 黒斬撃
ゾディアック・オンブラ, 光弾 黒
スティンガー(Ｄ)(準備), -
スティンガー(Ｄ)(攻撃), タックル;刺突
スティンガー(Ｄ)(命中), 刺突 Crash.wav
ヴォルケイノ・オンブラ(攻撃), 振り下ろし;ＭＡＰダークネス 黒 Explode.wav
ヴォルケイノ・オンブラ(命中), フラッシュ 黒 Explode.wav
玉乗り, ＭＡＰ移動タックル
攻撃玉(攻撃), 光球;光球;光球
攻撃玉(命中), 光球
攻撃玉＋赤い手(攻撃), 光球;光球;光球
攻撃玉＋赤い手(命中), 光球;ダメージ 赤
攻撃玉＋爆発物(攻撃), 光球;光球;光球;大キャノン砲
攻撃玉＋爆発物(命中), 光球;大キャノン砲
回転足払い, スピンキック 2
魔剣フォースエッジ(準備), 銀剣
魔剣フォースエッジ(攻撃), 振り下ろし
魔剣フォースエッジ(命中), ハイパービームサーベル 紫
触手, 触手 紫
魔弾, ホーミングレーザー 赤
突進(ＡＬ), タックル
#
## ザコ ###############################################################
#
鎌, 大鎌
鎌投げ, 大鎌投擲
自爆攻撃, ＭＡＰ大爆発
ワープ攻撃, 大鎌
地獄の住人, 怨霊
棺(攻撃), なぎ払い
棺(命中), ダメージ
砂吐き, 旋風 橙
大鎌, 巨大鎌
ヘルゲート【ＭＡＰ】, ＭＡＰ移動タックル 黒
ヘルゲート(攻撃), フラッシュ 黒
ヘルゲート(命中), 光圧縮 黒;斬撃
青の矢, 小ビーム 青;小ビーム 青;小ビーム 青
赤の矢, 小ビーム 赤;小ビーム 赤;小ビーム 赤
盾, 風
剣, 銅剣
糸吐き, 小ビーム 白 Whiz.wav
溶解液(準備), -
溶解液(攻撃), 放水銃 -.bmp Splash.wav
溶解液(命中), 放水銃
鎌(Ａ), 連斬撃
大鎌(Ａ), 連斬撃
飛びかかり(攻撃), 飛びかかり
飛びかかり(命中), 飛びかかり;斬撃
回転体当たり(攻撃), 急降下
回転体当たり(命中), 急降下;斬撃
剣(Ｆ), 光巨大剣 白
突き(準備), 光巨大剣 白
突き(攻撃), 刺突突撃
突き(命中), 刺突突撃
天罰(準備), 光巨大剣 白
天罰(攻撃), 中ビーム 白
天罰(命中), 大爆発
シールド防御(翼), 翼防御
取り憑き(攻撃), タックル
取り憑き(命中), 粒子集中 緑
取り憑き失敗(攻撃), -
取り憑き失敗(命中), 飛沫 緑 Whiz.wav
取り憑き成功(攻撃), -
取り憑き成功(命中), 飛沫 緑 Whiz.wav;大爆発 緑
剣(Ｄ), 黒剣 二刀流
角, 斬撃
踏みつけ(攻撃), 急降下
踏みつけ(命中), 急降下
炎弾, 火炎弾
回復行動, 光噴出 緑
レーザー, 中ビーム 赤
突進(Ｑ)(準備),-
突進(Ｑ)(攻撃), ＭＡＰ移動タックル 赤 Laugh.wav
突進(Ｑ)(命中), 超打
エネルギー爆破(準備), 粒子集中 紫
エネルギー爆破(攻撃), ＭＡＰフラッシュ 紫 Explode.wav
エネルギー爆破(命中), フラッシュ 紫 Explode.wav

## 合体攻撃 ###########################################################

デビルメイクライ３
ジャックポット！(準備), -
ジャックポット！(攻撃), 同時実弾発射 Bullet\EFFECT_Bullet(Black)01.bmp 12
ジャックポット！(命中), 超ビーム 白 Explode.wav

悪魔狩人ダンテ・リベリオン
ツインズ(準備), 鋼剣
ツインズ(攻撃), 同時斬撃乱舞;同時刺突
ツインズ(命中), 同時斬撃乱舞;同時刺突;@戦闘アニメ_日本刀準備;唐竹割り;超斬撃

魔剣士バージル・閻魔刀
ツインズ(準備), 日本刀
ツインズ(攻撃), 同時斬撃乱舞;同時刺突
ツインズ(命中), 同時斬撃乱舞;同時刺突;@戦闘アニメ_鋼剣準備;唐竹割り;超斬撃

## 敵・解説 ###########################################################

ソウルイーター(ＤＭＣ３)
追加攻撃(解説), ソウルイーターは相手に取り憑いた。
取り憑き成功(解説), ソウルイーターは$(相手ユニット)に取り憑くことに成功した。
取り憑き失敗(解説), ソウルイーターは$(相手ユニット)に取り憑くことに失敗した。

ダムドポーン(ＤＭＣ３)
プロモーション(解説), ダムドポーンはプロモーションを行った。
追加攻撃(解説), ダムドポーンは変化を開始した。
ナイト, Whiz.wav
ナイト(解説), ダムドポーンはダムドナイトに変化した。
ナイト(命中)(解説), -
ビショップ, Whiz.wav
ビショップ(解説), ダムドポーンはダムドビショップに変化した。
ビショップ(命中)(解説), -
ルーク, Whiz.wav
ルーク(解説), ダムドポーンはダムドルークに変化した。
ルーク(命中)(解説), -
