
#--------------------------------- 解説 --------------------------------

汎用
アゾット剣(解説), $(パイロット)はアゾット剣で攻撃をかけた。
アゾット剣(命中)(解説), $(パイロット)はアゾット剣の魔力を開放した。


衛宮士郎
全て遠き理想郷(解説), $(パイロット)は全て遠き理想郷を投影した。


Ｆａｔｅ
#共通部分
弓(解説), $(パイロット)は投影した弓を放った。
投影(解説), $(パイロット)は投影した剣で斬りかかった。
干将・莫耶(解説), $(パイロット)は投影した干将・莫耶で斬りかかった。
鶴翼二連(解説), $(パイロット)は投影した干将・莫耶を投擲した。
無数の剣(解説), $(パイロット)は投影した無数の剣を放った。
#士郎
強化木刀(解説), $(パイロット)は強化した木刀で攻撃をかけた。
黄金の剣(解説), $(パイロット)は投影した黄金の剣で攻撃をかけた。
勝利すべき黄金の剣(解説), $(パイロット)は投影した黄金の剣で攻撃をかけた。
絶世の剣, $(パイロット)は投影した剣で斬りかかった。
無限の剣製(解説), $(パイロット)は剣の丘から引き抜いた剣で斬りかかった。
偽・螺旋剣(解説), $(パイロット)は投影した偽・螺旋剣を放った。
鶴翼三連(解説), $(パイロット)は投影した干将・莫耶を投擲した。
射殺す百頭(解説), $(パイロット)は投影した斧剣で斬りかかった。
攻撃無効化(熾天覆う七つの円環)(解説), $(パイロット)は熾天覆う七つの円環を投影した。
#英霊アルトリア
風王結界(解説), $(パイロット)は不可視の剣で斬りかかった。
魔力放出(解説), $(パイロット)は魔力放出で増幅された斬撃を放った。
#遠坂凛
宝石魔術(解説), $(パイロット)は魔弾を放った。
Ｃ・セブンカラーズ(解説), $(パイロット)は魔弾を放った。
#英霊エミヤ
赤原猟犬(解説), $(パイロット)は赤原猟犬を放った。
赤原猟犬(解説), $(パイロット)は赤原猟犬を放った。解き放たれた猟犬は敵を逃さない。
#間桐慎二
黒の刃(解説), $(パイロット)は黒の刃を放った。
#間桐桜(マキリの杯)
呪層界・胎蔵曼荼羅(解説), $(パイロット)は影で全てを飲み込んだ。
呪層界(解説), $(パイロット)は影の触手を伸ばした。
呪層界・悪心祝祭(解説), $(パイロット)は影の巨人を召喚した。
#イリヤスフィール＝フォン＝アインツベルン 
魔力の塊(解説), $(パイロット)は魔力の塊を放った。
#葛木宗一郎
蛇(解説), $(パイロット)は鞭のようにしなる左拳で攻撃をかけた。
右拳(解説), $(パイロット)は拳を繰り出した。
右拳(命中)(解説), 親指を引っ掛けて$(相手パイロット)を地面に叩き付けた。
#言峰綺礼
黒蛇現照(解説), $(パイロット)を守るかのように泥の蛇が動き出した。
この世、全ての悪(解説), $(パイロット)はこの世、全ての悪を解放した。
#英霊ギルガメッシュ
原典宝具(解説), $(パイロット)は王の財宝から宝具を取り出して攻撃をかけた。
王の財宝(解説), $(パイロット)は王の財宝から無数の宝具を射出した。
王の財宝・無限の宝具(解説), $(パイロット)は王の財宝から無限の宝具を射出した。
#英霊ハサン＝サッバーハ
妄想心音(解説), $(パイロット)は呪いの右腕を解き放った。

