ストリートファイター
キャプテンファイアー, AntiAirMissile.wav
キャプテンファイアー(命中), Explode(Small).wav
キャプテンコレダー, Thunder.wav
キャプテンコレダー(命中), Slash(4).wav
キャプテンキック, Shock(Low).wav
キャプテンキック(命中), BreakOff.wav
キャプテンストーム(準備), Charge.wav;4;Chaff.wav;1;Chaff.wav;1;Chaff.wav
キャプテンストーム(命中), Combo.wav;2;Combo.wav;2;Combo.wav
キャプテンストーム(とどめ), Flair.wav;4;Explode(Far).wav
キャプテンソード(準備), Charge.wav;4;Chaff.wav;1;Chaff.wav;1;Chaff.wav
キャプテンソード(命中), Slash(2).wav;1;Slash(2).wav;1;Slash(2).wav;1;Slash(2).wav;1;Slash(2).wav;1;Slash(2).wav
キャプテンソード(とどめ), Flair.wav;4;Explode(Far).wav
サオトメドリルキック, AntiShipMissile.wav
サオトメドリルキック(命中), Shock(Low).wav
サオトメストレート, Missile.wav
サオトメストレート(命中), Explode.wav
サオトメダイナマイト, AntiAirMissile.wav
サオトメダイナマイト(命中), Explode.wav
サオトメタイフーン, Drill.wav;4;MultipleRocketLauncher.wav
サオトメタイフーン(命中), Combo.wav
サオトメクラッシュ(命中), 1;FallDown.wav;3;FallDown.wav;3;FallDown.wav;3;FallDown.wav;3;FallDown.wav
サオトメサイクロン, Wind.wav;4;Drill.wav;3;MultipleRocketLauncher.wav
サオトメサイクロン(命中), Combo.wav;4;Explode.wav
ブロディアバルカン, 1;Ready.wav;9;MultipleRocketLauncher(Light).wav
ブロディアバルカン(命中), 1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav
ブロディアパンチ, 1;Ready.wav;9;Interference.wav
ブロディアパンチ(命中), Explode(Long).wav
アメノムラクモ, Saber.wav
アメノムラクモ(命中), Slash(4).wav
ヴァジュラ, Swing(2).wav
ヴァジュラ(命中), BreakOff.wav
エクスカリバー, Whiz.wav
エクスカリバー(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav
グラム, Sword.wav
グラム(命中), Stab.wav
ウロボロス, LaserGun.wav
ウロボロス(命中), 1;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav
ラグナロク, Chaff.wav
ラグナロク(命中), 2;Saber.wav;7;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav;4;BreakOff.wav
ファントゥーム(命中), Hide.wav
ラファールカノン, Chaff.wav
ラファールカノン(命中), Bazooka.wav
シュバルツェール, Bazooka.wav
シュバルツェール(命中), Punch.wav
シュプリマシオン(命中), Splash.wav
ミルファントゥーム(命中), Hide.wav;4;Hide.wav;4;Hide.wav;4;Hide.wav
フランメール, Bazooka.wav
フランメール(命中), Punch(3).wav
トゥール・ド・マジ, Bomb.wav
トゥール・ド・マジ(命中), Tub.wav;9;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;6;Explode.wav
パルトネール, Jet.wav
パルトネール(命中), Shock(Low).wav;8;FastGun.wav;3;FastGun.wav;3;FastGun.wav
子猿舞, Bow.wav;1;Bow.wav;1;Bow.wav
子猿舞(命中), Explode.wav
風切斬(命中), Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
斎天連撃, Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav
斎天連撃(命中), Combo.wav
金銀乃葫蘆, Chaff.wav;1;Chaff.wav;1;Chaff.wav
金銀乃葫蘆(命中), Wind.wav;6;Bazooka.wav
ＰＯＷ, Charge.wav
ＰＯＷ(命中), UnitOn.wav;4;UnitOn.wav;4;UnitOn.wav;4;UnitOn.wav;4;Explode.wav
天地通貫, Saber.wav
天地通貫(命中), Shock(Low).wav;1;Shock(Low).wav;1;Shock(Low).wav
猿王, EvilEye.wav
猿王(命中), Thunder.wav;4;Explode(Nuclear).wav
大地の子供, UnitOn.wav
大地の子供(命中), Chaff.wav
風の叫び, Bazooka.wav
風の叫び(命中), Shock(Low).wav
緑の歓喜, Bazooka.wav
緑の歓喜(命中), Shock(Low).wav
植物の掟, UnitOn.wav
植物の掟(命中), Bazooka.wav;3;Bazooka.wav;3;Shock(Low).wav;3;Explode.wav
太陽の恵み, Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav;1;Swing(2).wav
太陽の恵み(命中), Combo.wav
闇より生まれし雷光, Fold.wav
闇より生まれし雷光(命中), Explode.wav;1;Explode.wav;1;Explode.wav
命を貫く槍投, Swing(2).wav
命を貫く槍投(命中), Stab.wav
振り下ろす蒼き掌, Swing.wav
振り下ろす蒼き掌(命中), Shock(Low).wav
波蝕の突進(命中), Explode.wav;1;Explode.wav;1;Explode.wav
蝕みし奔流, LaserGun.wav
蝕みし奔流, Explode.wav
降り頻る槍の雨, Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
降り頻る槍の雨(命中), Combo.wav
停止の様な無邪気さ, Bubble.wav
停止の様な無邪気さ(命中), BeamShot.wav
何もかも尊き陽炎, AntiShipMissile.wav
何もかも尊き陽炎(命中), Fire.wav
指差す如きの光, Beam.wav
指差す如きの光(命中), Explode.wav
蔑みの意味を持つ光, Beam.wav
蔑みの意味を持つ光(命中), Explode.wav;1;Explode.wav
終末を想わせる渦, Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav
終末を想わせる渦(命中), Explode.wav;1;Explode.wav;1;Explode.wav
蛇がのたうつ如くの灼熱, MachineGun.wav
蛇がのたうつ如くの灼熱(命中), Fire.wav;1;Explode.wav;1;Fire.wav
全てを薙ぎ払う炎, AntiShipMissile.wav
全てを薙ぎ払う炎(命中), Explode(Far).wav
地獄を思わせる業火, MicroMissile.wav
地獄を思わせる業火(命中), MicroMissile.wav
果て無き貪欲の飛び付き, AntiAirMissile.wav
果て無き貪欲の飛び付き(命中), Slash(3).wav;1;Slash(3).wav;1;Slash(3).wav
死を連想される腕, Transform.wav
死を連想される腕(命中), Explode(Far).wav
奈落の名に相応しい爆炎, AntiAirMissile.wav;1;MicroMissile.wav;2;Explode(Long).wav
奈落の名に相応しい爆炎(命中), Explode(Nuclear).wav
