マリアディアナ
ベレッタ92FSカスタム, ピストル
阻止(銃弾叩き落し), 切り払い
L96A1, ライフル
ショートグロック, ピストル
イングラム, サブマシンガン
手榴弾(準備), 手榴弾
手榴弾(攻撃), 白兵武器;実弾発射 Weapon\EFFECT_ChicagoPineapple01.bmp 16 Swing.wav;3;ＭＡＰ大爆発
ワルサーＰＰＫ, ピストル
爆弾(準備), -
爆弾(攻撃), UnitOn.wav;@戦闘アニメ_大爆発命中 相手ユニットＩＤ
爆弾(命中), ダメージ
ハンドガン, ピストル
アンチマテリアルライフル, 対物ライフル
超回避(先読み), 回避
阻止(銃弾切り払い), 切り払い
武装衛星ルナ, 衛星ビーム 青


橘卓巳
リミッター解除(攻撃), スーパータックル 赤
リミッター解除(命中), ダメージ Crash.wav

ホリー＝オーウェル
リミッター解除(攻撃), 射撃武器突撃 Weapon\EFFECT_AntiMaterialRifle01.bmp
リミッター解除(命中), @戦闘アニメ_対物ライフル準備;@戦闘アニメ_対物ライフル攻撃;対物ライフル

