MOON.
攻撃無効化(不可視の壁), 暗黒バリア BeamCoat.wav 不可視の壁
分身(偶然こけた), 回避 FallDown.wav
回復ドリンコ(発動), 回復魔法
格闘(攻撃), 振る武器突撃 -.bmp
格闘(命中), @戦闘アニメ_格闘攻撃;格闘
格闘(命中), @戦闘アニメ_打突攻撃;打撃
格闘(命中), @戦闘アニメ_格闘攻撃;連打
格闘(命中), @戦闘アニメ_アッパー攻撃;アッパー
破壊の爪(準備), 魔法集中 黒 BeamSaber.wav
破壊の爪(攻撃), 振る武器突撃 -.bmp
破壊の爪(命中), 爪撃 黒 連続
意思の力(攻撃), 魔法放射 黒 EvilEye.wav
意思の力(命中), ダメージ Crash.wav
ドッペル召喚(準備), 魔方陣 黒
ドッペル召喚(攻撃), ユニット変色 黒;透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav
ドッペル召喚(命中), 黒斬撃
災禍の渦(準備), 魔法集中 黒 大 Charge(High).wav
災禍の渦(攻撃), 必殺光線 黒
災禍の渦(命中), 必殺光線 黒
水晶球(準備), 魔法集中 黒 大 Charge(High).wav
水晶球(攻撃), 光球 黒 Earthquake.wav
水晶球(命中), 超打 Explode.wav;大爆発
由依カタパルト(攻撃), Swing.wav;3;Whiz.wav;斬撃 Partner(0);透明化 Partner(1);対象指定発射 Partner(0)  相手ユニットＩＤ MOON_NakuraYuiU.bmp 速
由依カタパルト(命中), 強打 Crash.wav
実はあなたが好きだった(攻撃), 3;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;3;Whiz.wav;斬撃 Partner(0);透明化 Partner(1);対象指定回転発射 Partner(1) 相手ユニットＩＤ MOON_NakuraYuiU.bmp 速
実はあなたが好きだった(命中), Bomb.wav;8;超爆発
体力奪取(準備), 粒子集中 黒 EvilEye.wav
体力奪取(発動), @戦闘アニメ_吸収命中 黒 BreakOff.wav;Sharara.wav
偶然敵が死んだ(攻撃), Whiz.wav
偶然敵が死んだ(命中), 8;@戦闘アニメ_ビームコート発動 BeamSaber.wav ？
確率1/2クリティカル(準備), 粒子集中 黒 EvilEye.wav
確率1/2クリティカル(攻撃), 振る武器突撃 -.bmp
確率1/2クリティカル(命中), 強打
確率1/2クリティカル(クリティカル), @戦闘アニメ_強打命中;@戦闘アニメ_超打命中 Warship.wav
拳銃, ピストル
########## おまけＲＰＧ ##########
溶解(攻撃), 振る武器突撃 -.bmp
溶解(命中), 飛沫 緑 Splash.wav
咆哮(攻撃), 音波 Roar.wav
咆哮(命中), -.wav
噛み付き(攻撃), 振る武器突撃 -.bmp
噛み付き(命中), 噛み付き
火炎(攻撃), 火炎放射
火炎(命中), 火炎放射
タックル, タックル
毒液(攻撃), 光弾 緑 Bow.wav
毒液(命中), 飛沫 緑 Splash.wav
肉きゅう(攻撃), 振る武器突撃 -.bmp
肉きゅう(命中), 連打 Bubble.wav
巻き付き(攻撃), 振る武器突撃 -.bmp
巻き付き(命中), 立ち固め BreakOff.wav
触覚(攻撃), 触手 橙
触覚(命中), 触手 橙
瓶(攻撃), 斬撃
瓶(命中), 強打
自爆(攻撃), ＭＡＰ大爆発 Explode(Nuclear).wav
自爆(命中), ダメージ Crash.wav
遊泳(攻撃), 津波
遊泳(命中), 津波 Inori.wav;飛沫 青 Splash.wav
背びれ(攻撃), 斬撃
背びれ(命中), 斬撃
体当たり, タックル
不吉な言葉(攻撃), 音波 Bubble.wav
不吉な言葉(命中), -.wav
ひまわりのタネ(攻撃), 斬撃;ニードル連射
ひまわりのタネ(命中), 連打
しばく(攻撃), 振る武器突撃 -.bmp
しばく(命中), 連打
不意打ち(攻撃), @戦闘アニメ_転移 Whiz.wav
不意打ち(命中), アッパー
シモネタ(攻撃), 風 Bubble.wav
シモネタ(命中), 煙 橙 Scream(Man).wav
首振り(攻撃), 斬撃
首振り(命中), 強打
角突撃(攻撃), @戦闘アニメ_転移 Whiz.wav
角突撃(命中), 強打
感電(攻撃), 振る武器突撃 -.bmp
感電(命中), 電撃
放電(攻撃), 球電
放電(命中), 電撃
四本の手(攻撃), 多触手 橙
四本の手(命中), 多触手 橙;電撃
拍手(攻撃), 音波 Cheer1.wav
拍手(命中), -.wav
殴る(攻撃), 斬撃
殴る(命中), 強打
３匹で体当たり(攻撃), @戦闘アニメ_転移 FastGun.wav
３匹で体当たり(命中), 連打 FastGun.wav
９匹で体当たり(攻撃), @戦闘アニメ_転移 FastGun.wav
９匹で体当たり(命中), 連打 FastGun.wav
みんなで体当たり(攻撃), @戦闘アニメ_転移 FastGun.wav
みんなで体当たり(命中), 乱打 FastGun.wav
吐瀉物(攻撃), 光弾 緑 Bow.wav
吐瀉物(命中), 飛沫 緑 Splash.wav
峰打ち(攻撃), 斬撃
峰打ち(命中), 強打
斬殺(攻撃), 日本刀突撃
斬殺(命中), 斬撃乱舞
ゴキブリ(攻撃), 蜂 Noise.wav;蜂 Noise.wav;蜂 Noise.wav
ゴキブリ(命中), 煙 橙 Scream(Man).wav
虫の群れ(攻撃), 蜂 Noise.wav
虫の群れ(命中), 点打;点打;点打
地震(攻撃), 格闘 BeamSaber.wav
地震(命中), センタリング 相手ユニットＩＤ Earthquake.wav;ダメージ 橙 Crash.wav
押し倒し(攻撃), 格闘
押し倒し(命中), 強打 Shock(Low).wav
サンダーボルト(攻撃), 大電撃
サンダーボルト(命中), 大電撃
六本の手(攻撃), 多触手 橙
六本の手(命中), 多触手 橙;電撃
サンダーボルトLv5(攻撃), 大電撃
サンダーボルトLv5(命中), 大放電
アイビーム, ２連小ビーム 黄
魚型爆弾(攻撃), ミサイル 4
魚型爆弾(命中), 連続爆発
スクリュー尻尾(攻撃), 格闘 Drill.wav
スクリュー尻尾(命中), 点打 Drill.wav
圧殺ダッシュ(攻撃), スーパータックル 白
圧殺ダッシュ(命中), スーパータックル 白 Shock(Low).wav
ニューロン破壊超音波(攻撃), 音波 Charge(high).wav
ニューロン破壊超音波(命中), ダメージ Crash.wav
ビーム乱射(攻撃), ＭＡＰビーム 黄 Roar.wav
ビーム乱射(命中), 拡散ビーム 黄 Explode.wav
とりこむ(攻撃), 格闘 Roar.wav
とりこむ(命中), フォール Slash.wav;噛み付き Roar.wav
圧し掛かる(攻撃), 急降下 MultipleRocketLauncher.wav
圧し掛かる(命中), 踏み潰し
########## 開発スタッフ ##########
投げる(攻撃), ビン
投げる(命中), 強打
無茶な発注(準備), Calltone.wav;12
無茶な発注(攻撃), @戦闘アニメ_粒子集中準備 黒;ＭＡＰ煙 GunPod.wav;Scream(Man).wav;4
無茶な発注(命中), 連打
メタモルフォーゼ(準備), 粒子集中 白
メタモルフォーゼ(攻撃), @戦闘アニメ_魔法陣準備 白 BeamSaber.wav;魔法陣 白 BeamSaber.wav
メタモルフォーゼ(命中), @戦闘アニメ_フラッシュ準備 Glass.wav
キ○ロちゃん(攻撃), アフリカ投げナイフ
キ○ロちゃん(命中), 強打
エネルギーフィールド(準備), 粒子集中 黄 Hittyuu.wav
エネルギーフィールド(攻撃), 落雷 Explode.wav
エネルギーフィールド(命中), 落雷
エネルギーフィールド×５(準備), 粒子集中 黄 Hittyuu.wav
エネルギーフィールド×５(攻撃), ＭＡＰ落雷 Explode(Nuclear).wav
エネルギーフィールド×５(命中), 落雷
不思議な踊り(攻撃), スピンキック
不思議な踊り(命中), 音符
ハムスター召喚(攻撃), ２ＷＡＹ射出;２ＷＡＹ射出;鼠
ハムスター召喚(命中), 点打;点打;点打;点打
ランダムプレイ(準備), オーラ上昇 赤
ランダムプレイ(攻撃), ＭＡＰ音符 Sharara.wav
ランダムプレイ(命中), -.wav
ランダムプレイ(クリティカル), 音符 Inori.wav
ジョーク(攻撃), 音波 Laugh.wav
ジョーク(命中), -.wav
リズムアタック(攻撃), @戦闘アニメ_転移 Sharara.wav
リズムアタック(命中), 連打;アッパー
攻撃呪文(攻撃), 魔法放射 黒
攻撃呪文(命中), ダメージ Crash.wav
ハムスター(攻撃), 振る武器突撃 -.bmp
ハムスター(命中), 噛み付き Roar.wav
Ｔ字(攻撃), 振る武器突撃 -.bmp
Ｔ字(命中), 立ち固め;Scream(Woman).wav
Ｔ字(命中), 足固め;Scream(Woman).wav
Ｔ字(命中), 背負い固め;Scream(Woman).wav
Ｔ字(命中), 立ち足固め;Scream(Woman).wav
Ｔ字(命中), フォール;Scream(Woman).wav
Ｔ字(命中), 肩乗り;Scream(Woman).wav
鼻くそロシアン(準備), Reload.wav;4
鼻くそロシアン(攻撃), 光弾 黒
鼻くそロシアン(命中), 光弾 黒 Explode.wav
言葉の暴力(攻撃), 音波 Laugh(OldMan).wav
言葉の暴力(命中), 風 Noise.wav
プログラマーの特権(発動), @戦闘アニメ_オーラ上昇 白 Charge(Long).wav;10;フラッシュ Explode(Nuclear).wav
花束(準備), バラ Sharara.wav
花束(攻撃), 振る武器突撃 -.bmp
花束(命中), 妖精
ドッペラーズ召喚(準備), 魔方陣 黒
ドッペラーズ召喚(攻撃), ユニット変色 黒;斬撃;竜巻
ドッペラーズ召喚(命中), 竜巻 Slash.wav
クラウチングスタート(準備), オーラ上昇 赤
クラウチングスタート(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav
