
PARADISELOST
####################  解説  ###################
無価値の炎(解説), $(パイロット)はメギドの炎を放った。
腐剣(解説), $(パイロット)は腐滅の斬撃で攻撃をかけた。
阻止(デスサイズ)(解説), $(パイロット)はデスサイズで銃弾を切り払った。
阻止(無価値の炎)(解説), $(パイロット)はメギドの炎で$(相手武器)を打ち消した。
ゴルゴダの磔刑(解説), 矢のように先鋭化した殺意の念が放たれた。
追加攻撃(跳弾)(解説), 銃弾が幾何学的な輝線を描きながら跳ね回る。
跳弾(解説), 跳ね散る魔弾が$(相手パイロット)に向けて牙を剥いた。
暴食の雨(解説), 天から鋼鉄をも溶解せしめる雨が降り注いだ。
偽神の牙(解説), $(パイロット)は偽神の牙で攻撃をかけた。
自動反撃(ベルゼバブ)(解説),  $(パイロット)の致死性の毒血が飛び散った。
光弾(解説), $(パイロット)は光弾を放った。
サハリエル(解説), $(パイロット)はサハリエルの“式”を展開した。
バラキエル(解説), $(パイロット)はバラキエルの“式”を展開した。
アルマロス(解説), $(パイロット)はアルマロスの“式”を展開した。
アザゼル(解説), $(パイロット)はアザゼルの”式“を展開した。
ラファエル(解説), $(パイロット)はラファエルの“式”を展開した。
ミカエル(解説), $(パイロット)はミカエルの“式”を展開した。
ウリエル(解説), $(パイロット)はウリエルの“式”を展開した。
ガブリエル(解説), $(パイロット)はガブリエルの“式”を展開した。
這う虫の王(解説), $(パイロット)は這う虫の王を召喚した。
罪悪の王(解説), $(パイロット)は罪悪の王を召喚した。
曙の明星(解説), $(パイロット)は曙の明星を召喚した。
シャンブロウ(解説), シャンブロウのブルネットが$(相手パイロット)に絡みついた
####################  魔刃  ###################
銀の蛇, Swing.wav
銀の蛇(命中), Punch.wav
腐剣(準備), Fire.wav
ゴルゴダの磔刑, EvilEye.wav
ゴルゴダの磔刑(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
##############  ノウ＝クライスト  #############
高周波ブレード(準備), Drill.wav
######################## 魔群 ########################
鉄喰らい, 1;Gun.wav;1;Gun.wav;1;Gun.wav;1;Gun.wav
跳弾, 5;Gun.wav;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav;1;Slash(4).wav
跳弾(命中), stab.wav
ブレイクショット, Gun.wav
ブレイクショット(命中), 1;stab.wav;1;stab.wav;1;stab.wav;1;stab.wav;1;stab.wav
暴食の雨, Beamvalcan.wav
暴食の雨(命中), Bearing.wav
偽神の牙(準備), Charge(high).wav
偽神の牙, Beam.wav
魔弾, Gun.wav
触手(命中), Whip.wav
締め付け(命中), Hold.wav
締め付け(クリティカル), Hold.wav
######################## 魔鏡 ########################
サハリエル, Whiz.wav
サハリエル(クリティカル), Flair.wav
光弾, Whiz.wav
光弾(命中), Explode(Small).wav
バラキエル, Swing.wav
バラキエル(命中), Slash.wav
アルマロス, Whiz.wav
アルマロス(とどめ), Explode.wav
アザゼル(命中), Inori.wav
ラファエル, Charge(high).wav
ミカエル, Whiz.wav
ミカエル(命中), Explode.wav
ミカエル, Whiz.wav
ミカエル(命中), Explode.wav
ウリエル, Whiz.wav
ウリエル(命中), Earthquake.wav
######################## 万魔殿 ########################
這う虫の王(準備), Charge(high).wav
這う虫の王, Beam.wav
罪悪の王, Swing.wav
罪悪の王(命中), Slash.wav
曙の明星, Whiz.wav
曙の明星(命中), Hold.wav
######################## 天使 ########################
ガブリエル, LaserGun.wav
ネツィヴ・メラー(準備), Charge(long).wav
ネツィヴ・メラー, Whiz.wav
ネツィヴ・メラー(命中), Explode(Nuclear).wav
####################  無限蛇  ###################
生体ハック, EvilEye.wav
人形兵団, 2;Swing.wav;2;Swing.wav;Swing.wav
人形兵団(命中), 2;Crash.wav;2;Crash.wav;Crash.wav
邪眼, EvilEye.wav


