#RAGNAROK-the-Animation・effectデータ#

汎用
バッシュ, Swing.wav
バッシュ(命中), Crash.wav
ブランディッシュスピア(準備), Reload(2).wav
ブランディッシュスピア,GunPod.wav
ブランディッシュスピア(命中), Stab.wav
ヘヴンズドライブ(準備), Whiz.wav
ヘヴンズドライブ(攻撃), GunPod.wav
ヘヴンズドライブ(命中), Crash.wav
アーススパイク(準備), Whiz.wav
アーススパイク, Shock(Low).wav
アーススパイク(命中), Stab.wav
爪, Swing.wav
爪(命中), Slash.wav
火炎放射, Breath.wav
火炎放射(命中), Fire.wav
衝撃波, Storm.wav
衝撃波(命中), Shock(Low).wav
メテオストーム(準備), Charge.wav
メテオストーム, 2;Bomb.wav;8;Explode(Nuclear).wav
メテオストーム(命中), Explode.wav
クァグマイア, Bubble.wav
クァグマイア(命中), -
ユピテルサンダー, BeamSaber.wav
ユピテルサンダー(命中), Boot.wav
カタール, Swing.wav;5;Swing.wav
カタール(命中), Slash.wav;5;Slash.wav
ソニックブロー(準備), Reload(2).wav
ソニックブロー, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ソニックブロー(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
ソニックブロー(とどめ), Sword.wav
緊急テレポート(バックステップ), Swing.wav
緊急テレポート(バックステップ)(解説), $(パイロット)は、滑る様に移動した
チャージアロー(準備), Charge.wav
チャージアロー, Beam.wav
チャージアロー, Stab.wav
コンポジットボウ, Bow.wav
コンポジットボウ(命中), Stab.wav
攻撃無効化(オートガード), Sword.wav
呪いの口付け, -
呪いの口付け(解説), $(パイロット)は、$(NickName(相手パイロット))に口付けをした
呪いの口付け(命中), -
強制ワープポータル, Hittyuu.wav
強制ワープポータル(解説), 足下に強制的にワープポータルが開かれた！
強制ワープポータル(命中), -
強制ワープポータル(命中), Fold.wav
緊急テレポート(テレポート), BeamSaber.wav
緊急テレポート(テレポート)(解説), $(パイロット)の姿が、掻き消えた！
闇の刃(準備), BeamSaber.wav
闇の刃(攻撃), Swing.wav
闇の刃(命中), Stab.wav
攻撃無効化(七水晶の結界), BeamCoat.wav
石投げ, Swing.wav
石投げ(命中), BreakOff.wav
体当たり, Swing.wav
体当たり(命中), BreakOff.wav

冒険者
バスタードソード, Swing.wav
バスタードソード(命中), Slash.wav
フランベルジュ, Swing.wav
フランベルジュ(命中), Slash.wav
ファイヤーカタナ, Swing.wav
ファイヤーカタナ(命中), Slash.wav
ティルフィング, Swing.wav
ティルフィング(命中), Slash.wav
ファイヤーバッシュ, Swing.wav
ファイヤーバッシュ(命中), Fire.wav
マグナムブレイク(準備), Charge.wav
マグナムブレイク, Explode(Long).wav
マグナムブレイク(命中), Explode.wav
シールドチャージ, Jet.wav
シールドチャージ(命中), Crash.wav
シールドブーメラン(準備), Reload.wav
シールドブーメラン, Jet.wav
シールドブーメラン(命中), Slash.wav
ホーリークロス, Swing.wav;5;Swing.wav;2;Beam.wav
ホーリークロス(命中), Slash.wav
グランドクロス(準備), Charge(High).wav
グランドクロス, Beam.wav
グランドクロス(命中), GunPod.wav
グランドクロス(とどめ), Shock(Low).wav
エクスキャリバー(準備), Charge(High).wav
エクスキャリバー(攻撃), Whiz.wav
エクスキャリバー(命中), 2;Stab.wav;5;Shock(Low).wav
反射(リフレクトシールド), 「リフレクトっ！」;5;Sword.wav;3;Sword.wav;3;Sword.wav;3;「リフレクトシールドっ！」;5; BeamCoat.wav;「リフレクトシールドっ！」
フレイル, Swing.wav
フレイル(命中), Punch.wav
セスタス, Swing.wav
セスタス(命中), Slash.wav
ホーリーライト, BeamShot.wav
ホーリーライト(命中), Glass.wav
ヒール(攻撃), Hittyuu.wav
ヒール(攻撃)(命中), Punch.wav
サンクチュアリー(攻撃), Sharara.wav
サンクチュアリー(攻撃)(命中), Explode(Small).wav
ターンアンデッド, Hittyuu.wav
ターンアンデッド(命中), Glass.wav
マグヌスエクソシズム(準備), Hittyuu.wav
マグヌスエクソシズム(攻撃), Warship.wav
マグヌスエクソシズム(命中), Explode(Far).wav
ヒール, Hittyuu.wav
速度増加, Whiz.wav
ブレッシング, Sharara.wav
エンジェラス, Flair.wav
サンクチュアリー, Sharara.wav
レックスエテルナ, Chaff.wav
キリエエレイソン, Hittyuu.wav
攻撃無効化(エンジェラス), BeamCoat.wav
攻撃無効化(キリエエレイソン), BeamCoat.wav
アークワンド, Swing.wav
アークワンド(命中), BreakOff.wav
マイトスタップ, Swing.wav
マイトスタップ(命中), BreakOff.wav
コールドボルト(準備), Whiz.wav
コールドボルト(準備), -
コールドボルト, Storm.wavv
コールドボルト, Stab.wav
フロストダイバー(準備), Whiz.wav
フロストダイバー(準備), -
フロストダイバー, GunPod.wav
フロストダイバー(命中), BeamCoat.wav
フロストダイバー(クリティカル), EvilEye.wav
ライトニングボルト(準備), Whiz.wav
ライトニングボルト(準備), -
ライトニングボルト, Thunderbolt.wav
ライトニングボルト, Thunder.wav
サンダーストーム(準備), Whiz.wav
サンダーストーム(準備), -
サンダーストーム, Thunder.wav
サンダーストーム(命中), Explode.wav
マジックロッド, ブルー Whiz.wav
マジックロッド(命中), -
マジックロッド(クリティカル), Interference.wav
阻止(スペルブレイカー), 2;Whiz.wav;3;BeamCoat.wav
ボルケーノ, レッド Breath.wav
デリュージ, ブルー Shore.wav
バイオレントゲイル, グリーン Storm.wav
ポイポイピッチャー(攻撃), Whiz.wav
ポイポイピッチャー(命中), BreakOff.wav
カートレボリューション(攻撃), Explode(Small).wav
カートレボリューション(命中), Explode(Small).wav
バスター, Swing.wav
バスター(命中), Slash.wav
メマーナイト, FlyBy.wav
メマーナイト(命中), Crash.wav
爆薬, Bomb.wav
爆薬(命中), Explode.wav
大放出メマーナイト, MultipleRocketLauncher(Light).wav
大放出メマーナイト(命中), Crash.wav
緑ポーションＰＰ, Swing.wav;5;Chaf.wav
万能薬ＰＰ, Swing.wav;5;Chaf.wav
青ポーションＰＰ, Swing.wav;5;Chaf.wav
赤ポーション, Swing.wav;5;Chaf.wav
緑ポーション, Swing.wav;5;Chaf.wav
白ポーション, Swing.wav;5;Chaf.wav
万能薬, Swing.wav;5;Chaf.wav
青ポーション, Swing.wav;5;Chaf.wav
