
スーパーウルトラセクシィヒーロー
ジョニー・ザ・ヒーロー, Gun.wav
刃裏剣斬, Storm.wav
怒雷武斬, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
火雷斬, AntiShipMissile.wav
真刃斬, Storm.wav
乱手撃, GunPod.wav
刀銃五連撃, 5;Swing.wav;5;Gun.wav;5;Swing.wav;5;Gun.wav;5;Swing.wav
ハッスル・タイム, Fire.wav
トドメ・ファイナル, 2;Combo.wav;1;Slash.wav;1;Gun.wav;1;Combo.wav;1;Slash.wav;1;Combo.wav;1;Slash.wav;1;Stab.wav;3;Combo.wav

くノ一
刃裏剣蹴り, 5;Wind.wav;5;Punch.wav
刃裏剣蹴り(命中), Punch.wav
怒雷武蹴り, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
怒雷武蹴り(命中), Punch.wav
舞姫六衝, 5;Swing.wav;5;Bow.wav;5;Swing.wav;5;Bow.wav;5;Swing.wav;3;Swing.wav
ハッスル・タイム, Fire.wav
トドメ・ファイナル, 3;Combo.wav;1;Slash.wav;1;Stab.wav;1;Combo.wav;1;Combo.wav;1;Slash.wav;1;Stab.wav;3;Combo.wav

暗黒霊魔兵
レッドクロー, Stab.wav
ミドニンジャ刀＋１, Swing.wav
邪火龍通信カラテ, Combo.wav
モモダガー, Bow.wav
降下爆撃, Helicopter.wav
大砲,Bazooka.wav
双剣, 5;Swing.wav;5;Swing.wav
ローリングアタック, 3;Stab.wav;3;Stab.wav;3;Stab.wav
タライ落とし, 3;PowerDown.wav;3;Tub.wav
多目的使用爆弾・邪火萬, Swing.wav
熱血根性ゴワスアタック, 5;Drill.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
五尺飛針, 3;Bow.wav;3;Bow.wav;3;Bow.wav
ダルマ落とし, Shock(Low).wav
チャンコファイヤー, Fire.wav
八裂張り手, Punch(4).wav
ファイヤー扇子, 3;BeamShot.wav;3;Fire.wav
水芸レーザー, Beam.wav
鐘落とし, 3;Flyby.wav;3;Shock(Low).wav
引き寄せ, Storm.wav
吹き飛ばし, Storm.wav
瘴気弾, Whiz.wav
雷撃, Thunder.wav
蝦蟇光線, Beam.wav
巨大刀, Swing.wav
千両地雷, 5;Kabuki.wav;3;Bomb.wav
髪洗い・天,	5;Kabuki.wav;3;Swing.wav
大見得スマッシュ, 5;Kabuki.wav;3;GunPod.wav
髪洗い・地, 5;Kabuki.wav;3;Stab.wav
ロケットハンド, Bazooka.wav
村正突き, Storm.wav
正宗突き, Storm.wav
邪剣二刀流, 5;Swing.wav;5;Swing.wav
十秒殺, Flair.wav
十秒殺(命中), Shock(Low).wav
襲閃, Whiz.wav
邪火刀・狂花散撃, 3;Swing.wav;3;Swing.wav;3;Swing.wav
無双撃, 5;Sword.wav;5;Storm.wav
邪火刀・狂花死撃, 3;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
真神速斬, 5;Whiz.wav;Swing.wav
激鷹衝, 5;Whiz.wav;5;Flyby.wav

暗黒虐殺機巧
ニョキニョキアタック, 3;Fold.wav;3;Fold.wav
こけしミサイル,	Missile.wav
コムゾウ徒琉根怒, 5;Drill.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
回転アタック, 2;Swing.wav;2;Swing.wav
大自爆,	5;Charge.wav;5;Explode(Nuclear).wav
ハンマーパンチ,	3;Cannon.wav;3;Shock(Low).wav
殴殺椀,	Crash.wav
閃光粒子収束光線, Beam.wav
火の玉乱射, FastGun.wav
スクリューピストンパンチ, Drill.wav
パンチングゲイザー, 2;Crash.wav;5;Explode.wav
ダダッコパンチ,	3;Swing.wav;3;Swing.wav;3;Swing.wav

暗黒禁霊魔獣
拡散光線, Beam.wav
三連撃, Punch(3).wav
暗黒頭突き, Punch.wav
邪力玉,	3;FallDown.wav;3;Whiz.wav
拡散・極太光線,	Beam.wav
暗黒独楽, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav

