Ｔ３
格闘(攻撃), 振る武器突撃 -.bmp
格闘(命中), @戦闘アニメ_格闘攻撃;格闘
格闘(命中), @戦闘アニメ_打突攻撃;打撃
格闘(命中), @戦闘アニメ_アッパー攻撃;アッパー
無双烈破(準備), オーラ上昇 赤 Charge.wav
無双烈破(攻撃), 4;EvilEye.wav;振る武器突撃 -.bmp
無双烈破(命中), @戦闘アニメ_振り上げ攻撃;振り上げ Slash.wav;@戦闘アニメ_斬撃攻撃;斬撃 Slash.wav;@戦闘アニメ_なぎ払い攻撃;なぎ払い Slash.wav;@戦闘アニメ_振り下ろし攻撃;唐竹割り Slash.wav
一閃(準備), オーラ上昇 赤 Charge.wav
一閃(攻撃), 4;EvilEye.wav;振る武器突撃 -.bmp;なぎ払い
一閃(命中), 超斬撃
速射(準備), Whiz.wav
速射(攻撃), 矢;矢
速射(命中), 連突 Stab.wav
高速乱射(準備), オーラ上昇 赤 Charge.wav;弓矢
高速乱射(攻撃), 4;EvilEye.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;矢連射 Whiz.wav
高速乱射(命中), 乱突 Stab.wav
どっかーん(準備), オーラ上昇 赤 Charge.wav
どっかーん(攻撃), 4;EvilEye.wav;振る武器突撃 -.bmp;振り下ろし
どっかーん(命中), 超打 Crash.wav
神殺しの一撃(準備), センタリング;オーラ上昇 黒 Charge.wav
神殺しの一撃(攻撃), EvilEye.wav;@戦闘アニメ_フェイスアップ準備;スーパータックル 黒
神殺しの一撃(命中), 透明化 対象ユニットＩＤ;センタリング;スーパータックル 黒 -.wav;超斬撃 Explode(Nuclear).wav
ピグマリオン(準備), 粒子集中 黒
ピグマリオン(攻撃), 魔法放射 黒
ピグマリオン(命中), 発光 黒
転移(準備), 粒子集中 黒
転移(攻撃), 魔法放射 黒
転移(命中), @戦闘アニメ_魔法陣準備 黒;魔法陣 黒;センタリング Bow.wav
転移(クリティカル), 引き寄せ
呪い(準備), 粒子集中 黒
呪い(攻撃), 魔法放射 黒
呪い(命中), 重力圧縮
呪い(クリティカル), 減衰
体力吸収(準備), 粒子集中 黒
体力吸収(攻撃), 魔法放射 黒
体力吸収(命中), 吸収 黒 BreakOff.wav
魔力吸収(準備), 粒子集中 黒
魔力吸収(攻撃), 魔法放射 黒
魔力吸収(命中), 吸収 黒 BreakOff.wav
魔法解除(準備), 粒子集中 白
魔法解除(攻撃), 魔法放射 白
魔法解除(命中), 飛沫 白 Inori.wav
速度低下(準備), 粒子集中 白
速度低下(攻撃), 魔法放射 白
速度低下(命中), 時間逆行
星屑(準備), 粒子集中 白
星屑(攻撃), 魔法放射 白
星屑(命中), @戦闘アニメ_流星攻撃;大爆発
流星(準備), 粒子集中 白
流星(攻撃), 魔法放射 白
流星(命中), @戦闘アニメ_隕石攻撃;大爆発 Explode(Nuclear).wav
物理シールド(発動), 魔法集中 白 Sword.wav
魔法シールド(発動), 魔法集中 白 BeamSavor.wav
鉤爪(攻撃), 振る武器突撃 -.bmp;斬撃
鉤爪(命中), 爪撃
蹴り(攻撃), 振る武器突撃 -.bmp
蹴り(命中), 強打 Crash.wav
灼熱の炎(準備), 粒子集中 赤
灼熱の炎(攻撃), 火炎放射 Breath.wav
灼熱の炎(命中), 火炎放射 Breath.wav
初源の炎(準備), オーラ上昇 赤 Charge(High).wav
初源の炎(攻撃), 超ビーム 赤 Breath.wav
初源の炎(命中), 超ビーム 赤 Breath.wav;連続爆発;超爆発
爆発(準備), 粒子集中 赤
爆発(攻撃), 魔法放射 赤
爆発(命中), 大爆発
炎上(準備), 粒子集中 赤
炎上(攻撃), 魔法放射 赤
炎上(命中), 火柱 Breath.wav
業火(準備), 粒子集中 赤
業火(攻撃), 魔法放射 赤
業火(命中), 粒子集中 赤 Charge.wav;大放電 赤 Breath.wav
カマイタチ(準備), 粒子集中 緑
カマイタチ(攻撃), 魔法放射 緑
カマイタチ(命中), 強風
落雷(準備), 粒子集中 黄
落雷(攻撃), 魔法放射 黄
落雷(命中), 落雷
竜巻(準備), 粒子集中 緑
竜巻(攻撃), 魔法放射 緑
竜巻(命中), 粒子集中 緑 Charge.wav;竜巻 Storm.wav
臨界(準備), 粒子集中 黒
臨界(攻撃), @戦闘アニメ_飛沫命中 黒 Glass.wav
臨界(命中), 粒子集中 黒 Charge.wav;超爆発
アクアリウム(準備), 粒子集中 青
アクアリウム(攻撃), 魔法放射 青
アクアリウム(命中), 泡球 Bubble.wav
氷結(準備), 粒子集中 青
氷結(攻撃), 魔法放射 青
氷結(命中), 凍結 Transform.wav
吹雪(準備), 粒子集中 青
吹雪(攻撃), 魔法放射 青
吹雪(命中), 吹雪
氷柱(準備), 粒子集中 青
氷柱(攻撃), 魔法放射 青
氷柱(命中), 粒子集中 青 Charge.wav;氷柱 Transform.wav
ポイズン(準備), 粒子集中 緑
ポイズン(攻撃), 魔法放射 緑
ポイズン(命中), 煙 緑 Bubble.wav
鉄球落とし(準備), 粒子集中 橙
鉄球落とし(攻撃), 魔法放射 橙
鉄球落とし(命中), 落盤 黒
粘菌(準備), 粒子集中 橙
粘菌(攻撃), 魔法放射 橙
粘菌(命中), 泡 SeaShore.wav
奈落(準備), 粒子集中 橙
奈落(攻撃), 魔法放射 橙
奈落(命中), 粒子集中 橙 Charge.wav;重力圧縮
エレクトラム(準備), 粒子集中 黄
エレクトラム(攻撃), 魔法放射 黄
エレクトラム(命中), ショックビーム 黄
エレクトリウム(準備), 粒子集中 黄
エレクトリウム(攻撃), 魔法放射 黄
エレクトリウム(命中), ２連ショックビーム 黄
グラヴィタス(準備), 粒子集中 黄
グラヴィタス(攻撃), 魔法放射 黄
グラヴィタス(命中), 粒子集中 黄 Charge.wav;メガショックビーム 黄 Explode(Far).wav
速度上昇(発動), 魔法集中 白 Storm.wav
堕天使のレクイエム(準備), 竪琴
堕天使のレクイエム(攻撃), ＭＡＰ音符
堕天使のレクイエム(命中), ダメージ Inori.wav
春のソナタ(準備), 竪琴
春のソナタ(使用), 音符;音符;音符
戦士のバラッド(準備), 竪琴
戦士のバラッド(使用), 音符;音符;音符
妖精達のトッカータ(準備), 竪琴
妖精達のトッカータ(使用), 音符;音符;音符
英雄達のシンフォニー(準備), 竪琴
英雄達のシンフォニー(使用), 音符;音符;音符
アロウンインザダーク(準備), 竪琴
アロウンインザダーク(使用), 音符;音符;音符
短剣投擲(準備), Reload(4).wav
短剣投擲(攻撃), 投げナイフ
短剣投擲(命中), 刺突
浄化の閃光(準備), 粒子集中 黄
浄化の閃光(攻撃), 超ビーム 黄
浄化の閃光(命中), 超ビーム 黄
突進(攻撃), 振る武器突撃 -.bmp
突進(命中), 強打
豪腕(攻撃), 振る武器突撃 -.bmp;斬撃
豪腕(命中), 超打
浄化の咆哮(準備), 粒子集中 黄
浄化の咆哮(攻撃), 巨大ビーム 黄 Roar.wav
浄化の咆哮(命中), 巨大ビーム 黄 Breath.wav
琥珀金の短剣, ダガー
エドラム(準備), 呪剣
エドラム(攻撃), 呪剣突撃;斬撃
エドラム(命中), 黒斬撃 Slash.wav
ダーンウィン(準備), 神剣
ダーンウィン(攻撃), 神剣突撃;斬撃
ダーンウィン(命中), 雷斬撃 Sword.wav
鋳鉄の剣, 剣
妖精の剣, 青銅剣
銀の剣, 銀剣
黄金の剣, 金剣
琥珀金の剣, 竜剣
水晶の剣, 鋼剣
ダマスカスの剣(準備), 鋼剣
ダマスカスの剣(攻撃), 鋼剣突撃;斬撃
ダマスカスの剣(命中), 凍斬撃 Sword.wav
グラディウス, 剣
クラゼヴォ・モル, 剣
鋳鉄の槍, スピア
妖精の槍, トライデント
銀の槍, スピア
黄金の槍, スピア
琥珀金の槍, スピア
宿り木の杖, 杖
妖精の杖, 杖
巨人の杖, 杖
竜牙の杖, 杖
預言者の杖, 杖
ミルディンの杖, 杖
狩人の弓, 弓矢
妖精の弓, 弓矢
白銀の弓, 弓矢
黄金の弓, 弓矢
宿り木の弓, 弓矢
妖精のハンマー, ハンマー
巨人のハンマー, ハンマー
ゴールドハンマー, ハンマー
カンディド(準備), 魔法集中 白 大 Charge(Long).wav
カンディド(攻撃), @戦闘アニメ_魔法陣準備 白 Charge(High).wav;10;@戦闘アニメ_発光準備 白 Glass.wav;ＭＡＰブラックホール 白 Explode(Nuclear).wav
カンディド(命中), 光噴出 白 Inori.wav

