
城戸灰都
断裂の免罪符(準備), 振る武器転送 武器画像=妖刀(２) BeamSaber.wav
断裂の免罪符(攻撃), 斬撃 赤
断裂の免罪符(命中), ビームサーベル 赤 Slash.wav
円環ノ凶渦(攻撃), 斬撃 赤;回転発射 武器画像=気弾(黒) -.wav
円環ノ凶渦(命中), 発光 赤 Explode.wav
地ヲ穿ツ影(攻撃), 刺突
地ヲ穿ツ影(命中), 大刺突 黒 Slash(4).wav
紅纏イシ闇ノ翼(攻撃), 振り上げ 赤
紅纏イシ闇ノ翼(命中), 振り上げ Slash.wav
虚空ヲ分ツ断層(攻撃), なぎ払い
虚空ヲ分ツ断層(命中), 円弧斬撃 赤 Slash(4).wav
虚空ヲ分ツ断層(クリティカル), 「一層！」;@戦闘アニメ_円弧斬撃命中 赤 Slash(4).wav;「一層！ 二層！」;@戦闘アニメ_円弧斬撃命中 赤 Slash(4).wav;「一層！ 二層！ 三層！」
虚空ヲ分ツ断層(クリティカル), 「ファースト！」;@戦闘アニメ_円弧斬撃命中 赤 Slash(4).wav;「ファースト！ セカンド！」;@戦闘アニメ_円弧斬撃命中 赤 Slash(4).wav;「ファースト！ セカンド！ サード！」
虚空ヲ分ツ断層(クリティカル), 「お前に見えるか！」;@戦闘アニメ_円弧斬撃命中 赤 Slash(4).wav;「お前に見えるか！ この幾重にも連なる断層が！！」;@戦闘アニメ_円弧斬撃命中 赤 Slash(4).wav
禍招セシ猩紅ノ楔(攻撃), 振る武器突撃 武器画像=妖刀(２)
禍招セシ猩紅ノ楔(命中), 大刺突 赤 Slash.wav;振り上げ大斬撃 赤 Slash(4).wav;強打 Crash.wav
終焉ヘ誘ウ螺旋ノ檻(攻撃), 光大噴出 赤 MicroMissile.wav 対象ユニットＩＤ
終焉ヘ誘ウ螺旋ノ檻(命中), オーラ上昇 赤 MultipleRocketLauncher(Light).wav
天地斬リ裂ク荒神ノ咆哮(攻撃), 光弾 赤 Shock(Low).wav
天地斬リ裂ク荒神ノ咆哮(命中), 発光 赤 Inori.wav;「レイジング…………！！」;@戦闘アニメ_粒子集中準備 赤 Charge(Long).wav;「レイジング…………！！.ロアァァァァ――――ッッ！！」;円弧斬撃 赤 Slash(4).wav;点乱打 赤 FightHit(1).wav

夜刀の姫リンネ
名無, ナイフ
無銘, 鉈
空牙(攻撃), 斬撃;実弾発射 武器画像=風刃(黄) 32 AntiShipMissile.wav
空牙(命中), 斬撃
月輪, 振り上げ
霧靭, 連続なぎ払い
飛燕(攻撃), 鉈突撃
飛燕(命中), 大斬撃
連月輪(攻撃), アッパー
連月輪(命中), 振り上げ;振り上げ;振り上げ
双空牙(攻撃), 斬撃;実弾発射 武器画像=風刃(黄) 32 AntiShipMissile.wav;実弾発射 武器画像=風刃(黄) 32 AntiShipMissile.wav
双空牙(命中), 連斬撃
乱霧靭, 斬撃乱舞
飛燕翔(攻撃), 鉈突撃
飛燕翔(命中), 超斬撃
神薙(攻撃), 白兵回転
神薙(命中), 回転ビームサーベル 黄;「神薙っ！！」;光大噴出 黄 Explode(Far).wav
神薙・焔一閃(攻撃), 光剣突撃 二刀流
神薙・焔一閃(命中), 「神をも薙ぐ真なる刀！」;回転ビームサーベル 黄 二刀流;「神薙！ 焔一閃ッ！」;超斬撃 黄 Sword.wav;発光 黄 Explode(Far).wav

ワレンシュタイン(ＵＮＩ)
ボディプレス, 飛びかかり
剛鉄爪「破軍」, 爪撃
アイゼンネーゲル(攻撃), 振り下ろし
アイゼンネーゲル(命中), 爪撃
ヴィルベルヴィント, 爪撃;爪撃;爪撃
フェアデルーベン(攻撃), 打突
フェアデルーベン(命中), 投げ飛ばし
シュトルムアングリフ(攻撃), タックル
シュトルムアングリフ(命中), 超打 Shock(Low).wav
ドレーエンドルヒボーレン, スクリュードライバー
Ｗ・エルシュラーゲン(攻撃), 打突
Ｗ・エルシュラーゲン(命中), 爆撃 Shock(Low).wav;「灰燼に帰すがよいわ！！」;@戦闘アニメ_急降下攻撃;急降下 赤 Crash.wav
Ｗ・エルシュラーゲン(命中), 爆撃 Shock(Low).wav;「ヴェルフェン・エルシュラーゲンッッ！！」;@戦闘アニメ_急降下攻撃;急降下 赤 Crash.wav
Ｗ・エルシュラーゲン(解説), $(ユニット)はヴェルフェン・エルシュラーゲンで攻撃をかけた。
カタストローフェ(攻撃), 打突
カタストローフェ(命中), 「怒りを受け、焦土と化せぃ！！ カタストロォォォォフェ！！」;ドライバー;光噴出 赤 FastGun.wav

カーマイン(ＵＮＩ)
シールド防御, 氷の翼防御 赤 BeamSaber.wav ブラッドシールド
レインブラッド(準備), 出血
レインブラッド(攻撃), 斬撃
レインブラッド(命中), 斬撃
ブラッドスパイク(準備), -
ブラッドスパイク(攻撃), 実弾発射 武器画像=大岩弾(赤) 48 Whiz.wav
ブラッドスパイク(命中), ダメージ 赤 Stab.wav
なぶってやんよ！(攻撃), なぎ払い
なぶってやんよ！(命中), 岩柱 Stab.wav 赤
ぶちまけろォ！(攻撃), 打突
ぶちまけろォ！(命中), 吸収 赤 BreakOff.wav
ブチ抜け！(攻撃), 光球 紫 BeamShot.wav
ブチ抜け！(命中), アッパー Stab.wav
そいつをよこしやがれ！(攻撃), 打突
そいつをよこしやがれ！(命中), 吸収 赤 BreakOff.wav
まわれェ！(攻撃), 振り上げ;回転発射 武器画像=光斬輪(赤) Drill.wav
まわれェ！(命中), 回転斬撃
突き上げろ！(攻撃), 斬撃
突き上げろ！(命中), 石柱 赤 Stab.wav
すり潰せ！, なぎ払い
串刺しだッ！(攻撃), 急降下
串刺しだッ！(命中), 岩柱 Stab.wav 赤
喰らい尽くせ！(攻撃), 斬撃;実弾発射 SlashBeam\EFFECT_2SlashBeam(Red)01.bmp Whiz.wav
喰らい尽くせ！(命中), ダメージ 赤 Stab.wav;「ヒャーッハッハァァ！！ 食らい尽くせぇ！！」;点乱打 赤 Slash.wav
クソが！これで仕舞だァ！(攻撃), 振り上げ
クソが！これで仕舞だァ！(命中), 唐竹割り 赤 Stab.wav;「赤き棺に抱かれ！ 赤き枝針に貫かれ！」;岩柱 Stab.wav 赤;「死んで還るんだろ！ 原初の赤にィ！！」;クリティカル斬撃 Stab.wav;「クソが！ これで仕舞いだァ！！」;飛沫 赤 Crash.wav

オリエ＝バラーディア
ルーラー, レイピア
シーリングホブロン(攻撃), @戦闘アニメ_召喚準備 Event\スペシャルパワー\syukufuku01.bmp 32 BeamCoat.wav 相手ユニットＩＤ
シーリングホブロン(命中), 発光 白 Flair.wav
ディバインスラスト(攻撃), レイピア突撃
ディバインスラスト(命中), 刺突
セイクリッドアロー(準備), -
セイクリッドアロー(攻撃), アッパー
セイクリッドアロー(命中), 刺突
コマンドオーダー(準備), 召喚 Event\スペシャルパワー\syukufuku01.bmp 32 BeamCoat.wav
コマンドオーダー(攻撃), 斬撃
コマンドオーダー(命中), 大斬撃
コマンドオーダー(命中), 横大斬撃
ルミナスエンブレイズ(攻撃), 実弾発射 エフェクト画像=光柱(白) Beam(4Shot).wav 発光 残像
ルミナスエンブレイズ(命中), 光柱 白 Beam.wav
セイクリッドスパイア(攻撃), レイピア突撃
セイクリッドスパイア(命中), 乱突;振り上げ;振り上げ大斬撃
レストインピース(攻撃), 発光 黄
レストインピース(命中), 決め文字 † 白 背面 Whiz.wav;「レスト・イン・ピース！」;@戦闘アニメ=実弾発射攻撃 武器画像=光巨大剣２(黄) Whiz.wav;発光 黄 Explode(Far).wav

ゴルドー(ＵＮＩ)
アシミレイション(攻撃), 打突
アシミレイション(命中), 打突 紫;吸収 紫
モータルスライド, なぎ払い
エイムオーペニング(攻撃), 振り下ろし
エイムオーペニング(命中), アッパー Slash.wav
グリムリーパー(攻撃), なぎ払い
グリムリーパー(命中), 斬撃;大斬撃
タービュランス, 斬撃乱舞
ソウルヴァニッシュ(攻撃), 粒子集中 紫 Charge.wav 対象ユニットＩＤ
ソウルヴァニッシュ(命中), 打撃 紫 FightHit(2).wav;強打;「ディバウアー！！」;@戦闘アニメ_振る武器転送準備 武器画像=光巨大鎌(紫) BeamCoat.wav;「ソウルヴァニッシュ！.その魂ごと飲み込んで消し飛ばしちまえぇぇぇっ！！」;@戦闘アニメ_斬撃攻撃;円弧斬撃 紫 Crash.wav

メルカヴァ(ＵＮＩ)
我、執拗に纏わり付く(攻撃), 実弾発射 TwinShockBeam\EFFECT_TwinShockBeam(Black)01.bmp 48 Bow.wav
我、執拗に纏わり付く(命中), ダメージ 黒 Whip.wav
我、捕獲して食らう(攻撃), 伸縮武器 武器画像=伸縮腕セット(黒) 32 Swing.wav
我、捕獲して食らう(命中), 打撃;噛み付き
我、引き裂く(準備), 翼(コウモリ)
我、引き裂く(攻撃), 斬撃
我、引き裂く(命中), 斬撃
我、穹窿を貫く(攻撃), アッパー Swing(2).wav
我、穹窿を貫く(命中), 連打
我、息吹く(攻撃), 火炎弾 紫 AntiAirMissile.wav
我、息吹く(命中), 爆発 紫
我、穿つ, 連打
我、跳梁する(攻撃), 急降下
我、跳梁する(命中), 肩乗り BreakOff.wav 1;地面衝撃 Shock(Low).wav;ジャンプバスター
我、憤る(攻撃), 斬撃乱舞
我、憤る(命中), 乱打
我、蹂躙せん(攻撃), 伸縮武器 武器画像=伸縮腕セット(黒) 32 Swing.wav
我、蹂躙せん(命中), 「<I>これは裁き……我、蹂躙せん！</I>」;液体噴射 Stab.wav;液体噴射 Stab.wav;液体噴射 Stab.wav;液体噴射 Stab.wav;液体噴射 Stab.wav

バティスタ(ＵＮＩ)
紅翼「七花」(準備), 翅 赤
紅翼「七花」, 回転斬撃
シデウスフラグメンツム(命中), 発光 赤 Glass.wav
ルーメンステラ(攻撃), 光球 水色 Beam.wav
ルーメンステラ(命中), 爆発 水色
アルマベルム(攻撃), ビームショットキャノン 青 Beamvalcan.wav
アルマベルム(命中), ダメージ 青 Explode.wav
ミコルセオ, 中ビーム 水色
トラスウォーラス(命中), スーパーキック 赤
ルベルアンゲルス(攻撃), サマーソルト 赤
ルベルアンゲルス(命中), 強打
ルーメンステラ・Ｅ(攻撃), 光球 赤 Beam.wav
ルーメンステラ・Ｅ(命中), 爆発 赤
ルーメンステラ・Ｅ(解説), $(ユニット)はルーメンステラ・エルランスで攻撃をかけた。
ルベルアンゲルス・Ｅ(攻撃), サマーソルト 赤
ルベルアンゲルス・Ｅ(命中), 強打;スーパーキック 赤;強打
ルベルアンゲルス・Ｅ(解説), $(ユニット)はルベルアンゲルス・エスティスで攻撃をかけた。
ルクスフォーティス, 中ビーム 赤
ラクテウスオルビス, 巨大ビーム 赤
ザッハィシオ(攻撃), 急降下
ザッハィシオ(命中), @戦闘アニメ_オーラ上昇準備 白 Beam(8Shot).wav;「コード、ザッハイシオ」;大光柱 白

セト(ＵＮＩ)
エリミネーター, 連斬撃
縫縛のセグメント(攻撃), 光弾 青 BeamGun.wav
縫縛のセグメント(命中), 大放電 Whip.wav 青
双鈎のヴェンジェンス(攻撃), 振る武器突撃 -.bmp
双鈎のヴェンジェンス(命中), 斬撃突撃
穿通のペネトレイト(攻撃), キック
穿通のペネトレイト(命中), 斬撃 Slash(2).wav
罪咎のコンビクト(攻撃), デフォルト Reload(2).wav
罪咎のコンビクト(命中), 立ち固め Slash.wav 1
連鎖のネファリウス(攻撃), 振る武器突撃 -.bmp
