
ＡＲＳ
シールド防御(解説),                サムは障害物に身を隠して攻撃を防いだ！
シールド防御(カバーアクション),    シールド防御 別名=カバーアクション
ＥＭＰエミッター,                  閃光手榴弾
ハンドグレネード,                  手榴弾
ＡＲモード,                        Charge.wav
近接戦闘(準備),                    -
近接戦闘(攻撃),                    乱打;白兵武器
近接戦闘(攻撃),                    サマーソルト
近接戦闘(攻撃),                    なぎ払い
近接戦闘(攻撃),                    アッパー
近接戦闘(攻撃),                    浴びせ蹴り
近接戦闘(命中),                    超打
アサルトライフル(準備),            2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_NewAssaultRifle01.bmp 40
アサルトライフル(攻撃),            サブマシンガン Weapon\EFFECT_NewAssaultRifle01.bmp 40
アサルトライフル(命中),            サブマシンガン
ショットガン(準備),                2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_ShotGun02.bmp 40
ショットガン(攻撃),                ショットガン Weapon\EFFECT_ShotGun02.bmp 40
ショットガン(命中),                ショットガン
ヘビーマシンガン(準備),            2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_BullpupRifle02.bmp 40
ヘビーマシンガン(攻撃),            ヘビーマシンガン Weapon\EFFECT_BullpupRifle02.bmp 40
ヘビーマシンガン(命中),            ヘビーマシンガン
スナイパーライフル(準備),          2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_SniperRifle02.bmp 40
スナイパーライフル(攻撃),          ボルトアクションライフル Weapon\EFFECT_SniperRifle02.bmp 40
スナイパーライフル(命中),          銃弾
ロケットランチャー(準備),          2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_Bazooka02.bmp 48
ロケットランチャー(攻撃),          ロケットランチャー Weapon\EFFECT_Bazooka02.bmp 48
ロケットランチャー(命中),          大爆発
電動回転ノコギリ(準備),            2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;チェーンソー
電動回転ノコギリ(攻撃),            チェーンソー
電動回転ノコギリ(命中),            チェーンソー
ディスクランチャー(準備),          2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;チェーンソー
ディスクランチャー(攻撃),          チェーンソー;ソーサー
ディスクランチャー(命中),          ロケットパンチ EFFECT_Saucer01.bmp 32 Slash.wav
ディスクランチャー(クリティカル),  ロケットパンチ EFFECT_Saucer01.bmp 32 Slash.wav
ロックオンガン(準備),              2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_CrossBow01.bmp 32
ロックオンガン(攻撃),              ビームショットガン 青 Weapon\EFFECT_CrossBow01.bmp 32
ロックオンガン(命中),              小ビーム 青 ランダム方向
ＬＦＥガン(準備),                  2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_SFLauncher01.bmp 40
ＬＦＥガン(攻撃),                  手持ち発射 Weapon\EFFECT_SFLauncher01.bmp 40 対象ユニットＩＤ Beam\EFFECT_LBeam(Pink)04.bmp 64 Boot.wav
ＬＦＥガン(命中),                  大放電 桃
ブーストマシンガン(準備),          2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_NewAssaultRifle02.bmp 40
ブーストマシンガン(攻撃),          ヘビーマシンガン Weapon\EFFECT_NewAssaultRifle02.bmp 40
ブーストマシンガン(命中),          ヘビーマシンガン
レーザーキャノン(準備),            2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_RailGun01.bmp 64
レーザーキャノン(攻撃),            ビームランチャー 赤 Weapon\EFFECT_RailGun01.bmp 64
レーザーキャノン(命中),            ビームランチャー 赤
アンチアーマーピストル(準備),      2;Reload(5).wav;2;Reload(5).wav;2;Reload(5).wav;3;射撃武器 Weapon\EFFECT_LaserMachineGun01.bmp 40
アンチアーマーピストル(準備),      ピストル Weapon\EFFECT_LaserMachineGun01.bmp 40
アンチアーマーピストル(準備),      爆発
高性能爆薬(準備),                  ダイナマイト;射撃武器 -.bmp Reload(5).wav
高性能爆薬(攻撃),                  @ＳＰアニメ_自爆 相手ユニットＩＤ
高性能爆薬(命中),                  超爆発
タバコを吸う,                      -


ロバート＝バーンズ
ナイフ,                            ナイフ
ガトリングガン,                    大型ガトリング
ビームキャノン,                    気弾 青

ロバート＝バーンズ(パワードスーツ)
シールド防御,                      ＳＦシールド３
格闘(準備),                        -
格闘(攻撃),                        打突
格闘(攻撃),                        キック
格闘(命中),                        強打
ミニガン(準備),                    ロケットパンチ 黒
