ネイティアル
トップスピン, 2;Swing.wav;2;Swing.wav;Swing.wav
トップスピン(命中), Slash(2).wav
ＺＯＣ攻撃, 2;Swing.wav;2;Swing.wav;Swing.wav
ＺＯＣ攻撃(命中), Slash(2).wav
ＺＯＣ攻撃(クリティカル), Shock(Low).wav
ＺＯＣ攻撃Lv2, 2;Swing.wav;2;Swing.wav;Swing.wav
ＺＯＣ攻撃Lv2(命中), Shock(Low).wav
ブリットビーンズ, MachineCannon.wav
ブリットビーンズ(命中), FastGun.wav
キュア, Inori.wav
祈願の達磨, Mokugyo.wav
アイアンキャノン, Bow.wav
アイアンキャノン(命中), Stab.wav
大仰角射撃(準備), Bow.wav
大仰角射撃, Bomb.wav
大仰角射撃(命中), Stab.wav
水中掃射(準備), Bomb.wav
水中掃射, Splash.wav
水中掃射(命中), Stab.wav
レージグランド, Fold.wav
迎撃グレネイド, Bazooka.wav
迎撃グレネイド(命中), AntiAirMissile.wav
トライアサルト(準備), Sword.wav
トライアサルト, 2;Swing.wav;2;Swing.wav;Swing.wav
トライアサルト(命中), Punch(3).wav
トライアサルトLv1(準備), Sword.wav
トライアサルトLv1, 2;Swing.wav;2;Swing.wav;Swing.wav
トライアサルトLv1(命中), Punch(3).wav
トライアサルトLv3(準備), GunPod.wav
トライアサルトLv3, 2;Swing.wav;2;Swing.wav;Swing.wav
トライアサルトLv3(命中), Punch(3).wav
シルバリー, BeamCoat.wav
シルバリー(クリティカル), Shock(Low).wav
シルバリーLv1, Charge(high).wav
シルバリーLv1(クリティカル), Shock(Low).wav
シルバリーLv3(準備), BeamCoat.wav
シルバリーLv3, Charge(high).wav
シルバリーLv3(クリティカル), Shock(Low).wav
フィアスニードル(準備), Reload.wav
フィアスニードル, MultipleRocketLauncher(Light).wav
フィアスニードル(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
ストライクホット(準備), Fire.wav
ストライクホット(命中), 2;Swing.wav;Combo.wav
その場攻撃(準備), Hittyuu.wav
その場攻撃, MultipleRocketLauncher(Light).wav
その場攻撃(命中), Combo.wav
テラーフェイス, BeamCoat.wav
エクスプロージョン(準備), Punch(3).wav
エクスプロージョン, Explode(Far).wav
エクスプロージョンLv1(準備), Punch(3).wav
エクスプロージョンLv1, Explode(Nuclear).wav
ラピッドファイア(準備), Reload.wav
ラピッドファイア, Bow.wav
ラピッドファイア(命中), Stab.wav
小仰角射撃(準備), Fire.wav
小仰角射撃, AntiAirMissile.wav
小仰角射撃(命中), Explode.wav
インセーンクロー, AntiAirMissile.wav
インセーンクロー(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
インセーンクローLv1, AntiAirMissile.wav
インセーンクローLv1(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
火焔渡り, MicroMissile.wav
ダイビングビーク, Fire.wav
ダイビングビーク(命中), 2;AntiAirMissile.wav;Stab.wav
ダイビングビークLv2, Fire.wav
ダイビングビークLv2(命中), 2;AntiAirMissile.wav;Stab.wav
スパイラルソード(準備), Fire.wav
スパイラルソード, MultipleRocketLauncher(Light).wav
スパイラルソード(命中), Slash.wav
インファーナル(準備), Charge(2).wav
インファーナル, Cannon.wav
インファーナル(命中), Explode(Nuclear).wav
インファーナルLv3(準備), Charge(2).wav
インファーナルLv3, Cannon.wav
インファーナルLv3(命中), Explode(Nuclear).wav
スコールドヒット, Sharara.wav
スコールドヒット(命中), 2;Swing.wav;Punch.wav
ヒール, Sharara.wav
潤いの真珠, Sharara.wav
ベリーアタック, Punch(3).wav
ベリーアタック(命中), FightHit(3).wav
フリーズ, EvilEye.wav
フリーズ(クリティカル), 2;Glass.wav;2;Glass.wav;Glass.wav
アイスショット, Bomb.wav
アイスショット(命中), FightHit(3).wav
トリスーラスタブ, MultipleRocketLauncher(Light).wav
トリスーラスタブ(命中), 2;Swing.wav;Stab.wav
アイスバーン, Cannon.wav
アイスバーン(命中), Crash.wav
ブルプレッシャー, 2;Swing(2).wav;Splash.wav
ブルプレッシャー(命中), Shock(Low).wav
メイルストローム(準備), AntiAirMissile.wav
メイルストローム, MicroMissile.wav
メイルストロームLv2(準備), 3;Charge.wav;AntiAirMissile.wav
メイルストロームLv2, MicroMissile.wav
ライトスクラッチ(準備), Sharara.wav
ライトスクラッチ, 2;Swing.wav;2;Swing.wav;Swing.wav
ライトスクラッチ(命中), Punch(3).wav
メディック, Sharara.wav
目覚めの羽, Interference.wav
ブリッツ(準備), LaserGun.wav
ブリッツ, Thunder.wav
クインズラッシュ, -.wav
クインズラッシュ(命中), 2;Swing.wav;Whip.wav
ジャッジメント, Flair.wav
ジャッジメント(命中), Glass.wav
リカバリー, Sharara.wav
聖護の守印, Interference.wav
ナイトランチャー, Bow.wav
ナイトランチャー(命中), Stab.wav
ナイトランチャーLv1(準備), EvilEye.wav
ナイトランチャーLv1, Beam.wav
ナイトランチャーLv1(命中), Stab.wav
中仰角射撃(準備), EvilEye.wav
中仰角射撃, Beam.wav
中仰角射撃(命中), Stab.wav
ジレードバッシュ, 2;Swing.wav;2;Swing.wav;Swing.wav
ジレードバッシュ(命中), FightHit(3).wav
デストラクション(準備), Charge(long).wav
デストラクション, MicroMissile.wav
デストラクションLv3(準備), Charge(long).wav
デストラクションLv3, Explode(Nuclear).wav


