ウィッチハンター
炎のクラフト, 炎投射
石のクラフト, 岩
大気のクラフト(準備), -
大気のクラフト(攻撃), デフォルト Whiz.wav
大気のクラフト(命中), 刺突
永遠の迷宮(準備), 魔法放射 黒
永遠の迷宮(攻撃), 魔法陣 白
永遠の迷宮(命中), 魔法集中 黒
オルボガン(準備), ピストル
オルボガン(攻撃), ピストル
オルボガン(命中), 飛沫 緑
高純度オルボガン(準備), ピストル
高純度オルボガン(攻撃), ピストル
高純度オルボガン(命中), 飛沫 緑
結界解除装置(準備), -
結界解除装置(攻撃), デフォルト
結界解除装置(命中), 音再生 Reload(2).wav
拳銃, ピストル
アサルトライフル, ライフル

ウィッチ
衝撃波(準備), -
衝撃波(攻撃), デフォルト Whiz.wav
衝撃波(命中), 投げ飛ばし
物体念動, 車輪
物体念動, ドラム缶
物体念動, 投擲武器 DGoods\EFFECT_PipeChair01.bmp
鉛筆念動(準備), -
鉛筆念動(攻撃), 鉛筆;鉛筆;鉛筆;鉛筆
鉛筆念動(命中), 連突
体内破壊(準備), -
体内破壊(攻撃), デフォルト Whiz.wav
体内破壊(命中), ダメージ
押し潰し(準備), -
押し潰し(攻撃), デフォルト Whiz.wav
押し潰し(命中), 粒子集中 緑 Saber.wav;2;飛沫 緑
羽虫の黒雲(準備), 蜂召喚
羽虫の黒雲(攻撃), 旋風 黒
羽虫の黒雲(命中), 旋風 黒
かまいたち(準備), -
かまいたち(攻撃), デフォルト Whiz.wav
かまいたち(命中), 強風
砂のクラフト(準備), -
砂のクラフト(攻撃), 魔法陣 白
砂のクラフト(命中), 投げ飛ばし
蒼炎のクラフト, 炎投射 青
電気のクラフト, 大電撃
カッターナイフ, カッター
