
プリキュア
希望のコンビネーション(解説), $(ユニット)はキュアドリームと同時に攻撃をかけた。
はじけるコンビネーション(解説), $(ユニット)はキュアレモネードと同時に攻撃をかけた。
情熱のコンビネーション(解説), $(ユニット)はキュアルージュと同時に攻撃をかけた。
安らぎのコンビネーション(解説), $(ユニット)はキュアミントと同時に攻撃をかけた。
知性のコンビネーション(解説), $(ユニット)はキュアアクアと同時に攻撃をかけた。
秘密のコンビネーション(解説), $(ユニット)はミルキィローズと同時に攻撃をかけた。
ドリームアタック(解説), $(ユニット)はプリキュア・ドリームアタックで攻撃をかけた。
クリスタルシュート(解説), $(ユニット)はプリキュア・クリスタルシュートで攻撃をかけた。
シューティングスター(解説), $(ユニット)はプリキュア・シューティングスターで攻撃をかけた。
シューティングスターＤ, $(ユニット)はプリキュア・シューティングスターで攻撃をかけた。
ＹＥＳフォーメーション(解説), プリキュア５は同時に攻撃をかけた。
５エクスプロージョン(解説), プリキュア５はプリキュア・ファイブエクスプロージョンで攻撃をかけた。
ツインローズシュート(解説), キュアドリームとミルキィローズは赤い薔薇と青い薔薇の力を１つに合わせた。
５シューティングスター(解説), プリキュア５は一斉に必殺技を放った。
ＲＲエクスプロージョン(解説), プリキュア５はプリキュア・レインボーローズエクスプロージョンを放った。
ルージュファイヤー(解説), $(ユニット)はプリキュア・ルージュファイヤーで攻撃をかけた。
ルージュバーニング(解説), $(ユニット)はプリキュア・ルージュバーニングで攻撃をかけた。
ファイヤーストライク(解説), $(ユニット)はプリキュア・ファイヤーストライクで攻撃をかけた。
連続ファイヤーストライク(解説), $(ユニット)はプリキュア・ファイヤーストライクを連続で放った。
レモネードフラッシュ(解説), $(ユニット)はプリキュア・レモネードフラッシュで攻撃をかけた。
レモネードシャイニング(解説), $(ユニット)はプリキュア・レモネードシャイニングで攻撃をかけた。
プリズムチェーン捕縛(解説), $(ユニット)はプリキュア・プリズムチェーンで攻撃をかけた。
プリズムチェーン(解説), $(ユニット)はプリキュア・プリズムチェーンで攻撃をかけた。
プリズムボールチェーン(解説), $(ユニット)はプリキュア・プリズムチェーンで攻撃をかけた。
ミントシールド(解説), $(ユニット)はプリキュア・ミントシールドで攻撃をかけた。
全開ミントシールド(解説), $(ユニット)はプリキュア・ミントシールドを放った。
エメラルドソーサー(解説), $(ユニット)はプリキュア・エメラルドソーサーで攻撃をかけた。
巨大エメラルドソーサー(解説), $(ユニット)は巨大なプリキュア・エメラルドソーサーで攻撃をかけた。
アクアストリーム(解説), $(ユニット)はプリキュア・アクアストリームで攻撃をかけた。
アクア・リボンソード(解説), $(ユニット)はアクア・リボンの剣で攻撃をかけた。
アクアトルネード(解説), $(ユニット)はプリキュア・アクアトルネードで攻撃をかけた。
サファイアアロー(解説), $(ユニット)はプリキュア・サファイアアローを放った。
サファイアアロー接射(解説), $(ユニット)はプリキュア・サファイアアローを放った。
３連サファイアアロー(解説), $(ユニット)は３本同時にプリキュア・サファイアアローを放った。
サファイアアロー速射(解説), $(ユニット)はプリキュア・サファイアアローを連続で放った。
ミルキィローズブリザード(解説), $(ユニット)はミルキィローズ・ブリザードを放った。
ＭＲメタルブリザード(解説), $(ユニット)はミルキィローズ・メタルブリザードを放った。
ＳＬ・ソリューション(解説), $(ユニット)はプリキュア・スターライト・ソリューションを放った。
Ｆエクスプロージョン(解説), プリキュア５とミルキィローズはプリキュア・ミルキィローズ・フローラルエクスプロージョンを放った。
マーブルスクリュー(５)(解説), キュアルージュのファイヤーストライクとキュアアクアのサファイアアローが同時に放たれた。
プリズムソーサーチェーン(解説), キュアレモネードのプリズムチェーンとキュアミントのエメラルドソーサーが放たれた。
