

本田飛鳥
フリッカー(命中), Punch.wav
エアースラッシュ(命中), Punch.wav
遠心破砕拳, Bow.wav
遠心破砕拳(命中), Explode(Small).wav
マッハ・ジャブ(命中), Punch(4).wav
扇ヶ谷・コンビネーション(命中), Punch(3).wav
ケミカルインパクト(命中), 8;Punch(2).wav;4;Punch.wav
フェノメノン・クラッシュ, Swing.wav
フェノメノン・クラッシュ(命中), Explode(Small).wav
遠心連殺拳, Bow.wav
遠心連殺拳(命中), Explode.wav
ファイナルインパクト, Swing.wav
ファイナルインパクト(命中), Combo.wav
超フェノメノン・クラッシュ, Swing.wav
超フェノメノン・クラッシュ(命中), Explode.wav
フェノメノンドライヴ, Swing.wav
フェノメノンドライヴ(命中), 10;Explode(Small).wav;4;Punch.wav;4;Punch.wav;4;Punch.wav;4;Punch.wav;10;Explode.wav


豊田可莉奈
ケロケロヒートプレス, Swing.wav
ケロケロヒートプレス(命中), Shock(Low).wav
ケロケロアタック, Swing.wav
ケロケロアタック(命中), Punch.wav
ミドルコンボ(命中), Punch(2).wav
ケロぴょん・セットアップ(準備), Reload.wav
ケロぴょん・セットアップ(命中), Shock(Low).wav
サマソールトシュート, Swing.wav
サマソールトシュート(命中), Punch.wav
バイオ・インパクト(命中), 12;Punch(3).wav;4;Punch.wav
ケロケロ・アングラー, 1;Cannon.wav;1;Cannon.wav;1;Cannon.wav;1;Cannon.wav;1;Cannon.wav;1;Cannon.wav
ケロケロメガヒート, 10;Fire.wav;3;Swing.wav
ケロケロメガヒート(命中), Shock(Low).wav
突撃裂蹴脚, Swing.wav
突撃裂蹴脚(命中), Combo.wav
ケロケロスタンピード, Swing.wav
ケロケロスタンピード(命中), 4;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav


大久保久美
スティックショット, Swing.wav
スティックショット(命中), Punch.wav
リボンカッター, Swing.wav
リボンカッター(命中), 2;Slash.wav;3;Slash.wav
スピニングスワンスルー, Swing.wav
スピニングスワンスルー(命中), Shock(Low).wav
スピニング・スワンキック, Swing.wav
スピニング・スワンキック(命中), Punch(2).wav
スタンスティック, Swing.wav
スタンスティック(命中), Punch(2).wav
ニードルショット, Swing.wav
ニードルショット(命中), Punch(3).wav
トリプルスワンスルー, Swing.wav
トリプルスワンスルー(命中), Combo.wav
リボン・スライサー, Swing.wav
リボン・スライサー(命中), 2;Slash.wav;2;Slash.wav;3;Slash.wav;12;Punch(3).wav
アクロバティックストライク, Swing.wav
アクロバティックストライク(命中), 8;Punch(2).wav;8;Punch(2).wav;8;Punch(2).wav;16;Punch(4).wav


小和田奈々
風月扇, Bow.wav
風月扇(命中), Punch.wav
連撃(命中), Punch(2).wav
裂襲波(命中), Shock(Low).wav
桜花連撃(命中), Punch(4).wav
牛若の舞(命中), 8;Punch(2).wav;4;Punch.wav
風月扇・乱, Bow.wav
風月扇・乱(命中), Punch(2).wav
超・裂襲波(命中), Shock(Low).wav
舞刀蒼炎陣・弐, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
舞刀蒼炎陣・壱, Swing.wav
舞刀蒼炎陣・壱(命中), Slash.wav
烈衝陣, Charge.wav


鈴木めぐみ
どろっぷきっく(命中), Punch.wav
えびぞりパンチ(命中), Punch.wav
こ・ぷれす(命中), Punch.wav
ボンボン・アタック(命中), Punch.wav
ふみふみ乗っかり(命中), Punch.wav
めぐみ・けりけりパンチ(命中), Punch(2).wav
ボンボンあっぱー(命中), Punch(3).wav
ぼんぼんさいくろん(命中), Punch(3).wav
でっかいボンボンあたっく(命中), Punch(4).wav
めぐみ・けりけりダンス(命中), Combo.wav
めぐみ・らぶらぶらんぶ(命中), 5;Combo.wav;7;Combo.wav
ぼんぼんなっぱ～(命中), Punch(4).wav
くるくるローリング(命中), 5;Combo.wav;7;Combo.wav


山崎竜子
裏拳(命中), Punch.wav
稲妻サーブ(命中), Punch.wav
クイック・ドライバー(命中), Punch.wav
竜巻レシーブ(命中), Punch.wav
ライトニング・ストレート(命中), Punch(3).wav
雷光サーブ(命中), Punch.wav
ハイパータックル, Swing.wav
ハイパータックル(命中), Punch(2).wav
ヤマザキバスター, Swing.wav
ヤマザキバスター(命中), 4;Punch.wav;8;Shock(Low).wav
ファイナルセットボレー, Swing.wav
ファイナルセットボレー(命中), 4;Punch.wav;8;Punch(2).wav


御手洗清子
ニードルスパイク(命中), Punch.wav
フライングアウト(命中), Punch.wav
大リーグソフトボール８号,  Bow.wav
大リーグソフトボール８号(命中),  Punch.wav
ゲッツーストライカー(命中), Punch.wav
千本ノックの舞, 1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav
通天閣打法(命中), Sword.wav
一撃必中打法(命中), Sword.wav
イリュージョン・アウト(命中), Punch.wav
ダイレクト・アウト(命中), Punch.wav
真・通天閣打法(命中), 3;Sword.wav;3;Sword.wav
ホームインスライディング, Swing.wav
ホームインスライディング(命中), 12;Punch(3).wav;4;Punch.wav


キャシイ＝ワイルド
掌打(命中), Punch.wav
ローリングバックラー(命中), Punch.wav
ダッシュニー(命中), Punch.wav
ショルダークラッシュ(命中), Punch.wav
ノーザンライトボム(命中), Punch.wav
パワーボム(命中), Punch.wav
トリプルヘッドバット(命中), 5;Punch.wav;5;Punch.wav;5;Punch.wav
フランケンシュタイナー(命中), Punch.wav
キャシィ・ラリアット(命中), Punch.wav
