
########## ########## ########## ########## ########## ########## ########## ########## ########## ##########
# トゥスクル勢だけ切り売りしやすいようにばらばらにしておきます。

トゥスクル皇ハクオロ
シールド防御(仕込み鉄扇), 鉄扇 Saber.wav
脳震盪誘発打撃(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp Reload(4).wav
脳震盪誘発打撃(準備), 振る武器 DGoods\EFFECT_IronFan02.bmp Reload(4).wav
脳震盪誘発打撃(攻撃), タックル Whiz.wav;斬撃 Saber.wav
脳震盪誘発打撃(命中), 打撃 BreakOff.wav
仕込み鉄扇(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp Reload(4).wav
仕込み鉄扇(準備), 振る武器 DGoods\EFFECT_IronFan02.bmp Reload(4).wav
仕込み鉄扇(攻撃), タックル Whiz.wav;斬撃 Saber.wav
仕込み鉄扇(命中), 斬撃 Slash.wav
仕込み鉄扇(命中), 刺突 Slash.wav
仕込み鉄扇(命中), 打撃 Whip.wav
仕込み鉄扇毒撃(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp Reload(4).wav
仕込み鉄扇毒撃(準備), 振る武器 DGoods\EFFECT_IronFan02.bmp Reload(4).wav
仕込み鉄扇毒撃(攻撃), タックル Whiz.wav;斬撃 Saber.wav
仕込み鉄扇毒撃(命中), 斬撃 Slash.wav
仕込み鉄扇毒撃(命中), 刺突 Slash.wav
仕込み鉄扇毒撃(命中), 打撃 Whip.wav
仕込み鉄扇連撃(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp Reload(4).wav
仕込み鉄扇連撃(準備), 振る武器 DGoods\EFFECT_IronFan02.bmp Reload(4).wav
仕込み鉄扇連撃(攻撃), タックル Whiz.wav;斬撃 Saber.wav
仕込み鉄扇連撃(命中), 打撃 Whip.wav;打撃 Whip.wav;刺突 Slash.wav;連斬撃 Slash.wav
仕込み鉄扇乱撃(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp Reload(4).wav
仕込み鉄扇乱撃(準備), 振る武器 DGoods\EFFECT_IronFan02.bmp Reload(4).wav
仕込み鉄扇乱撃(攻撃), タックル Whiz.wav;斬撃 Saber.wav
仕込み鉄扇乱撃(命中), 打撃 Whip.wav;打撃 Whip.wav;連斬撃 Slash.wav;連斬撃 Slash.wav;連突 Slash.wav;円弧斬撃 Saber.wav
仕込み鉄扇魔撃(準備), 振る武器 DGoods\EFFECT_IronFan01.bmp Reload(4).wav
仕込み鉄扇魔撃(準備), 振る武器 DGoods\EFFECT_IronFan02.bmp Reload(4).wav
仕込み鉄扇魔撃(攻撃), タックル Whiz.wav;@戦闘アニメ_フェイスアップ準備 トゥスクル皇ハクオロ -.wav;斬撃 Saber.wav
