
汎用
レーザー砲(紐), バスタービームライフル 青

ときめきメモリアル
# キャラクター固有技
ブロードソード, 剣
連続斬り(準備), 剣
連続斬り(攻撃), 連斬撃
連続斬り(命中), 連斬撃;連斬撃
魔法陣(攻撃), 回転投擲武器 Magic\EFFECT_Hexagram(Red)05.bmp Missile.wav
魔法陣(命中), 大爆発
ポコポコ乱れ打ち(攻撃), 格闘
ポコポコ乱れ打ち(命中), 乱打
親父の怒り(命中), 斬撃乱舞;3;超斬撃 Crash.wav
ボーリングの球(準備), 鉄球
ボーリングの球(攻撃), 鉄球 
ボーリングの球(命中), 強打 Crash.wav
親衛隊(命中), 乱打;ダメージ
シールド防御(親衛隊), 瞬間変形 TMEMO_Mira&ShineitaiU.bmp -.wav
子猫暴れ(命中), 爪撃
ムク大暴れ(命中), 噛み付き
プロレス技, 格闘
プロレス技(命中), 強打
殺人コアラ(命中), 爪撃
好雄アタック, スーパータックル 青
不動明王唐竹割り(準備), オーラ上昇 青
不動明王唐竹割り(攻撃), 白兵武器
不動明王唐竹割り(命中), 唐竹割り
バラの花, バラ
私設軍隊(準備), CallSign.wav
私設軍隊(攻撃), MachineCannon.wav
私設軍隊(命中), 重機関砲
編み棒, 刺突
炎の編み物(準備), 光噴出 赤 Fire.wav
炎の編み物, 火柱
ツッコミ, 打突
ホルン, 白兵武器
ホルン(命中), 打撃
応援歌, Sharara.wav
ヒーローアタック, スーパータックル 桃
# クラブ関連
百科事典(準備), 本
百科事典(攻撃), 白兵武器
百科事典(命中), 打撃
メガトン辞書(準備), 本
メガトン辞書(攻撃), 回転投擲武器 DGoods\EFFECT_Book01.bmp
メガトン辞書(命中), ダメージ Crash.wav
演出用爆薬, ダイナマイト
暗黒舞踏, 吸収 黒
脱力漫才(攻撃), Wind.wav
脱力漫才(クリティカル), PiyoPiyo.wav
ハッキング(準備), Computer.wav
ハッキング(命中), 放電
怪しげな実験(命中), 煙 Combo.wav
サイバーファング(準備), Computer.wav
サイバーファング(攻撃), 狼 発光 AntiShipMissile.wav
サイバーファング(命中), 噛み付き
戦闘衛星ハッキング(準備), Computer.wav
戦闘衛星ハッキング, 衛星ビーム 青
呪いの絵(準備), カタログ
呪いの絵(攻撃), 怨霊召喚
呪いの絵(命中), 打撃 Chaff.wav
色素分解(準備), 振る武器 DGoods\EFFECT_WritingBrush01.bmp
色素分解, 虹色必殺光線
誘惑の音色(準備), 横笛
