

########## 解説 ########## ====================================================================

## 実際には表示されないのも幾つか混じってますが、気にしないでください。
## 具体的にはクリティカルですね。

とらいあんぐるハート
格闘術(解説), $(ユニット)は接近戦をしかけた！
明心館空手(解説), $(ユニット)はひと息に$(相手パイロット)の眼前まで踏み込んだ！
小手打ち(解説), $(パイロット)は$(相手パイロット)との間合を慎重に詰めにかかった。
小手打ち(クリティカル)(解説), $(パイロット)は小手を強打することで$(相手パイロット)の起点を制した！
護身道(解説), $(パイロット)は$(相手パイロット)との間合を慎重に詰めにかかった。
覆い面(解説), $(パイロット)は間合を一瞬で詰め、$(相手パイロット)の面に打ちかかった！
短棍(解説), $(パイロット)は鋭く踏み込み、短棍で$(相手パイロット)に打ちかかった！
短棍(解説), $(パイロット)は鋭く踏み込み、短棍で$(相手パイロット)に打ちかかった！
天地返し(命中)(解説), $(パイロット)は天地返しで$(相手パイロット)を投げ飛ばした！
送り参月(命中)(解説), 刹那！ $(パイロット)は$(相手パイロット)の攻撃を利用し、送り参月で投げ飛ばした！
爪撃(解説), $(パイロット)は鋭い爪で猛然と$(相手パイロット)に襲い掛かった！
吸血(解説), $(パイロット)は$(相手パイロット)に掴みかかった。
吸血(命中)(解説), $(パイロット)は$(相手パイロット)の首筋に噛み付き、その血を吸い取っていく！
魔眼(解説), $(パイロット)は魔力を込めた瞳で$(相手パイロット)を睨みつけた。
蔡雅御剣流忍術(解説), $(パイロット)は音もなく$(相手パイロット)との間合を詰めだした。
影丸(解説), $(パイロット)は、無数の影丸を疾風の如く投げつけた。
円架投擲(解説), $(パイロット)は、円架を$(相手パイロット)に投げ放った。
円架(解説), $(パイロット)は円架を握り締め、鋭く斬りかかった！
日本刀(解説), $(パイロット)は日本刀で斬りかかった！
投器(解説), $(パイロット)は無数の飛器を$(相手パイロット)に投げ放った。
暗器(解説), $(パイロット)は無数の暗器で$(相手パイロット)に襲い掛かった！
心霊現象(解説), $(パイロット)の生じさせた斥力が$(相手パイロット)に襲い掛かる！
氷柱(解説), $(パイロット)は掌に生じさせた氷の剣で斬りかかった！
氷気(解説), $(パイロット)から放たれた氷気が、$(相手パイロット)を包み込んでいく。
氷の牢獄(解説), $(パイロット)から放たれた巨大な氷気が、$(相手パイロット)を包み込んでいく。
氷の牢獄(クリティカル)(解説), $(相手パイロット)は氷の牢獄に閉じ込められた。
触手(解説), 無数の触手が$(相手パイロット)に襲い掛かる！
踏み潰し(解説), $(パイロット)はその巨体で$(相手パイロット)を踏み潰しにかかった！
生命の捕食(解説), $(パイロット)は$(相手パイロット)の生命力を捕食しにかかった！
巨大触手(解説), 無数の巨大な触手が$(相手パイロット)に襲い掛かる！
火炎(解説), $(パイロット)は大地を焼き尽くすが如き業火を吐いた！
吹き矢(解説), $(パイロット)は毒の$(武器)を放った！
ナイフ(解説), $(パイロット)は毒を塗ったナイフで$(相手パイロット)に襲い掛かった！


########## 効果音 ########## ==================================================================


とらいあんぐるハート
格闘(命中), FightHit(1).wav
格闘術(命中), Whip.wav
格闘術(命中), Combo.wav
明心館空手(命中), Whip.wav
明心館空手(命中), Combo.wav
小手打ち, Swing.wav
小手打ち(命中), Whip.wav
護身道(命中), Combo.wav
護身道(命中), 2;Saber.wav;FallDown.wav
覆い面, Saber.wav
覆い面(命中), Whip.wav
短棍, Saber.wav
短棍(命中), FightHit(1).wav
天地返し, Saber.wav
天地返し(命中), 2;FightHit(4).wav;Crash.wav
送り参月(命中), 1;BreakOff.wav;3;Saber.wav;Crash.wav
爪撃, Saber.wav
爪撃(命中), Slash.wav
吸血(命中), 2;BreakOff.wav;Fold.wav
吸血(クリティカル), Inori.wav
魔眼, Glass.wav
魔眼(命中), Chaff.wav
蔡雅御剣流忍術(命中), FightHit(1).wav
影丸, 1;Swing.wav;1;Swing.wav;Swing.wav
影丸(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
円架投擲, Saber.wav
円架投擲(命中), Slash.wav
円架, Saber.wav
円架(命中), Slash(4).wav
日本刀, Reload(5).wav
日本刀(命中), Slash(4).wav
投器, Saber.wav
投器(命中), Slash.wav
暗器(命中), Slash(4).wav
暗器(命中), Explode(Small).wav
暗器(命中), Glass.wav
暗器(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;3;Saber.wav;Crash.wav
心霊現象, Charge(high).wav
心霊現象(命中), Crash.wav
氷気, Whiz.wav
氷気(命中), Glass.wav
氷柱, 5;Charge.wav;Chaff.wav
氷柱(命中), Slash(4).wav
氷の牢獄, Glass.wav
氷の牢獄(命中), Charge(long).wav
氷の牢獄(クリティカル), Interference.wav
触手(命中), Whip.wav
踏み潰し(命中), Crash.wav
生命の捕食(命中), 3;Chaff.wav;3;Chaff.wav;3;Chaff.wav;3;Chaff.wav;Chaff.wav
巨大触手(命中), Warship.wav
火炎, Interference.wav
吹き矢, Bow.wav
吹き矢(命中), Stab.wav
ナイフ(命中), Slash(4).wav

