
ぱすてるチャイム
戒めの指, Whiz.wav
戒めの指(命中), BreakOff.wav
癒しの指, Sharara.wav
神の左手, Thunder.wav
乙女の祈り, Sharara.wav
恵みの雨, Sharara.wav
暖かき大地, Sharara.wav
父の拳, Charge.wav
父の怒り, Charge(Long).wav
スリープ, BeamShot.wav
スリープ(クリティカル), Bubble.wav
スリープストーム(準備), BeamShot.wav
スリープストーム, Sharara.wav
スリープストーム(クリティカル), Bubble.wav
ボルトワンド(準備), Thunder.wav
ボルトワンド, Swing.wav
ボルトワンド(命中), Punch.wav
アイスアロー(準備), Wind.wav
アイスアロー, Beam.wav
ファイアーアロー(準備), Fire.wav
ファイアーアロー, Beam.wav
アイスストーム(準備), Wind.wav
アイスストーム, Storm.wav
アイスストーム(命中), Sword.wav
アイスストーム(命中), Glass.wav
アイスストーム(命中), Saber.wav
サンダーウェーブ(準備), Thunder.wav
サンダーウェーブ, LaserGun.wav
マジックシュート, BeamShot.wav
ライトニング(準備), Thunder.wav
ライトニング, LaserGun.wav
ナパーム, 1;Bomb.wav;1;Bomb.wav;Bomb.wav
ナパーム(命中), Explode(Far).wav
フレイムウェーブ(準備), Fire.wav
フレイムウェーブ, AntiAirMissile.wav
アイシクル(準備), Wind.wav
アイシクル, 2;Glass.wav;2;Glass.wav;Glass.wav
フレイムブラスト(準備), Fire.wav
フレイムブラスト, AntiShipMissile.wav
カラミティ(準備), Charge.wav;1;Black.bmp 480 480;Clear
カラミティ, MicroMissile.wav
マジックボム(準備), 1;BeamShot.wav;BeamShot.wav
マジックボム, Explode(Nuclear).wav
一閃牙(準備), Reload.wav
一閃牙, Sword.wav
一閃牙(命中), Slash.wav
一閃牙・改(準備), Reload.wav
一閃牙・改, Sword.wav
一閃牙・改(命中), Stab.wav
自在爪, Swing.wav
自在爪(命中), Stab.wav
零式, Swing.wav
零式(命中), Slash.wav
走狐襲, Swing.wav
走狐襲(命中), Sword.wav
飛燕襲, 2;Swing.wav;Sword.wav
飛燕襲(命中), 1;Slash.wav;Slash.wav
飛燕襲・改, 2;Swing.wav;Sword.wav
飛燕襲・改(命中), 1;Slash.wav;Slash.wav
虎撃, 1;Shock(low).wav;Swing.wav
虎撃, 1;Shock(low).wav;Crash.wav
獅子咆哮, Storm.wav
獅子咆哮(命中), Combo.wav
八岐大蛇, Storm.wav
八岐大蛇(命中), 6;Combo.wav;Stab.wav
鳳凰襲, 2;Swing.wav;Sword.wav
鳳凰襲(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
麒麟撃(準備), Glass.wav;1;White.bmp 480 480;Clear
麒麟撃, Swing.wav
麒麟撃(命中), 1;Shock(low).wav;Explode(Nuclear).wav
動かないでっ(クリティカル), Whip.wav
ラスティーネイル, Swing.wav
ラスティーネイル(命中), Whip.wav
燃えちゃえーい(準備), Fire.wav
燃えちゃえーい, Bow.wav
燃えちゃえーい(命中), Stab.wav
ロングボウ, Bow.wav
ロングボウ(命中), Stab.wav
ハデにいくよー！, MicroMissile.wav
カトンのジュツ, Fire.wav
ヤミシバリのジュツ, Glass.wav;1;Black.bmp 480 480;Clear
ヤミシバリのジュツ(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
フォーディンＲ, 2;Swing.wav;Swing.wav
フォーディンＲ(命中), 1;Slash.wav;Slash.wav
クォレル, Bow.wav
クォレル(命中), Stab.wav
ヤマト丸, Swing.wav
ヤマト丸(命中), Slash.wav
太刀, Swing.wav
太刀(命中), Slash.wav
閃く刃, Swing.wav;1;White.bmp 480 480;Clear
閃く刃(命中), Slash.wav
空間裂き, 2;Swing.wav;Fold.wav
空間裂き(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
闇の蝶, BeamShot.wav
闇の蝶(命中), Inori.wav
炎の蝶, BeamShot.wav
炎の蝶(命中), Fire.wav
蝶の乱舞, MicroMissile.wav

