
ぱすチャＣ
#####戦士#########################
ロングソード, ソード
グレートソード, ソード
シーザーソード, ソード
ハイソサエティ, ソード
スラッシングソード, ソード
カッティングソード, ソード
シルバーレイピア, レイピア
ファルネーゼ, レイピア
ナギナタ, ナギナタ
ハルバード, ハルバード
ミョルニール, 巨大斧
零式, 日本刀
カウンター, 斬撃
一閃牙(攻撃), なぎ払い
一閃牙(命中), 横大斬撃
一閃牙・改(攻撃), なぎ払い
一閃牙・改(命中), 唐竹割り
豹撃(攻撃), 刺突突撃
豹撃(命中), 連突
通穿牙(攻撃), 振り下ろし
通穿牙(命中), 斬撃 Crash.wav
ギガンティックボルト(準備), オーラ上昇 黄
ギガンティックボルト(攻撃), タックル
ギガンティックボルト(命中), 超打 Crash.wav
狼撃, 振り下ろし;振り上げ
狼撃(命中), 斬撃
飛燕襲, ダブル斬撃
鳳凰襲(攻撃), 斬撃乱舞
鳳凰襲(命中), 連続なぎ払い
虎撃(準備), 粒子集中 黄
虎撃(攻撃), スーパータックル 黄
虎撃(命中), 超斬撃
#####魔法使い#########################
スタッフ, 錫杖
バトルロッド, ロッド
マジックロッド, 杖
マギ・シーザー, 錫杖
パワーマイク, 音符
ゴーレムマスター(攻撃), 突く武器突撃 M_StoneGolemU(2).bmp
ゴーレムマスター(命中), ダメージ
フレイムアロー(攻撃), 火炎弾
フレイムアロー(命中), 炎
フレイムウェーブ(攻撃), 火炎放射
フレイムウェーブ(命中), 炎
フレイムブラスト(準備), 粒子集中 赤
フレイムブラスト(攻撃), ＭＡＰ火炎弾
フレイムブラスト(命中), 炎
アイスアロー(攻撃), 氷弾
アイスアロー(命中), 凍結 Freeze.wav
アイスストーム(攻撃), 吹雪
アイスストーム(命中), 凍結 Freeze.wav
アイシクル(準備), 粒子集中 青
アイシクル(攻撃), 超ビーム 青
アイシクル(命中), 凍結 Freeze.wav
サンダーブラスト(攻撃), 小ビーム 黄
サンダーブラスト(命中), 電撃
サンダーウェーブ(攻撃), 中ビーム 黄
サンダーウェーブ(命中), 電撃
ライトニング(準備), 粒子集中 黄
ライトニング(攻撃), 超ビーム 黄
ライトニング(命中), 大放電
ウインドアロー, 風
ハイシルフィード, 妖精 Storm.wav
テンペスト(準備), 粒子集中 白
テンペスト(攻撃), 旋風
テンペスト(命中), 竜巻
マジックシュート(攻撃), 火炎弾 白
マジックシュート(命中), 小爆発 白
カラミティ(準備), 粒子集中 黒;粒子集中 黒;粒子集中 黒
カラミティ(攻撃), ＭＡＰダークネス
カラミティ(命中), 超爆発
軍用高速詠唱・風弾, 気弾 白 Storm.wav
#####神術士#########################
ライトナックル, 打突
ヘビーナックル, 打突
トンファ, トンファー突撃
スパイクナックル, 打突
ロケットパンチ, ロケットパンチ
ハードパンチャー(攻撃), 打突
ハードパンチャー(命中), 打撃 Crash.wav
ハンマー, ハンマー
Ｇハンマー, ウォーハンマー
ビッグハンマー, 大金槌
祝福のメイス, メイス
天罰のメイス, メイス
戒めの拳(攻撃), 光投射 白
戒めの拳(命中), 発光 白 Saber.wav
神罰の腕(攻撃), 六芒星 白 Charge(High).wav
神罰の腕(命中), 発光 白 Saber.wav
神の左手(準備), オーラ上昇 白
神の左手(攻撃), ＭＡＰフラッシュ Charge(High).wav
神の左手(命中), 光噴出 白 Saber.wav
癒しの指(使用), 魔法放射 白 Whiz.wav
癒しの指(発動), 回復魔法
癒しの手(使用), 魔法放射 白 Whiz.wav
癒しの手(発動), 回復魔法
恵みの雫(使用), 魔法放射 白 Whiz.wav
恵みの雫(発動), 回復魔法泡
恵みの雨(使用), 魔法放射 白 Whiz.wav
恵みの雨(発動), 回復魔法泡
#####スカウト#########################
ムチ(攻撃), 鞭突撃
ムチ(命中), 打撃 Whip.wav
ツインテイル(攻撃), 鞭突撃
ツインテイル(命中), 打撃 Whip.wav;打撃 Whip.wav
サイドワインダー(攻撃), 鞭突撃
サイドワインダー(命中), 打撃 Whip.wav
クイーンウィップ(攻撃), 鞭突撃
クイーンウィップ(命中), 打撃 Whip.wav
ナインテイル(攻撃), 鞭突撃
ナインテイル(命中), 打撃 Whip.wav;打撃 Whip.wav
ブーメラン, ブーメラン
サバイバルナイフ, ナイフ
ダマスカスナイフ, ナイフ
ライトボウ, 弓矢
クロスボウ, 弓矢
ロングボウ, 弓矢
与一, 和弓
ダーツ, ダーツ
スリングショット, スリングショット
ニードルボウガン, クロスボウ
スリーバースト, クロスボウ
セブンスター(準備), クロスボウ
セブンスター(攻撃), 矢連射;矢連射;矢連射
セブンスター(命中), 矢連刺;矢連刺
アメノマカゴ, 光弓矢
コズミックインパルス(準備), オーラ上昇 白
コズミックインパルス(攻撃), 弓矢連射
コズミックインパルス(命中), 矢連刺
テンジェノサイド(準備), オーラ上昇 白
テンジェノサイド(攻撃), 弓矢連射
テンジェノサイド(命中), 矢連刺
スナイプショット(準備), @ＳＰアニメ_必中 対象ユニットＩＤ
スナイプショット(攻撃), クロスボウ
スナイプショット(命中), 矢刺
#####その他・ボス####################
白の刃, ライトセイバー 白
黒の刃, ライトセイバー 黒
ディグ・グレイズ【ＭＡＰ】(攻撃), なぎ払い
ディグ・グレイズ【ＭＡＰ】(命中), 横大斬撃
ディグ・グレイズ, 地表衝撃波 白
大地を揺るがす, 地震
炎の牙(攻撃), 噛み付き
炎の牙(命中), 炎
氷の牙(攻撃), 噛み付き
氷の牙(命中), 凍結 Freeze.wav
冥雹弾(攻撃), 連気弾 青
冥雹弾(命中), 凍結 Freeze.wav
獄炎弾(攻撃), 連気弾 赤
獄炎弾(命中), 炎
魔災弾(準備), 粒子集中 黒
魔災弾(攻撃), 重力弾
魔災弾(命中), 爆発
電撃鞭(攻撃), 鞭突撃
電撃鞭(命中), 打撃 Whip.wav;Thunder.wav
ガルムシェール(攻撃), 黒斬撃
ガルムシェール(命中), 打撃 Whip.wav;Thunder.wav
ボウガン連射, 矢連射
雪のブレス, 粒子噴射 白 Storm.wav
噛み付き, 噛み付き
呪いの視線(攻撃), 粒子集中 黒
呪いの視線(命中), 発光 赤
打ちつける拳(攻撃), 打突
打ちつける拳(命中), 打撃 Crash.wav
仲間を呼ぶ, 触手乱舞
#####その他・ザコ####################
マシンアーム, 格闘 Drill.wav
ダブルアックス, 巨大斧 二刀流
微塵切り(準備), 巨大斧 二刀流
微塵切り(攻撃), 斬撃乱舞
微塵切り(命中), 斬撃乱舞
ドラゴンファング, 噛み付き
ドラゴンブレス, 火炎放射
地獄送りの鎌, 巨大鎌
蟲惑の瞳(攻撃), 粒子集中 黒
蟲惑の瞳(命中), 発光 赤
鋭い爪, 爪撃
血の施し(使用), 魔法放射 赤 Whiz.wav
血の施し(発動), 回復魔法泡


汎用
セブンスター(準備), クロスボウ
セブンスター(攻撃), 矢連射;矢連射;矢連射
セブンスター(命中), 矢連刺;矢連刺
ナインテイル(攻撃), 鞭突撃
ナインテイル(命中), 打撃 Whip.wav;打撃 Whip.wav
パワーマイク, 音符
イージーワン, 警棒
